variant,partition,weeks,episodes,long_episodes,short_episodes,median_episode_h,mean_episode_h,state_weeks,state_week_coverage,episode_tp,episode_sl,episode_off,episode_tp_rate,trades,long_trades,short_trades,tp,sl,off,eop,positive_trades,positive_trade_rate,tp_hit_rate,mean_net_ret,total_net_ret,pf,max_ls,trade_weeks,trade_week_coverage,positive_weeks,positive_week_rate
S1_STACK,development,156,1653,946,707,1.5,2.573502722323049,155,0.9935897435897436,325,170,1158,0.19661222020568664,2947,1490,1457,827,723,1397,0,895,0.3036986766202918,0.2806243637597557,-0.001316319290416265,-3.879192948856733,0.6827555911116018,24,155,0.9935897435897436,23,0.14838709677419354
S1_STACK,external,103,1151,753,398,1.25,2.5508253692441354,98,0.9514563106796117,314,214,623,0.2728062554300608,2816,1582,1234,917,1075,824,0,964,0.34232954545454547,0.32563920454545453,-0.0016596836767228847,-4.673669233651643,0.6640469172805572,25,98,0.9514563106796117,14,0.14285714285714285
S1_STACK,reference_validation,81,813,398,415,1.25,2.5694956949569496,81,1.0,141,65,607,0.17343173431734318,1278,517,761,317,236,725,0,365,0.2856025039123631,0.24804381846635368,-0.001389637846214214,-1.7759571674617654,0.6457343000610014,23,81,1.0,13,0.16049382716049382
S1_STACK,august,2,22,12,10,1.75,2.534090909090909,2,1.0,2,0,20,0.09090909090909091,25,14,11,3,0,21,1,3,0.12,0.12,-0.0011938341015082933,-0.02984585253770733,0.5012878708862535,17,2,1.0,0,0.0
S2_STACK_SLOPE,development,156,1209,708,501,1.5,2.6370967741935485,149,0.9551282051282052,250,148,811,0.20678246484698098,2303,1174,1129,681,618,1004,0,755,0.32783326096396004,0.2957012592270951,-0.001219930099456176,-2.8094990190475735,0.7113895065166191,21,149,0.9551282051282052,28,0.18791946308724833
S2_STACK_SLOPE,external,103,856,575,281,1.25,2.525408878504673,91,0.883495145631068,211,191,454,0.24649532710280375,2180,1266,914,697,869,614,0,748,0.3431192660550459,0.31972477064220184,-0.0018011236105692464,-3.926449471040957,0.6430211291139433,20,91,0.883495145631068,7,0.07692307692307693
S2_STACK_SLOPE,reference_validation,81,584,287,297,1.25,2.5351027397260273,75,0.9259259259259259,100,70,414,0.17123287671232876,972,375,597,247,218,507,0,283,0.2911522633744856,0.25411522633744854,-0.001551597125459668,-1.5081524059467974,0.6258898360109424,25,75,0.9259259259259259,11,0.14666666666666667
S2_STACK_SLOPE,august,2,12,2,10,1.25,2.625,2,1.0,2,0,10,0.16666666666666666,15,4,11,3,0,11,1,3,0.2,0.2,-0.0005250210662414757,-0.007875315993622135,0.7920725996068714,6,2,1.0,0,0.0
S3_STACK_MOMENTUM,development,156,1670,976,694,0.75,0.9122754491017964,143,0.9166666666666666,238,124,1308,0.14251497005988023,2193,1191,1002,385,315,1493,0,589,0.26858185134518925,0.17555859553123576,-0.0014347340707842775,-3.146371817229921,0.573735029398167,24,143,0.9166666666666666,14,0.0979020979020979
S3_STACK_MOMENTUM,external,103,1080,759,321,0.75,0.9222222222222223,91,0.883495145631068,200,162,718,0.18518518518518517,1679,1062,617,378,425,876,0,498,0.296605122096486,0.2251340083382966,-0.0016568494395926233,-2.7818502090760147,0.5903703125472983,20,91,0.883495145631068,12,0.13186813186813187
S3_STACK_MOMENTUM,reference_validation,81,753,376,377,0.75,0.9624833997343958,73,0.9012345679012346,96,36,621,0.12749003984063745,940,411,529,153,92,695,0,249,0.2648936170212766,0.16276595744680852,-0.0012376320036660237,-1.1633740834460622,0.5980875531988635,29,73,0.9012345679012346,11,0.1506849315068493
S3_STACK_MOMENTUM,august,2,20,4,16,0.625,0.7875,2,1.0,1,0,19,0.05,21,5,16,1,0,20,0,4,0.19047619047619047,0.047619047619047616,-0.0009150576486318033,-0.019216210621267868,0.45743211795425276,8,2,1.0,0,0.0
S4_STACK_MOMENTUM_FLOW,development,156,1444,818,626,0.5,0.7782202216066482,143,0.9166666666666666,194,109,1141,0.13434903047091412,1869,990,879,307,266,1296,0,504,0.2696629213483146,0.164258962011771,-0.0014695958466893122,-2.7466746374623243,0.5589221532577987,23,143,0.9166666666666666,21,0.14685314685314685
S4_STACK_MOMENTUM_FLOW,external,103,829,549,280,0.5,0.8130277442702051,85,0.8252427184466019,160,134,535,0.19300361881785283,1253,751,502,272,317,664,0,403,0.3216280925778133,0.21707901037509977,-0.0015740597811699987,-1.9722969058060085,0.6013505176487179,18,85,0.8252427184466019,15,0.17647058823529413
S4_STACK_MOMENTUM_FLOW,reference_validation,81,630,318,312,0.75,0.8265873015873015,72,0.8888888888888888,74,33,523,0.11746031746031746,778,340,438,116,81,581,0,206,0.2647814910025707,0.14910025706940874,-0.001358930954897454,-1.0572482829102192,0.56095796167661,23,72,0.8888888888888888,10,0.1388888888888889
S4_STACK_MOMENTUM_FLOW,august,2,16,4,12,0.625,0.71875,2,1.0,1,0,15,0.0625,17,5,12,1,0,16,0,3,0.17647058823529413,0.058823529411764705,-0.0011337710059217386,-0.019274107100669555,0.4010445307361303,8,2,1.0,0,0.0
