partition,side,start_ts,end_ts,duration_h,week,entry,tp,sl,outcome,first_exit_ts,first_hours,variant
development,SHORT,2022-01-03 16:45:00+00:00,2022-01-03 23:15:00+00:00,6.5,2022-W01,46430.08,45896.13408,46824.73568,TP,2022-01-03 20:15:00+00:00,3.75,S1_STACK
development,SHORT,2022-01-04 03:00:00+00:00,2022-01-04 03:45:00+00:00,0.75,2022-W01,46111.81,45581.524185,46503.760384999994,OFF,2022-01-04 03:45:00+00:00,0.75,S1_STACK
development,SHORT,2022-01-04 04:15:00+00:00,2022-01-04 04:30:00+00:00,0.25,2022-W01,46251.54,45719.64729,46644.67809,OFF,2022-01-04 04:30:00+00:00,0.25,S1_STACK
development,SHORT,2022-01-04 04:45:00+00:00,2022-01-04 05:30:00+00:00,0.75,2022-W01,46152.74,45621.98349,46545.03829,OFF,2022-01-04 05:30:00+00:00,0.75,S1_STACK
development,SHORT,2022-01-04 05:45:00+00:00,2022-01-04 06:30:00+00:00,0.75,2022-W01,46094.59,45564.502215,46486.39401499999,OFF,2022-01-04 06:30:00+00:00,0.75,S1_STACK
development,SHORT,2022-01-04 22:00:00+00:00,2022-01-05 00:45:00+00:00,2.75,2022-W01,46230.59,45698.938215,46623.55001499999,OFF,2022-01-05 00:45:00+00:00,2.75,S1_STACK
development,SHORT,2022-01-05 20:00:00+00:00,2022-01-06 07:30:00+00:00,11.5,2022-W01,44671.93,44158.202805,45051.641404999995,TP,2022-01-05 20:00:00+00:00,0.25,S1_STACK
development,SHORT,2022-01-06 07:45:00+00:00,2022-01-06 08:00:00+00:00,0.25,2022-W01,43049.99,42554.915115,43415.914914999994,OFF,2022-01-06 08:00:00+00:00,0.25,S1_STACK
development,SHORT,2022-01-06 09:30:00+00:00,2022-01-06 13:00:00+00:00,3.5,2022-W01,42743.34,42251.79159,43106.65839,OFF,2022-01-06 13:00:00+00:00,3.5,S1_STACK
development,SHORT,2022-01-06 16:30:00+00:00,2022-01-06 17:00:00+00:00,0.5,2022-W01,42854.61,42361.781985,43218.874185,OFF,2022-01-06 17:00:00+00:00,0.5,S1_STACK
development,SHORT,2022-01-07 03:15:00+00:00,2022-01-07 08:30:00+00:00,5.25,2022-W01,42769.09,42277.245465,43132.627264999996,TP,2022-01-07 03:15:00+00:00,0.25,S1_STACK
development,SHORT,2022-01-07 14:00:00+00:00,2022-01-07 17:00:00+00:00,3.0,2022-W01,41474.25,40997.296125,41826.781125,SL,2022-01-07 14:15:00+00:00,0.5,S1_STACK
development,SHORT,2022-01-07 17:45:00+00:00,2022-01-07 18:00:00+00:00,0.25,2022-W01,41873.41,41391.865785,42229.333985000005,OFF,2022-01-07 18:00:00+00:00,0.25,S1_STACK
development,SHORT,2022-01-07 20:15:00+00:00,2022-01-07 20:45:00+00:00,0.5,2022-W01,41707.39,41227.755015,42061.902814999994,OFF,2022-01-07 20:45:00+00:00,0.5,S1_STACK
development,SHORT,2022-01-07 22:45:00+00:00,2022-01-08 00:30:00+00:00,1.75,2022-W01,41555.72,41077.82922,41908.94362,OFF,2022-01-08 00:30:00+00:00,1.75,S1_STACK
development,SHORT,2022-01-08 17:00:00+00:00,2022-01-08 21:30:00+00:00,4.5,2022-W01,41342.06,40866.62631,41693.467509999995,TP,2022-01-08 17:45:00+00:00,1.0,S1_STACK
development,SHORT,2022-01-10 11:00:00+00:00,2022-01-10 16:30:00+00:00,5.5,2022-W02,41765.0,41284.7025,42120.002499999995,TP,2022-01-10 12:30:00+00:00,1.75,S1_STACK
development,SHORT,2022-01-17 01:15:00+00:00,2022-01-17 06:30:00+00:00,5.25,2022-W03,42849.67,42356.898795,43213.89219499999,TP,2022-01-17 05:00:00+00:00,4.0,S1_STACK
development,SHORT,2022-01-17 07:00:00+00:00,2022-01-17 07:15:00+00:00,0.25,2022-W03,42730.98,42239.573730000004,43094.19333,OFF,2022-01-17 07:15:00+00:00,0.25,S1_STACK
development,SHORT,2022-01-17 12:00:00+00:00,2022-01-17 14:45:00+00:00,2.75,2022-W03,42656.61,42166.058985,43019.191184999996,OFF,2022-01-17 14:45:00+00:00,2.75,S1_STACK
development,SHORT,2022-01-17 15:00:00+00:00,2022-01-17 22:45:00+00:00,7.75,2022-W03,42645.25,42154.829625,43007.734625,TP,2022-01-17 16:00:00+00:00,1.25,S1_STACK
development,SHORT,2022-01-18 04:15:00+00:00,2022-01-18 06:15:00+00:00,2.0,2022-W03,42025.91,41542.612035000006,42383.130235000004,OFF,2022-01-18 06:15:00+00:00,2.0,S1_STACK
development,SHORT,2022-01-18 08:15:00+00:00,2022-01-18 10:45:00+00:00,2.5,2022-W03,41843.18,41361.98343,42198.84703,OFF,2022-01-18 10:45:00+00:00,2.5,S1_STACK
development,SHORT,2022-01-18 11:00:00+00:00,2022-01-18 15:30:00+00:00,4.5,2022-W03,41909.99,41428.025115,42266.224915,TP,2022-01-18 13:15:00+00:00,2.5,S1_STACK
development,SHORT,2022-01-18 16:00:00+00:00,2022-01-18 16:45:00+00:00,0.75,2022-W03,41574.09,41095.987965,41927.469764999994,OFF,2022-01-18 16:45:00+00:00,0.75,S1_STACK
development,SHORT,2022-01-18 17:15:00+00:00,2022-01-18 19:00:00+00:00,1.75,2022-W03,41603.49,41125.049865,41957.119665,OFF,2022-01-18 19:00:00+00:00,1.75,S1_STACK
development,SHORT,2022-01-19 08:00:00+00:00,2022-01-19 10:00:00+00:00,2.0,2022-W03,41271.21,40796.591085,41622.015284999994,SL,2022-01-19 09:45:00+00:00,2.0,S1_STACK
