partition,side,entry_ts,entry,tp,sl,week,exit_ts,exit,reason,net_ret,bars_held,variant
development,SHORT,2022-01-03 16:45:00+00:00,46430.08,45896.13408,46824.73568,2022-W01,2022-01-03 20:15:00+00:00,45896.13408,TP,0.01,15,S1_STACK
development,SHORT,2022-01-03 20:30:00+00:00,45780.84,45254.36034,46169.977139999995,2022-W01,2022-01-03 21:30:00+00:00,46169.977139999995,SL,-0.01,5,S1_STACK
development,SHORT,2022-01-03 21:45:00+00:00,46033.04,45503.66004,46424.32084,2022-W01,2022-01-03 22:30:00+00:00,46424.32084,SL,-0.01,4,S1_STACK
development,SHORT,2022-01-03 22:45:00+00:00,46234.8,45703.0998,46627.7958,2022-W01,2022-01-03 23:15:00+00:00,46371.01,OFF,-0.004446049296201014,2,S1_STACK
development,SHORT,2022-01-04 03:00:00+00:00,46111.81,45581.524185,46503.760384999994,2022-W01,2022-01-04 03:45:00+00:00,46337.56,OFF,-0.006395708930098274,3,S1_STACK
development,SHORT,2022-01-04 04:15:00+00:00,46251.54,45719.64729,46644.67809,2022-W01,2022-01-04 04:30:00+00:00,46334.24,OFF,-0.003288048570923184,1,S1_STACK
development,SHORT,2022-01-04 04:45:00+00:00,46152.74,45621.98349,46545.03829,2022-W01,2022-01-04 05:30:00+00:00,46277.7,OFF,-0.004207531557172959,3,S1_STACK
development,SHORT,2022-01-04 05:45:00+00:00,46094.59,45564.502215,46486.39401499999,2022-W01,2022-01-04 06:30:00+00:00,46280.35,OFF,-0.005529974016473536,3,S1_STACK
development,SHORT,2022-01-04 22:00:00+00:00,46230.59,45698.938215,46623.55001499999,2022-W01,2022-01-05 00:45:00+00:00,46160.01,OFF,2.6694770713432594e-05,11,S1_STACK
development,SHORT,2022-01-05 20:00:00+00:00,44671.93,44158.202805,45051.641404999995,2022-W01,2022-01-05 20:00:00+00:00,44158.202805,TP,0.01,1,S1_STACK
development,SHORT,2022-01-05 20:15:00+00:00,44200.01,43691.709885000004,44575.710085,2022-W01,2022-01-05 21:30:00+00:00,43691.709885000004,TP,0.01,6,S1_STACK
development,SHORT,2022-01-05 21:45:00+00:00,43668.79,43166.598915,44039.974715,2022-W01,2022-01-05 22:15:00+00:00,43166.598915,TP,0.01,3,S1_STACK
development,SHORT,2022-01-05 22:30:00+00:00,42972.23,42478.049355,43337.493955,2022-W01,2022-01-05 22:30:00+00:00,43337.493955,SL,-0.01,1,S1_STACK
development,SHORT,2022-01-05 22:45:00+00:00,43395.91,42896.85703500001,43764.775235,2022-W01,2022-01-06 01:15:00+00:00,43764.775235,SL,-0.01,11,S1_STACK
development,SHORT,2022-01-06 01:30:00+00:00,43577.27,43076.131395,43947.67679499999,2022-W01,2022-01-06 03:00:00+00:00,43076.131395,TP,0.01,7,S1_STACK
development,SHORT,2022-01-06 03:15:00+00:00,43233.08,42735.899580000005,43600.56118,2022-W01,2022-01-06 04:30:00+00:00,42735.899580000005,TP,0.01,6,S1_STACK
development,SHORT,2022-01-06 04:45:00+00:00,42756.81,42265.106685,43120.24288499999,2022-W01,2022-01-06 04:45:00+00:00,43120.24288499999,SL,-0.01,1,S1_STACK
