partition,date_utc,H,L,range,F15,session_end,status,touch1_bar_start,leave1_bar_start,touch2_bar_start,leave2_bar_start,eligible_start,fill_bar_start,entry_px,opp_visit_before_t1
external,2020-01-01,7260.43,7204.0,56.43000000000029,7212.4645,2020-01-02 00:00:00+00:00,BREAK_BEFORE_LEAVE1,2020-01-01 22:30:00+00:00,,,,,,,False
external,2020-01-02,7154.06,6922.0,232.0600000000004,6956.809,2020-01-03 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-01-03,7407.28,7229.0,178.27999999999975,7255.742,2020-01-04 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-01-06,7611.81,7481.74,130.07000000000062,7501.2505,2020-01-07 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-07,8133.0,7733.0,400.0,7793.0,2020-01-08 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-08,8427.97,7964.41,463.5599999999995,8033.9439999999995,2020-01-09 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-09,7963.0,7776.0,187.0,7804.05,2020-01-10 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-10,8145.41,7851.0,294.40999999999985,7895.1615,2020-01-11 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-13,8132.0,8070.56,61.4399999999996,8079.776000000001,2020-01-14 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-14,8864.99,8520.0,344.9899999999998,8571.7485,2020-01-15 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-15,8921.2,8680.42,240.78000000000065,8716.537,2020-01-16 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-01-16,8732.86,8634.0,98.86000000000058,8648.829,2020-01-17 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-17,8959.22,8785.0,174.21999999999935,8811.133,2020-01-18 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,True
external,2020-01-20,8710.65,8559.21,151.4400000000005,8581.926,2020-01-21 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-21,8682.7,8448.6,234.10000000000036,8483.715,2020-01-22 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-22,8720.59,8585.85,134.73999999999978,8606.061,2020-01-23 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-01-23,8411.0,8326.0,85.0,8338.75,2020-01-24 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-24,8528.0,8422.45,105.54999999999927,8438.282500000001,2020-01-25 00:00:00+00:00,NO_T2,2020-01-24 23:15:00+00:00,2020-01-24 23:25:00+00:00,,,,,,False
external,2020-01-27,8989.37,8715.0,274.3700000000008,8756.1555,2020-01-28 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-28,9207.81,8905.0,302.8099999999995,8950.4215,2020-01-29 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-29,9422.16,9268.14,154.02000000000044,9291.242999999999,2020-01-30 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-30,9545.08,9223.0,322.0799999999999,9271.312,2020-01-31 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-01-31,9377.78,9248.0,129.78000000000065,9267.467,2020-02-01 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-02-03,9372.0,9250.0,122.0,9268.3,2020-02-04 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-02-04,9242.93,9124.0,118.93000000000029,9141.8395,2020-02-05 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-02-05,9799.08,9425.45,373.6299999999992,9481.4945,2020-02-06 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-02-06,9870.64,9651.0,219.63999999999942,9683.946,2020-02-07 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-02-07,9855.35,9773.0,82.35000000000036,9785.3525,2020-02-08 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-02-10,9931.89,9808.35,123.53999999999905,9826.881,2020-02-11 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-02-11,10409.96,9855.6,554.3599999999988,9938.754,2020-02-12 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-02-12,10437.0,10259.64,177.36000000000058,10286.243999999999,2020-02-13 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-02-13,10540.0,10132.0,408.0,10193.2,2020-02-14 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-02-14,10388.99,10233.0,155.98999999999978,10256.3985,2020-02-15 00:00:00+00:00,NO_T1,,,,,,,,True
external,2020-02-17,9730.0,9461.89,268.1100000000006,9502.1065,2020-02-18 00:00:00+00:00,NO_T1,,,,,,,,True
external,2020-02-18,10060.0,9608.68,451.3199999999997,9676.378,2020-02-19 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-02-19,10286.0,10100.0,186.0,10127.9,2020-02-20 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-02-20,9700.0,9382.59,317.40999999999985,9430.2015,2020-02-21 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-02-21,9750.0,9662.86,87.13999999999942,9675.931,2020-02-22 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-02-24,9829.99,9487.38,342.6100000000006,9538.771499999999,2020-02-25 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-02-25,9602.82,9285.66,317.15999999999985,9333.234,2020-02-26 00:00:00+00:00,NO_T2,2020-02-25 21:20:00+00:00,2020-02-25 21:25:00+00:00,,,,,,False
external,2020-02-26,9231.0,8610.0,621.0,8703.15,2020-02-27 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-02-27,8978.0,8793.26,184.73999999999978,8820.971,2020-02-28 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-02-28,8741.93,8500.0,241.9300000000003,8536.2895,2020-02-29 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-03-02,8925.32,8775.0,150.3199999999997,8797.548,2020-03-03 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-03-03,8891.38,8657.41,233.96999999999935,8692.5055,2020-03-04 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-03-04,8787.23,8669.23,118.0,8686.93,2020-03-05 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-03-05,9163.56,9027.0,136.5599999999995,9047.484,2020-03-06 00:00:00+00:00,NO_T1,,,,,,,,True
external,2020-03-06,9114.58,9016.0,98.57999999999993,9030.787,2020-03-07 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,True
external,2020-03-09,7891.71,7635.21,256.5,7673.685,2020-03-10 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,True
external,2020-03-10,8138.92,7733.0,405.9200000000001,7793.888,2020-03-11 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-03-11,7894.09,7593.29,300.8000000000002,7638.41,2020-03-12 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-03-12,6227.75,5711.1,516.6499999999996,5788.5975,2020-03-13 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-03-13,5971.0,4739.22,1231.7799999999997,4923.987,2020-03-14 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-03-16,5200.0,4481.0,719.0,4588.85,2020-03-17 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-03-17,5485.0,5054.62,430.3800000000001,5119.177,2020-03-18 00:00:00+00:00,NO_T1,,,,,,,,True
external,2020-03-18,5390.0,5082.46,307.53999999999996,5128.591,2020-03-19 00:00:00+00:00,NO_T1,,,,,,,,True
external,2020-03-19,6358.0,5706.38,651.6199999999999,5804.1230000000005,2020-03-20 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-03-20,6710.12,6157.26,552.8599999999997,6240.189,2020-03-21 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-03-23,6380.0,6136.63,243.3699999999999,6173.1355,2020-03-24 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,True
external,2020-03-24,6756.03,6456.78,299.25,6501.6675,2020-03-25 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,True
external,2020-03-25,6814.33,6512.78,301.5500000000002,6558.0125,2020-03-26 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-03-26,6688.83,6500.0,188.82999999999993,6528.3245,2020-03-27 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-03-27,6684.55,6566.0,118.55000000000018,6583.7825,2020-03-28 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-03-30,6449.97,6260.0,189.97000000000025,6288.4955,2020-03-31 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,True
external,2020-03-31,6498.0,6392.37,105.63000000000011,6408.2145,2020-04-01 00:00:00+00:00,NO_T2,2020-03-31 23:25:00+00:00,2020-03-31 23:30:00+00:00,,,,,,False
external,2020-04-01,6255.0,6140.0,115.0,6157.25,2020-04-02 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,True
external,2020-04-02,7290.0,6623.01,666.9899999999998,6723.0585,2020-04-03 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-04-03,6904.89,6600.0,304.8900000000003,6645.7335,2020-04-04 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-04-06,7302.0,7026.77,275.22999999999956,7068.0545,2020-04-07 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-04-07,7389.0,7253.05,135.94999999999982,7273.4425,2020-04-08 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-04-08,7347.59,7192.0,155.59000000000015,7215.3385,2020-04-09 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,True
external,2020-04-09,7345.0,7225.09,119.90999999999985,7243.0765,2020-04-10 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-04-10,6946.96,6741.0,205.96000000000004,6771.894,2020-04-11 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-04-13,6800.0,6592.96,207.03999999999996,6624.016,2020-04-14 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-04-14,6975.6,6841.0,134.60000000000036,6861.1900000000005,2020-04-15 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-04-15,6770.4,6686.0,84.39999999999964,6698.66,2020-04-16 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-04-16,7095.0,6950.0,145.0,6971.75,2020-04-17 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-04-17,7084.65,6981.0,103.64999999999964,6996.5475,2020-04-18 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
external,2020-04-20,7090.0,6763.68,326.3199999999997,6812.628000000001,2020-04-21 00:00:00+00:00,NO_T2,2020-04-20 20:00:00+00:00,2020-04-20 20:05:00+00:00,,,,,,False
external,2020-04-21,6940.0,6780.01,159.98999999999978,6804.0085,2020-04-22 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-04-22,7154.9,7030.2,124.69999999999982,7048.905,2020-04-23 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-04-23,7802.38,7146.05,656.3299999999999,7244.4995,2020-04-24 00:00:00+00:00,NO_T1,,,,,,,,False
external,2020-04-24,7546.03,7388.0,158.02999999999975,7411.7045,2020-04-25 00:00:00+00:00,NO_T1,,,,,,,,True
external,2020-04-27,7722.0,7623.98,98.02000000000044,7638.683,2020-04-28 00:00:00+00:00,BREAK_BEFORE_T1,,,,,,,,False
