partition,entry_tf,higher_tf,entry_type,signal_ts,entry_ts,higher_state,entry_px,fakeout_ma6,hard_reversal_12,ret6,mfe6,mae6,strong_frac6,first_soft_failure_bar,signal_ema20,signal_ema50,signal_spread
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 06:05:00+00:00,2020-01-01 06:10:00+00:00,NEUTRAL,7223.92,False,False,0.00035576252228697314,0.0008416483017530396,-0.0002630150942978249,1.0,,7219.79868319834,7215.838638871676,0.0005481842053651671
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 13:20:00+00:00,2020-01-01 13:25:00+00:00,NEUTRAL,7218.0,False,False,0.0004031587697423955,0.0012330285397617047,-0.00037406483790525247,1.0,,7212.333115286195,7207.9356798004565,0.000609231848952375
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 14:25:00+00:00,2020-01-01 14:30:00+00:00,NEUTRAL,7226.74,True,False,-0.0013754472971214682,0.00023938871469031398,-0.0019497034624187393,0.5,4.0,7216.794297603306,7212.208666545371,0.0006345374820888069
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 14:40:00+00:00,2020-01-01 14:45:00+00:00,NEUTRAL,7222.82,True,False,-0.00041119673479328434,0.0005164187948751842,-0.0014080373039893068,0.0,1.0,7218.4970162251475,7213.481142173044,0.0006944606583009591
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 16:50:00+00:00,2020-01-01 16:55:00+00:00,NEUTRAL,7233.0,False,False,0.0008571823586340788,0.0020738282870178537,-0.0015373980367758833,1.0,,7222.753406388249,7219.643362657683,0.00042997977748732873
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 16:55:00+00:00,2020-01-01 17:00:00+00:00,NEUTRAL,7241.91,False,False,9.665958289994947e-06,0.0008409383712308927,-0.0027658449221268366,1.0,,7224.577843875081,7220.516564122088,0.0005608022956641217
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 17:10:00+00:00,2020-01-01 17:15:00+00:00,NEUTRAL,7237.81,False,False,-0.0009491821421121482,0.0011301761168087676,-0.0010389883127631672,0.8333333333333334,,7226.675593471459,7221.863980613789,0.0006647875821269799
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 18:10:00+00:00,2020-01-01 18:15:00+00:00,NEUTRAL,7239.69,True,True,-0.001237622052877918,0.0003121680624447176,-0.0024434747896663334,0.3333333333333333,3.0,7232.265935530964,7226.734971370988,0.0007639780377303539
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 20:55:00+00:00,2020-01-01 21:00:00+00:00,NEUTRAL,7233.32,True,True,-0.001007835959144665,0.0007562225921153853,-0.0011502325349908027,0.3333333333333333,3.0,7230.3078587914215,7229.159073084002,0.000158819032449898
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 21:05:00+00:00,2020-01-01 21:10:00+00:00,NEUTRAL,7238.02,True,True,-0.0017974528945762236,1.3815933086469556e-06,-0.0017988344878848705,0.0,1.0,7231.113870802047,7229.581166656935,0.00021175796423209353
