track,anchor_hour,or_min,trigger,geom,entry_ts,side,net_ret,reason,ref_t,trigger_ts,body_ratio,extension,ref_hour
H4,20,240,CLASSIC,,2023-01-02 04:00:00+00:00,LONG,-0.0038837115048604974,SL,2023-01-01 20:00:00+00:00,2023-01-02 00:00:00+00:00,0.2771159874607968,0.9017632241813254,20
H4,20,240,CLASSIC,,2023-01-04 04:00:00+00:00,LONG,4.841924785964477e-05,TP,2023-01-03 20:00:00+00:00,2023-01-04 00:00:00+00:00,0.8408381631743326,3.2126436781608887,20
H4,20,240,CLASSIC,,2023-01-09 04:00:00+00:00,LONG,0.006197185843694055,TP,2023-01-08 20:00:00+00:00,2023-01-09 00:00:00+00:00,0.43226684819605815,0.0264550264550266,20
H4,20,240,CLASSIC,,2023-01-12 04:00:00+00:00,LONG,-0.009152151000982487,TIME,2023-01-11 20:00:00+00:00,2023-01-12 00:00:00+00:00,0.5659163987138324,0.39859320046893376,20
H4,20,240,CLASSIC,,2023-01-14 04:00:00+00:00,LONG,-0.03438214057781869,SL,2023-01-13 20:00:00+00:00,2023-01-14 00:00:00+00:00,0.6452389550981095,1.4462630359212096,20
H4,20,240,CLASSIC,,2023-01-15 04:00:00+00:00,SHORT,-0.010590251488920397,TIME,2023-01-14 20:00:00+00:00,2023-01-15 00:00:00+00:00,0.4962719298245598,0.11757309022320536,20
H4,20,240,CLASSIC,,2023-01-16 04:00:00+00:00,LONG,0.0037171520989552355,TP,2023-01-15 20:00:00+00:00,2023-01-16 00:00:00+00:00,0.3013002540726334,0.5195454545454512,20
H4,20,240,CLASSIC,,2023-01-24 04:00:00+00:00,LONG,-0.013970643291071392,SL,2023-01-23 20:00:00+00:00,2023-01-24 00:00:00+00:00,0.5916756368855437,0.11917998610145561,20
H4,20,240,CLASSIC,,2023-01-27 04:00:00+00:00,SHORT,-0.010550091818892713,SL,2023-01-26 20:00:00+00:00,2023-01-27 00:00:00+00:00,0.4341604781742434,0.9359223300970838,20
H4,20,240,CLASSIC,,2023-01-29 04:00:00+00:00,LONG,0.0006798188874515567,TP,2023-01-28 20:00:00+00:00,2023-01-29 00:00:00+00:00,0.3115487914055506,1.5212660731948164,20
H4,20,240,CLASSIC,,2023-02-09 04:00:00+00:00,SHORT,-0.010855176886582938,SL,2023-02-08 20:00:00+00:00,2023-02-09 00:00:00+00:00,0.7401299350324895,1.2098765432098988,20
H4,20,240,CLASSIC,,2023-02-15 04:00:00+00:00,SHORT,-0.00895170651322602,SL,2023-02-14 20:00:00+00:00,2023-02-15 00:00:00+00:00,0.6467498358502985,0.1306196840826257,20
H4,20,240,CLASSIC,,2023-02-16 04:00:00+00:00,LONG,0.012614223353946854,TIME,2023-02-15 20:00:00+00:00,2023-02-16 00:00:00+00:00,0.6309689383402878,0.283043823296006,20
H4,20,240,CLASSIC,,2023-02-19 04:00:00+00:00,LONG,0.0016737351642564526,TP,2023-02-18 20:00:00+00:00,2023-02-19 00:00:00+00:00,0.33355481727575237,0.08679004467133683,20
H4,20,240,CLASSIC,,2023-02-21 04:00:00+00:00,LONG,0.0033202293169434806,TP,2023-02-20 20:00:00+00:00,2023-02-21 00:00:00+00:00,0.22926682692307523,0.14440282979609168,20
