partition,transition,date_utc,previous_session_high,previous_session_low,side,signal_ts,entry_ts,entry_px,sweep_level,sweep_extreme,stop_px,target_px,risk_pct,exit_reason,exit_ts,exit_px,gross_return,gross_pnl_usd,net_pnl_usd,hold_minutes
external,LONDON_TO_NEWYORK,2020-01-01,7234.57,7174.0,SHORT,2020-01-01 15:40:00+00:00,2020-01-01 15:45:00+00:00,7231.32,7234.57,7251.89,7251.89,7190.1799999999985,0.0028445705624976655,TIME_EXIT_SESSION_END,2020-01-01 20:00:00+00:00,7226.56,0.0006582477334704517,0.32912386673522587,-0.07087613326477415,255.0
external,LONDON_TO_NEWYORK,2020-01-02,7175.0,7106.75,LONG,2020-01-02 13:50:00+00:00,2020-01-02 13:55:00+00:00,7120.72,7106.75,7103.0,7103.0,7156.160000000001,0.002488512397622748,SL,2020-01-02 16:45:00+00:00,7103.0,-0.002488512397622711,-1.2442561988113554,-1.6442561988113553,170.0
external,ASIA_TO_LONDON,2020-01-03,7300.0,6863.44,SHORT,2020-01-03 09:05:00+00:00,2020-01-03 09:10:00+00:00,7297.14,7300.0,7313.89,7313.89,7263.64,0.002295419849420458,SL,2020-01-03 09:10:00+00:00,7313.89,-0.002295419849420499,-1.1477099247102496,-1.5477099247102495,0.0
external,LONDON_TO_NEWYORK,2020-01-03,7368.33,7198.0,SHORT,2020-01-03 13:55:00+00:00,2020-01-03 14:00:00+00:00,7345.74,7368.33,7379.0,7379.0,7279.219999999999,0.004527794340665504,TP_2R,2020-01-03 14:00:00+00:00,7279.219999999999,0.00905558868133105,4.527794340665525,4.127794340665525,0.0
external,LONDON_TO_NEWYORK,2020-01-06,7576.0,7505.35,SHORT,2020-01-06 13:50:00+00:00,2020-01-06 13:55:00+00:00,7535.82,7576.0,7611.81,7611.81,7383.839999999998,0.010083839582155717,TIME_EXIT_SESSION_END,2020-01-06 20:00:00+00:00,7536.72,-0.00011942960421040816,-0.05971480210520408,-0.4597148021052041,365.0
external,LONDON_TO_NEWYORK,2020-01-07,7969.0,7810.0,LONG,2020-01-07 16:05:00+00:00,2020-01-07 16:10:00+00:00,7831.57,7810.0,7795.85,7795.85,7903.009999999998,0.004561026716226675,TP_2R,2020-01-07 16:30:00+00:00,7903.009999999998,0.009122053432453425,4.561026716226713,4.161026716226712,20.0
external,LONDON_TO_NEWYORK,2020-01-08,8379.51,8222.0,SHORT,2020-01-08 13:35:00+00:00,2020-01-08 13:40:00+00:00,8365.61,8379.51,8389.0,8389.0,8318.830000000002,0.0027959706464919373,SL,2020-01-08 13:40:00+00:00,8389.0,-0.002795970646491952,-1.397985323245976,-1.797985323245976,0.0
external,ASIA_TO_LONDON,2020-01-09,8060.0,7898.0,LONG,2020-01-09 09:00:00+00:00,2020-01-09 09:05:00+00:00,7898.0,7898.0,7875.71,7875.71,7942.58,0.0028222334768295723,SL,2020-01-09 09:05:00+00:00,7875.71,-0.0028222334768295276,-1.4111167384147638,-1.8111167384147637,0.0
external,LONDON_TO_NEWYORK,2020-01-09,7960.0,7851.91,LONG,2020-01-09 19:20:00+00:00,2020-01-09 19:25:00+00:00,7853.77,7851.91,7829.03,7829.03,7903.250000000002,0.003150079515952299,TP_2R,2020-01-09 19:45:00+00:00,7903.250000000002,0.0063001590319045064,3.150079515952253,2.7500795159522533,20.0
external,ASIA_TO_LONDON,2020-01-10,7855.0,7718.05,LONG,2020-01-10 08:15:00+00:00,2020-01-10 08:20:00+00:00,7722.21,7718.05,7710.0,7710.0,7746.63,0.0015811535816819325,SL,2020-01-10 08:25:00+00:00,7710.0,-0.0015811535816819822,-0.7905767908409911,-1.190576790840991,5.0
external,LONDON_TO_NEWYORK,2020-01-10,7929.0,7670.0,SHORT,2020-01-10 13:30:00+00:00,2020-01-10 13:35:00+00:00,7914.95,7929.0,7935.85,7935.85,7873.149999999999,0.002640572587319003,SL,2020-01-10 13:35:00+00:00,7935.85,-0.00264057258731909,-1.320286293659545,-1.7202862936595449,0.0
external,ASIA_TO_LONDON,2020-01-14,8598.27,8109.02,SHORT,2020-01-14 12:30:00+00:00,2020-01-14 12:35:00+00:00,8589.58,8598.27,8622.76,8622.76,8523.22,0.003862819835195701,SL_SAME_5M_CONSERVATIVE,2020-01-14 12:35:00+00:00,8622.76,-0.0038628198351957632,-1.9314099175978816,-2.3314099175978815,0.0
external,LONDON_TO_NEWYORK,2020-01-14,8629.9,8476.0,SHORT,2020-01-14 16:00:00+00:00,2020-01-14 16:05:00+00:00,8562.98,8629.9,8708.0,8708.0,8272.939999999999,0.016935692948015814,SL,2020-01-14 17:00:00+00:00,8708.0,-0.01693569294801578,-8.467846474007889,-8.867846474007889,55.0
external,LONDON_TO_NEWYORK,2020-01-15,8837.0,8610.68,SHORT,2020-01-15 14:05:00+00:00,2020-01-15 14:10:00+00:00,8781.0,8837.0,8874.37,8874.37,8594.259999999998,0.01063318528641394,SL,2020-01-15 14:25:00+00:00,8874.37,-0.010633185286413882,-5.316592643206941,-5.716592643206941,15.0
external,ASIA_TO_LONDON,2020-01-17,9020.0,8680.0,SHORT,2020-01-17 10:15:00+00:00,2020-01-17 10:20:00+00:00,8973.4,9020.0,9039.0,9039.0,8842.199999999999,0.00731049546437252,TP_2R,2020-01-17 12:10:00+00:00,8842.199999999999,0.014620990928745026,7.310495464372513,6.910495464372513,110.0
