partition,transition,date_utc,tf,tolerance,tol_value,previous_session_high,previous_session_low,active_session_start,active_session_end,active_tf_bars,partial_tf_bars,direction,breakout_ts,breakout_bar_start,breakout_on_partial_bar,high_retests,low_retests,high_raw_touch_bars,low_raw_touch_bars,high_rejection_bars,low_rejection_bars,both_zone_bars
external,ASIA_TO_LONDON,2020-01-01,15m,TOL_0.10,0.001,7239.74,7170.15,2020-01-01 08:00:00+00:00,2020-01-01 13:30:00+00:00,22,0,NO_BREAK,,,False,1,1,1,1,1,1,0
external,ASIA_TO_LONDON,2020-01-01,15m,TOL_0.20,0.002,7239.74,7170.15,2020-01-01 08:00:00+00:00,2020-01-01 13:30:00+00:00,22,0,NO_BREAK,,,False,1,2,2,5,2,3,0
external,ASIA_TO_LONDON,2020-01-01,1h,TOL_0.10,0.001,7239.74,7170.15,2020-01-01 08:00:00+00:00,2020-01-01 13:30:00+00:00,6,1,NO_BREAK,,,False,1,1,1,1,1,1,0
external,ASIA_TO_LONDON,2020-01-01,1h,TOL_0.20,0.002,7239.74,7170.15,2020-01-01 08:00:00+00:00,2020-01-01 13:30:00+00:00,6,1,NO_BREAK,,,False,1,1,1,3,1,2,0
external,LONDON_TO_NEWYORK,2020-01-01,15m,TOL_0.10,0.001,7234.57,7174.0,2020-01-01 13:30:00+00:00,2020-01-01 20:00:00+00:00,26,0,BULL,2020-01-01 17:00:00+00:00,2020-01-01 16:45:00+00:00,False,2,0,5,0,3,0,0
external,LONDON_TO_NEWYORK,2020-01-01,15m,TOL_0.20,0.002,7234.57,7174.0,2020-01-01 13:30:00+00:00,2020-01-01 20:00:00+00:00,26,0,BULL,2020-01-01 17:00:00+00:00,2020-01-01 16:45:00+00:00,False,2,0,12,0,4,0,0
external,LONDON_TO_NEWYORK,2020-01-01,1h,TOL_0.10,0.001,7234.57,7174.0,2020-01-01 13:30:00+00:00,2020-01-01 20:00:00+00:00,7,1,BULL,2020-01-01 17:30:00+00:00,2020-01-01 16:30:00+00:00,False,1,0,3,0,3,0,0
external,LONDON_TO_NEWYORK,2020-01-01,1h,TOL_0.20,0.002,7234.57,7174.0,2020-01-01 13:30:00+00:00,2020-01-01 20:00:00+00:00,7,1,BULL,2020-01-01 17:30:00+00:00,2020-01-01 16:30:00+00:00,False,1,0,3,0,1,0,0
external,ASIA_TO_LONDON,2020-01-02,15m,TOL_0.10,0.001,7209.59,7101.0,2020-01-02 08:00:00+00:00,2020-01-02 13:30:00+00:00,22,0,NO_BREAK,,,False,0,1,0,1,0,1,0
external,ASIA_TO_LONDON,2020-01-02,15m,TOL_0.20,0.002,7209.59,7101.0,2020-01-02 08:00:00+00:00,2020-01-02 13:30:00+00:00,22,0,NO_BREAK,,,False,0,1,0,1,0,1,0
external,ASIA_TO_LONDON,2020-01-02,1h,TOL_0.10,0.001,7209.59,7101.0,2020-01-02 08:00:00+00:00,2020-01-02 13:30:00+00:00,6,1,NO_BREAK,,,False,0,1,0,1,0,1,0
external,ASIA_TO_LONDON,2020-01-02,1h,TOL_0.20,0.002,7209.59,7101.0,2020-01-02 08:00:00+00:00,2020-01-02 13:30:00+00:00,6,1,NO_BREAK,,,False,0,1,0,1,0,1,0
external,LONDON_TO_NEWYORK,2020-01-02,15m,TOL_0.10,0.001,7175.0,7106.75,2020-01-02 13:30:00+00:00,2020-01-02 20:00:00+00:00,26,0,BEAR,2020-01-02 17:00:00+00:00,2020-01-02 16:45:00+00:00,False,0,2,0,5,0,3,0
external,LONDON_TO_NEWYORK,2020-01-02,15m,TOL_0.20,0.002,7175.0,7106.75,2020-01-02 13:30:00+00:00,2020-01-02 20:00:00+00:00,26,0,BEAR,2020-01-02 17:00:00+00:00,2020-01-02 16:45:00+00:00,False,0,2,0,10,0,6,0
external,LONDON_TO_NEWYORK,2020-01-02,1h,TOL_0.10,0.001,7175.0,7106.75,2020-01-02 13:30:00+00:00,2020-01-02 20:00:00+00:00,7,1,BEAR,2020-01-02 17:30:00+00:00,2020-01-02 16:30:00+00:00,False,0,2,0,2,0,2,0
external,LONDON_TO_NEWYORK,2020-01-02,1h,TOL_0.20,0.002,7175.0,7106.75,2020-01-02 13:30:00+00:00,2020-01-02 20:00:00+00:00,7,1,BEAR,2020-01-02 17:30:00+00:00,2020-01-02 16:30:00+00:00,False,0,1,0,3,0,2,0
external,ASIA_TO_LONDON,2020-01-03,15m,TOL_0.10,0.001,7300.0,6863.44,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,22,0,BULL,2020-01-03 09:15:00+00:00,2020-01-03 09:00:00+00:00,False,1,0,1,0,1,0,0
external,ASIA_TO_LONDON,2020-01-03,15m,TOL_0.20,0.002,7300.0,6863.44,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,22,0,BULL,2020-01-03 09:15:00+00:00,2020-01-03 09:00:00+00:00,False,1,0,2,0,2,0,0
external,ASIA_TO_LONDON,2020-01-03,1h,TOL_0.10,0.001,7300.0,6863.44,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,6,1,BULL,2020-01-03 10:00:00+00:00,2020-01-03 09:00:00+00:00,False,1,0,1,0,1,0,0
external,ASIA_TO_LONDON,2020-01-03,1h,TOL_0.20,0.002,7300.0,6863.44,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,6,1,BULL,2020-01-03 10:00:00+00:00,2020-01-03 09:00:00+00:00,False,1,0,1,0,1,0,0
external,LONDON_TO_NEWYORK,2020-01-03,15m,TOL_0.10,0.001,7368.33,7198.0,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,26,0,BULL,2020-01-03 16:45:00+00:00,2020-01-03 16:30:00+00:00,False,2,0,3,0,2,0,0
external,LONDON_TO_NEWYORK,2020-01-03,15m,TOL_0.20,0.002,7368.33,7198.0,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,26,0,BULL,2020-01-03 16:45:00+00:00,2020-01-03 16:30:00+00:00,False,2,0,4,0,2,0,0
external,LONDON_TO_NEWYORK,2020-01-03,1h,TOL_0.10,0.001,7368.33,7198.0,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7,1,NO_BREAK,,,False,2,0,5,0,4,0,0
external,LONDON_TO_NEWYORK,2020-01-03,1h,TOL_0.20,0.002,7368.33,7198.0,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7,1,NO_BREAK,,,False,2,0,5,0,3,0,0
external,ASIA_TO_LONDON,2020-01-06,15m,TOL_0.10,0.001,7580.08,7345.0,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,22,0,NO_BREAK,,,False,2,0,2,0,2,0,0
external,ASIA_TO_LONDON,2020-01-06,15m,TOL_0.20,0.002,7580.08,7345.0,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,22,0,NO_BREAK,,,False,2,0,4,0,3,0,0
external,ASIA_TO_LONDON,2020-01-06,1h,TOL_0.10,0.001,7580.08,7345.0,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,6,1,NO_BREAK,,,False,1,0,2,0,2,0,0
external,ASIA_TO_LONDON,2020-01-06,1h,TOL_0.20,0.002,7580.08,7345.0,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,6,1,NO_BREAK,,,False,2,0,3,0,3,0,0
external,LONDON_TO_NEWYORK,2020-01-06,15m,TOL_0.10,0.001,7576.0,7505.35,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,26,0,NO_BREAK,,,False,1,2,1,4,1,4,1
external,LONDON_TO_NEWYORK,2020-01-06,15m,TOL_0.20,0.002,7576.0,7505.35,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,26,0,NO_BREAK,,,False,1,3,2,5,1,4,1
external,LONDON_TO_NEWYORK,2020-01-06,1h,TOL_0.10,0.001,7576.0,7505.35,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7,1,NO_BREAK,,,False,1,2,1,2,1,2,1
external,LONDON_TO_NEWYORK,2020-01-06,1h,TOL_0.20,0.002,7576.0,7505.35,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7,1,NO_BREAK,,,False,1,2,1,3,1,3,1
external,ASIA_TO_LONDON,2020-01-07,15m,TOL_0.10,0.001,8014.91,7757.0,2020-01-07 08:00:00+00:00,2020-01-07 13:30:00+00:00,22,0,NO_BREAK,,,False,0,0,0,0,0,0,0
external,ASIA_TO_LONDON,2020-01-07,15m,TOL_0.20,0.002,8014.91,7757.0,2020-01-07 08:00:00+00:00,2020-01-07 13:30:00+00:00,22,0,NO_BREAK,,,False,0,0,0,0,0,0,0
external,ASIA_TO_LONDON,2020-01-07,1h,TOL_0.10,0.001,8014.91,7757.0,2020-01-07 08:00:00+00:00,2020-01-07 13:30:00+00:00,6,1,NO_BREAK,,,False,0,0,0,0,0,0,0
external,ASIA_TO_LONDON,2020-01-07,1h,TOL_0.20,0.002,8014.91,7757.0,2020-01-07 08:00:00+00:00,2020-01-07 13:30:00+00:00,6,1,NO_BREAK,,,False,0,0,0,0,0,0,0
external,LONDON_TO_NEWYORK,2020-01-07,15m,TOL_0.10,0.001,7969.0,7810.0,2020-01-07 13:30:00+00:00,2020-01-07 20:00:00+00:00,26,0,BEAR,2020-01-07 15:45:00+00:00,2020-01-07 15:30:00+00:00,False,0,0,0,0,0,0,0
external,LONDON_TO_NEWYORK,2020-01-07,15m,TOL_0.20,0.002,7969.0,7810.0,2020-01-07 13:30:00+00:00,2020-01-07 20:00:00+00:00,26,0,BEAR,2020-01-07 15:45:00+00:00,2020-01-07 15:30:00+00:00,False,0,2,0,2,0,2,0
external,LONDON_TO_NEWYORK,2020-01-07,1h,TOL_0.10,0.001,7969.0,7810.0,2020-01-07 13:30:00+00:00,2020-01-07 20:00:00+00:00,7,1,BULL,2020-01-07 18:30:00+00:00,2020-01-07 17:30:00+00:00,False,0,1,0,1,0,1,0
external,LONDON_TO_NEWYORK,2020-01-07,1h,TOL_0.20,0.002,7969.0,7810.0,2020-01-07 13:30:00+00:00,2020-01-07 20:00:00+00:00,7,1,BULL,2020-01-07 18:30:00+00:00,2020-01-07 17:30:00+00:00,False,1,1,1,3,1,3,0
external,ASIA_TO_LONDON,2020-01-08,15m,TOL_0.10,0.001,8468.42,8144.02,2020-01-08 08:00:00+00:00,2020-01-08 13:30:00+00:00,22,0,NO_BREAK,,,False,0,0,0,0,0,0,0
external,ASIA_TO_LONDON,2020-01-08,15m,TOL_0.20,0.002,8468.42,8144.02,2020-01-08 08:00:00+00:00,2020-01-08 13:30:00+00:00,22,0,NO_BREAK,,,False,0,0,0,0,0,0,0
external,ASIA_TO_LONDON,2020-01-08,1h,TOL_0.10,0.001,8468.42,8144.02,2020-01-08 08:00:00+00:00,2020-01-08 13:30:00+00:00,6,1,NO_BREAK,,,False,0,0,0,0,0,0,0
external,ASIA_TO_LONDON,2020-01-08,1h,TOL_0.20,0.002,8468.42,8144.02,2020-01-08 08:00:00+00:00,2020-01-08 13:30:00+00:00,6,1,NO_BREAK,,,False,0,0,0,0,0,0,0
external,LONDON_TO_NEWYORK,2020-01-08,15m,TOL_0.10,0.001,8379.51,8222.0,2020-01-08 13:30:00+00:00,2020-01-08 20:00:00+00:00,26,0,BULL,2020-01-08 13:45:00+00:00,2020-01-08 13:30:00+00:00,False,0,0,0,0,0,0,0
external,LONDON_TO_NEWYORK,2020-01-08,15m,TOL_0.20,0.002,8379.51,8222.0,2020-01-08 13:30:00+00:00,2020-01-08 20:00:00+00:00,26,0,BULL,2020-01-08 13:45:00+00:00,2020-01-08 13:30:00+00:00,False,0,0,0,0,0,0,0
external,LONDON_TO_NEWYORK,2020-01-08,1h,TOL_0.10,0.001,8379.51,8222.0,2020-01-08 13:30:00+00:00,2020-01-08 20:00:00+00:00,7,1,BEAR,2020-01-08 16:30:00+00:00,2020-01-08 15:30:00+00:00,False,1,1,1,1,1,1,1
external,LONDON_TO_NEWYORK,2020-01-08,1h,TOL_0.20,0.002,8379.51,8222.0,2020-01-08 13:30:00+00:00,2020-01-08 20:00:00+00:00,7,1,BEAR,2020-01-08 16:30:00+00:00,2020-01-08 15:30:00+00:00,False,1,1,1,1,1,1,1
external,ASIA_TO_LONDON,2020-01-09,15m,TOL_0.10,0.001,8060.0,7898.0,2020-01-09 08:00:00+00:00,2020-01-09 13:30:00+00:00,22,0,BEAR,2020-01-09 09:30:00+00:00,2020-01-09 09:15:00+00:00,False,0,1,0,1,0,0,0
external,ASIA_TO_LONDON,2020-01-09,15m,TOL_0.20,0.002,8060.0,7898.0,2020-01-09 08:00:00+00:00,2020-01-09 13:30:00+00:00,22,0,BEAR,2020-01-09 09:30:00+00:00,2020-01-09 09:15:00+00:00,False,0,1,0,1,0,0,0
external,ASIA_TO_LONDON,2020-01-09,1h,TOL_0.10,0.001,8060.0,7898.0,2020-01-09 08:00:00+00:00,2020-01-09 13:30:00+00:00,6,1,BEAR,2020-01-09 10:00:00+00:00,2020-01-09 09:00:00+00:00,False,0,0,0,0,0,0,0
