tf,tolerance,transition,partition,direction,n,hi_mean,hi_median,hi_p75,hi_max,hi_ge1,hi_ge2,hi_ge3,hi_ge4,lo_mean,lo_median,lo_p75,lo_max,lo_ge1,lo_ge2,lo_ge3,lo_ge4,hi_raw_mean,hi_raw_median,hi_raw_p75,hi_raw_max,hi_raw_ge1,hi_raw_ge2,hi_raw_ge3,hi_raw_ge4,lo_raw_mean,lo_raw_median,lo_raw_p75,lo_raw_max,lo_raw_ge1,lo_raw_ge2,lo_raw_ge3,lo_raw_ge4,hi_rej_mean,hi_rej_median,hi_rej_p75,hi_rej_max,hi_rej_ge1,hi_rej_ge2,hi_rej_ge3,hi_rej_ge4,lo_rej_mean,lo_rej_median,lo_rej_p75,lo_rej_max,lo_rej_ge1,lo_rej_ge2,lo_rej_ge3,lo_rej_ge4,both_zone_bar_rate,partial_breakout_rate
15m,TOL_0.10,ASIA_TO_LONDON,external,BULL,179,0.6536312849162011,0.0,1.0,5,0.4748603351955307,0.1452513966480447,0.0223463687150838,0.00558659217877095,0.055865921787709494,0.0,0.0,2,0.05027932960893855,0.00558659217877095,0.0,0.0,1.0446927374301676,0.0,1.0,9,0.4748603351955307,0.24022346368715083,0.1452513966480447,0.08379888268156424,0.08379888268156424,0.0,0.0,4,0.05027932960893855,0.01675977653631285,0.0111731843575419,0.00558659217877095,0.7597765363128491,0.0,1.0,6,0.39664804469273746,0.2011173184357542,0.1005586592178771,0.0446927374301676,0.0670391061452514,0.0,0.0,3,0.05027932960893855,0.0111731843575419,0.00558659217877095,0.0,0.0,0.0
15m,TOL_0.10,ASIA_TO_LONDON,external,BEAR,171,0.06432748538011696,0.0,0.0,1,0.06432748538011696,0.0,0.0,0.0,0.7192982456140351,1.0,1.0,3,0.52046783625731,0.16374269005847952,0.03508771929824561,0.0,0.10526315789473684,0.0,0.0,3,0.06432748538011696,0.029239766081871343,0.011695906432748537,0.0,1.064327485380117,1.0,2.0,5,0.52046783625731,0.26900584795321636,0.16374269005847952,0.08771929824561403,0.08187134502923976,0.0,0.0,2,0.06432748538011696,0.017543859649122806,0.0,0.0,0.8070175438596491,0.0,1.0,4,0.45614035087719296,0.23391812865497075,0.08771929824561403,0.029239766081871343,0.0,0.0
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,173,0.4797687861271676,0.0,1.0,4,0.3063583815028902,0.12138728323699421,0.046242774566473986,0.005780346820809248,0.35260115606936415,0.0,0.0,3,0.23121387283236994,0.09826589595375723,0.023121387283236993,0.0,0.8092485549132948,0.0,1.0,9,0.3063583815028902,0.1907514450867052,0.09248554913294797,0.06358381502890173,0.5722543352601156,0.0,0.0,8,0.23121387283236994,0.12716763005780346,0.09826589595375723,0.05202312138728324,0.6994219653179191,0.0,1.0,8,0.30057803468208094,0.17341040462427745,0.08092485549132948,0.057803468208092484,0.5144508670520231,0.0,0.0,6,0.23121387283236994,0.12716763005780346,0.09248554913294797,0.04046242774566474,0.005780346820809248,0.0
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,247,0.8906882591093117,1.0,1.0,4,0.6356275303643725,0.20242914979757085,0.048582995951417005,0.004048582995951417,0.12955465587044535,0.0,0.0,4,0.08502024291497975,0.032388663967611336,0.008097165991902834,0.004048582995951417,1.4979757085020242,1.0,2.0,11,0.6356275303643725,0.3724696356275304,0.22267206477732793,0.12550607287449392,0.24696356275303644,0.0,0.0,8,0.08502024291497975,0.044534412955465584,0.03643724696356275,0.02834008097165992,1.0323886639676114,1.0,2.0,7,0.5263157894736842,0.2591093117408907,0.13360323886639677,0.07692307692307693,0.20647773279352227,0.0,0.0,6,0.08502024291497975,0.044534412955465584,0.032388663967611336,0.024291497975708502,0.0,0.0
15m,TOL_0.10,ASIA_TO_LONDON,development,BEAR,197,0.08121827411167512,0.0,0.0,2,0.07614213197969544,0.005076142131979695,0.0,0.0,0.8629441624365483,1.0,1.0,4,0.6700507614213198,0.16751269035532995,0.02030456852791878,0.005076142131979695,0.18274111675126903,0.0,0.0,9,0.07614213197969544,0.03553299492385787,0.02030456852791878,0.015228426395939087,1.7766497461928934,1.0,2.0,12,0.6700507614213198,0.4010152284263959,0.24873096446700507,0.13705583756345177,0.13705583756345177,0.0,0.0,6,0.07614213197969544,0.030456852791878174,0.015228426395939087,0.005076142131979695,1.0862944162436547,1.0,1.0,9,0.5482233502538071,0.24873096446700507,0.1218274111675127,0.07614213197969544,0.01015228426395939,0.0
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,338,0.5295857988165681,0.0,1.0,6,0.33136094674556216,0.1390532544378698,0.03550295857988166,0.011834319526627219,0.5029585798816568,0.0,1.0,5,0.30177514792899407,0.12130177514792899,0.05621301775147929,0.020710059171597635,0.9733727810650887,0.0,1.0,14,0.33136094674556216,0.22781065088757396,0.14792899408284024,0.10059171597633136,0.9467455621301775,0.0,1.0,15,0.30177514792899407,0.1952662721893491,0.11538461538461539,0.09763313609467456,0.7781065088757396,0.0,1.0,9,0.3254437869822485,0.20118343195266272,0.11242603550295859,0.07100591715976332,0.7366863905325444,0.0,1.0,11,0.2988165680473373,0.17751479289940827,0.10355029585798817,0.07100591715976332,0.005917159763313609,0.0
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BULL,129,0.7829457364341085,1.0,1.0,3,0.6356589147286822,0.13178294573643412,0.015503875968992248,0.0,0.06201550387596899,0.0,0.0,2,0.05426356589147287,0.007751937984496124,0.0,0.0,1.6511627906976745,1.0,3.0,9,0.6356589147286822,0.4186046511627907,0.2558139534883721,0.13178294573643412,0.13178294573643412,0.0,0.0,5,0.05426356589147287,0.03875968992248062,0.023255813953488372,0.007751937984496124,0.8604651162790697,0.0,1.0,7,0.4496124031007752,0.24031007751937986,0.10852713178294573,0.031007751937984496,0.10852713178294573,0.0,0.0,5,0.05426356589147287,0.023255813953488372,0.015503875968992248,0.007751937984496124,0.0,0.0
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,130,0.1076923076923077,0.0,0.0,3,0.09230769230769231,0.007692307692307693,0.007692307692307693,0.0,0.9615384615384616,1.0,1.0,3,0.7153846153846154,0.2153846153846154,0.03076923076923077,0.0,0.2076923076923077,0.0,0.0,5,0.09230769230769231,0.05384615384615385,0.03076923076923077,0.023076923076923078,1.6384615384615384,1.0,2.0,9,0.7153846153846154,0.4,0.2,0.11538461538461539,0.13846153846153847,0.0,0.0,3,0.09230769230769231,0.03076923076923077,0.015384615384615385,0.0,0.9923076923076923,1.0,2.0,6,0.5538461538461539,0.27692307692307694,0.1,0.038461538461538464,0.007692307692307693,0.0
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,152,0.48026315789473684,0.0,1.0,4,0.3223684210526316,0.125,0.02631578947368421,0.006578947368421052,0.40789473684210525,0.0,1.0,4,0.29605263157894735,0.08552631578947369,0.013157894736842105,0.013157894736842105,0.875,0.0,1.0,11,0.3223684210526316,0.23684210526315788,0.14473684210526316,0.07894736842105263,0.7828947368421053,0.0,1.0,10,0.29605263157894735,0.20394736842105263,0.11842105263157894,0.046052631578947366,0.7039473684210527,0.0,1.0,9,0.3157894736842105,0.20394736842105263,0.1118421052631579,0.039473684210526314,0.6052631578947368,0.0,1.0,6,0.29605263157894735,0.17105263157894737,0.08552631578947369,0.02631578947368421,0.0,0.0
15m,TOL_0.10,ASIA_TO_LONDON,august,BULL,5,0.8,0.0,2.0,2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.2,0.0,2.0,4,0.4,0.4,0.2,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
