transition,partition,side,k,purity,entry_depth,setups,fills,fill_rate,wins,losses,wr,tp_rate,net_pf,net_exp,total_net,time_exit_rate,median_nominal_rr,screen_pass
ASIA_TO_LONDON,external,LONG,1,ALL,SHALLOW,104,46,0.4423076923076923,25,21,0.5434782608695652,0.4782608695652174,0.5693479095437965,-0.941967212865587,-43.330491791817,0.3695652173913043,0.3333333333333333,False
ASIA_TO_LONDON,external,LONG,1,ALL,MID,104,22,0.21153846153846154,7,15,0.3181818181818182,0.09090909090909091,0.2649134190234533,-1.6120540563401098,-35.46518923948241,0.5454545454545454,1.0,False
ASIA_TO_LONDON,external,LONG,1,ALL,DEEP,104,10,0.09615384615384616,2,8,0.2,0.0,0.16047937406145207,-1.7215749672095988,-17.21574967209599,0.3,3.0,False
ASIA_TO_LONDON,external,LONG,1,ALL,NEAR_OPPOSITE_EDGE,104,8,0.07692307692307693,0,8,0.0,0.0,0.0,-1.2203744425155298,-9.762995540124239,0.125,9.000000000000217,False
ASIA_TO_LONDON,external,LONG,1,OPP0,SHALLOW,100,44,0.44,25,19,0.5681818181818182,0.5,0.6304324250644467,-0.7632159369753283,-33.58150122691445,0.38636363636363635,0.3333333333333333,False
ASIA_TO_LONDON,external,LONG,1,OPP0,MID,100,20,0.2,7,13,0.35,0.1,0.3082570830331555,-1.4340668784437678,-28.681337568875357,0.6,1.0,False
ASIA_TO_LONDON,external,LONG,1,OPP0,DEEP,100,8,0.08,2,6,0.25,0.0,0.19699183103814188,-1.676855152152083,-13.414841217216663,0.375,3.0000000000000084,False
ASIA_TO_LONDON,external,LONG,1,OPP0,NEAR_OPPOSITE_EDGE,100,6,0.06,0,6,0.0,0.0,0.0,-1.2934109916883167,-7.7604659501299,0.16666666666666666,9.000000000000071,False
ASIA_TO_LONDON,external,LONG,2,ALL,SHALLOW,24,8,0.3333333333333333,5,3,0.625,0.375,0.9801551031906784,-0.02790258459331002,-0.22322067674648016,0.5,0.3333333333333333,False
ASIA_TO_LONDON,external,LONG,2,ALL,MID,24,3,0.125,0,3,0.0,0.0,0.0,-1.3806967787747884,-4.142090336324365,0.6666666666666666,0.9999999999999877,False
ASIA_TO_LONDON,external,LONG,2,ALL,DEEP,24,1,0.041666666666666664,1,0,1.0,0.0,inf,2.3022016596073285,2.3022016596073285,1.0,3.0000000000000298,False
ASIA_TO_LONDON,external,LONG,2,ALL,NEAR_OPPOSITE_EDGE,24,0,0.0,0,0,,,,,,,9.00000000000001,False
ASIA_TO_LONDON,external,LONG,2,OPP0,SHALLOW,24,8,0.3333333333333333,5,3,0.625,0.375,0.9801551031906784,-0.02790258459331002,-0.22322067674648016,0.5,0.3333333333333333,False
ASIA_TO_LONDON,external,LONG,2,OPP0,MID,24,3,0.125,0,3,0.0,0.0,0.0,-1.3806967787747884,-4.142090336324365,0.6666666666666666,0.9999999999999877,False
ASIA_TO_LONDON,external,LONG,2,OPP0,DEEP,24,1,0.041666666666666664,1,0,1.0,0.0,inf,2.3022016596073285,2.3022016596073285,1.0,3.0000000000000298,False
ASIA_TO_LONDON,external,LONG,2,OPP0,NEAR_OPPOSITE_EDGE,24,0,0.0,0,0,,,,,,,9.00000000000001,False
ASIA_TO_LONDON,external,LONG,3,ALL,SHALLOW,4,2,0.5,1,1,0.5,0.5,0.37531681311951764,-1.4633035698486558,-2.9266071396973117,0.5,0.33333333333333426,False
ASIA_TO_LONDON,external,LONG,3,ALL,MID,4,1,0.25,0,1,0.0,0.0,0.0,-1.2158210979225532,-1.2158210979225532,1.0,0.9999999999999851,False
ASIA_TO_LONDON,external,LONG,3,ALL,DEEP,4,1,0.25,1,0,1.0,0.0,inf,2.3022016596073285,2.3022016596073285,1.0,3.0000000000000298,False
ASIA_TO_LONDON,external,LONG,3,ALL,NEAR_OPPOSITE_EDGE,4,0,0.0,0,0,,,,,,,9.000000000000123,False
ASIA_TO_LONDON,external,LONG,3,OPP0,SHALLOW,4,2,0.5,1,1,0.5,0.5,0.37531681311951764,-1.4633035698486558,-2.9266071396973117,0.5,0.33333333333333426,False
ASIA_TO_LONDON,external,LONG,3,OPP0,MID,4,1,0.25,0,1,0.0,0.0,0.0,-1.2158210979225532,-1.2158210979225532,1.0,0.9999999999999851,False
ASIA_TO_LONDON,external,LONG,3,OPP0,DEEP,4,1,0.25,1,0,1.0,0.0,inf,2.3022016596073285,2.3022016596073285,1.0,3.0000000000000298,False
ASIA_TO_LONDON,external,LONG,3,OPP0,NEAR_OPPOSITE_EDGE,4,0,0.0,0,0,,,,,,,9.000000000000123,False
ASIA_TO_LONDON,external,SHORT,1,ALL,SHALLOW,111,56,0.5045045045045045,39,17,0.6964285714285714,0.6964285714285714,1.5183802674450408,0.701565276517289,39.287655484968184,0.19642857142857142,0.3333333333333333,False
ASIA_TO_LONDON,external,SHORT,1,ALL,MID,111,31,0.27927927927927926,17,14,0.5483870967741935,0.3225806451612903,1.128449844798257,0.22276617003031976,6.905751270939913,0.41935483870967744,1.0,False
ASIA_TO_LONDON,external,SHORT,1,ALL,DEEP,111,18,0.16216216216216217,9,9,0.5,0.2222222222222222,1.0140293393854116,0.01956946126994113,0.3522503028589403,0.3333333333333333,3.0,False
ASIA_TO_LONDON,external,SHORT,1,ALL,NEAR_OPPOSITE_EDGE,111,11,0.0990990990990991,5,6,0.45454545454545453,0.18181818181818182,2.3722875086548565,1.0809585391697007,11.89054393086671,0.2727272727272727,9.0,False
ASIA_TO_LONDON,external,SHORT,1,OPP0,SHALLOW,107,54,0.5046728971962616,37,17,0.6851851851851852,0.6851851851851852,1.4710977192578032,0.6611878939465962,35.704146273116194,0.2037037037037037,0.3333333333333333,False
ASIA_TO_LONDON,external,SHORT,1,OPP0,MID,107,30,0.2803738317757009,16,14,0.5333333333333333,0.3,1.0550584016631546,0.09866876519220964,2.9600629557662894,0.43333333333333335,1.0,False
ASIA_TO_LONDON,external,SHORT,1,OPP0,DEEP,107,17,0.1588785046728972,8,9,0.47058823529411764,0.17647058823529413,0.771465255764581,-0.337533954669588,-5.738077229382997,0.35294117647058826,3.0,False
ASIA_TO_LONDON,external,SHORT,1,OPP0,NEAR_OPPOSITE_EDGE,107,11,0.102803738317757,5,6,0.45454545454545453,0.18181818181818182,2.3722875086548565,1.0809585391697007,11.89054393086671,0.2727272727272727,9.0,False
ASIA_TO_LONDON,external,SHORT,2,ALL,SHALLOW,35,15,0.42857142857142855,6,9,0.4,0.3333333333333333,0.7348200819839135,-0.23606001072317845,-3.5409001608476767,0.6666666666666666,0.3333333333333333,False
ASIA_TO_LONDON,external,SHORT,2,ALL,MID,35,8,0.22857142857142856,5,3,0.625,0.125,12.156326359841355,1.257240731867758,10.057925854942065,0.875,1.0,False
ASIA_TO_LONDON,external,SHORT,2,ALL,DEEP,35,2,0.05714285714285714,2,0,1.0,0.0,inf,0.8285036026620789,1.6570072053241578,1.0,3.0000000000001377,False
ASIA_TO_LONDON,external,SHORT,2,ALL,NEAR_OPPOSITE_EDGE,35,1,0.02857142857142857,1,0,1.0,0.0,inf,1.2744358923064807,1.2744358923064807,1.0,8.999999999999774,False
ASIA_TO_LONDON,external,SHORT,2,OPP0,SHALLOW,31,13,0.41935483870967744,5,8,0.38461538461538464,0.3076923076923077,0.6541971830576374,-0.3529061958548497,-4.587780546113047,0.6923076923076923,0.3333333333333333,False
ASIA_TO_LONDON,external,SHORT,2,OPP0,MID,31,8,0.25806451612903225,5,3,0.625,0.125,12.156326359841355,1.257240731867758,10.057925854942065,0.875,1.0,False
ASIA_TO_LONDON,external,SHORT,2,OPP0,DEEP,31,2,0.06451612903225806,2,0,1.0,0.0,inf,0.8285036026620789,1.6570072053241578,1.0,3.0000000000001377,False
ASIA_TO_LONDON,external,SHORT,2,OPP0,NEAR_OPPOSITE_EDGE,31,1,0.03225806451612903,1,0,1.0,0.0,inf,1.2744358923064807,1.2744358923064807,1.0,8.999999999999774,False
ASIA_TO_LONDON,external,SHORT,3,ALL,SHALLOW,6,0,0.0,0,0,,,,,,,0.3333333333333333,False
ASIA_TO_LONDON,external,SHORT,3,ALL,MID,6,0,0.0,0,0,,,,,,,1.0,False
ASIA_TO_LONDON,external,SHORT,3,ALL,DEEP,6,0,0.0,0,0,,,,,,,3.0,False
ASIA_TO_LONDON,external,SHORT,3,ALL,NEAR_OPPOSITE_EDGE,6,0,0.0,0,0,,,,,,,8.99999999999988,False
ASIA_TO_LONDON,external,SHORT,3,OPP0,SHALLOW,6,0,0.0,0,0,,,,,,,0.3333333333333333,False
ASIA_TO_LONDON,external,SHORT,3,OPP0,MID,6,0,0.0,0,0,,,,,,,1.0,False
ASIA_TO_LONDON,external,SHORT,3,OPP0,DEEP,6,0,0.0,0,0,,,,,,,3.0,False
ASIA_TO_LONDON,external,SHORT,3,OPP0,NEAR_OPPOSITE_EDGE,6,0,0.0,0,0,,,,,,,8.99999999999988,False
ASIA_TO_LONDON,development,LONG,1,ALL,SHALLOW,164,71,0.4329268292682927,41,30,0.5774647887323944,0.4647887323943662,0.8721711526499767,-0.13151255016107846,-9.33739106143657,0.4507042253521127,0.3333333333333333,False
ASIA_TO_LONDON,development,LONG,1,ALL,MID,164,35,0.21341463414634146,14,21,0.4,0.22857142857142856,0.8048387729333434,-0.23863560386164734,-8.352246135157657,0.5428571428571428,1.0,False
ASIA_TO_LONDON,development,LONG,1,ALL,DEEP,164,18,0.10975609756097561,8,10,0.4444444444444444,0.05555555555555555,1.2743912029156534,0.2191452382832974,3.9446142890993534,0.5555555555555556,2.9999999999999782,False
ASIA_TO_LONDON,development,LONG,1,ALL,NEAR_OPPOSITE_EDGE,164,9,0.054878048780487805,2,7,0.2222222222222222,0.0,0.31729529677866936,-0.47663349864736904,-4.2897014878263215,0.3333333333333333,8.999999999999888,False
ASIA_TO_LONDON,development,LONG,1,OPP0,SHALLOW,161,69,0.42857142857142855,39,30,0.5652173913043478,0.4492753623188406,0.7932633971518862,-0.21885927687105122,-15.101290104102535,0.463768115942029,0.3333333333333333,False
ASIA_TO_LONDON,development,LONG,1,OPP0,MID,161,33,0.20496894409937888,13,20,0.3939393939393939,0.21212121212121213,0.6756414123961081,-0.3935426170346889,-12.986906362144733,0.5757575757575758,1.0,False
ASIA_TO_LONDON,development,LONG,1,OPP0,DEEP,161,17,0.10559006211180125,7,10,0.4117647058823529,0.0,0.48274105712032417,-0.43741477294132236,-7.43605114000248,0.5882352941176471,2.9999999999999565,False
ASIA_TO_LONDON,development,LONG,1,OPP0,NEAR_OPPOSITE_EDGE,161,9,0.055900621118012424,2,7,0.2222222222222222,0.0,0.31729529677866936,-0.47663349864736904,-4.2897014878263215,0.3333333333333333,8.999999999999888,False
ASIA_TO_LONDON,development,LONG,2,ALL,SHALLOW,43,15,0.3488372093023256,5,10,0.3333333333333333,0.26666666666666666,0.44835075661026247,-0.7744836693634051,-11.617255040451075,0.6666666666666666,0.3333333333333333,False
ASIA_TO_LONDON,development,LONG,2,ALL,MID,43,9,0.20930232558139536,3,6,0.3333333333333333,0.1111111111111111,0.26996232651288904,-0.7624316648778652,-6.8618849839007865,0.6666666666666666,1.0,False
ASIA_TO_LONDON,development,LONG,2,ALL,DEEP,43,7,0.16279069767441862,4,3,0.5714285714285714,0.0,1.2836034078814915,0.16237107233670617,1.1365975063569431,0.7142857142857143,3.0,False
ASIA_TO_LONDON,development,LONG,2,ALL,NEAR_OPPOSITE_EDGE,43,2,0.046511627906976744,1,1,0.5,0.0,1.5003048339306777,0.2677666766798652,0.5355333533597304,0.5,8.999999999999954,False
ASIA_TO_LONDON,development,LONG,2,OPP0,SHALLOW,43,15,0.3488372093023256,5,10,0.3333333333333333,0.26666666666666666,0.44835075661026247,-0.7744836693634051,-11.617255040451075,0.6666666666666666,0.3333333333333333,False
ASIA_TO_LONDON,development,LONG,2,OPP0,MID,43,9,0.20930232558139536,3,6,0.3333333333333333,0.1111111111111111,0.26996232651288904,-0.7624316648778652,-6.8618849839007865,0.6666666666666666,1.0,False
ASIA_TO_LONDON,development,LONG,2,OPP0,DEEP,43,7,0.16279069767441862,4,3,0.5714285714285714,0.0,1.2836034078814915,0.16237107233670617,1.1365975063569431,0.7142857142857143,3.0,False
ASIA_TO_LONDON,development,LONG,2,OPP0,NEAR_OPPOSITE_EDGE,43,2,0.046511627906976744,1,1,0.5,0.0,1.5003048339306777,0.2677666766798652,0.5355333533597304,0.5,8.999999999999954,False
ASIA_TO_LONDON,development,LONG,3,ALL,SHALLOW,8,2,0.25,1,1,0.5,0.5,0.10702260359240935,-1.5537035696716768,-3.1074071393433536,0.0,0.33333333333333326,False
ASIA_TO_LONDON,development,LONG,3,ALL,MID,8,1,0.125,0,1,0.0,0.0,0.0,-2.457442591322567,-2.457442591322567,0.0,1.0,False
ASIA_TO_LONDON,development,LONG,3,ALL,DEEP,8,1,0.125,0,1,0.0,0.0,0.0,-1.4308421942967215,-1.4308421942967215,0.0,3.0000000000001332,False
ASIA_TO_LONDON,development,LONG,3,ALL,NEAR_OPPOSITE_EDGE,8,0,0.0,0,0,,,,,,,9.0,False
ASIA_TO_LONDON,development,LONG,3,OPP0,SHALLOW,8,2,0.25,1,1,0.5,0.5,0.10702260359240935,-1.5537035696716768,-3.1074071393433536,0.0,0.33333333333333326,False
ASIA_TO_LONDON,development,LONG,3,OPP0,MID,8,1,0.125,0,1,0.0,0.0,0.0,-2.457442591322567,-2.457442591322567,0.0,1.0,False
ASIA_TO_LONDON,development,LONG,3,OPP0,DEEP,8,1,0.125,0,1,0.0,0.0,0.0,-1.4308421942967215,-1.4308421942967215,0.0,3.0000000000001332,False
ASIA_TO_LONDON,development,LONG,3,OPP0,NEAR_OPPOSITE_EDGE,8,0,0.0,0,0,,,,,,,9.0,False
