session,variant,partition,n,wins,losses,wr,tp_rate,net_pf,net_expectancy_usd,total_net_usd,median_risk_pct,median_hold_min,time_exit_rate,samebar_rate,repeatable_pass
NYSE_0930,V1_STRUCTURE_RETEST,external,42,17,25,0.40476190476190477,0.30952380952380953,1.1584867225999396,0.32399991874013045,13.607996587085479,0.006130538808432787,62.5,0.16666666666666666,0.0,False
NYSE_0930,V1_STRUCTURE_RETEST,development,46,25,21,0.5434782608695652,0.41304347826086957,1.537599702949894,0.955459507927487,43.951137364664405,0.0068008698628724395,87.5,0.21739130434782608,0.0,False
NYSE_0930,V1_STRUCTURE_RETEST,reference_validation,31,14,17,0.45161290322580644,0.22580645161290322,0.7532661156813257,-0.5194495869146324,-16.102937194353604,0.0065218586429095435,70.0,0.3870967741935484,0.0,False
NYSE_0930,V1_STRUCTURE_RETEST,august,1,0,1,0.0,0.0,0.0,-4.252702562680777,-4.252702562680777,0.0077054051253616475,30.0,0.0,0.0,False
NYSE_0930,V2_FVG_RETEST,external,3,1,2,0.3333333333333333,0.3333333333333333,0.3894857625281086,-1.019576951649492,-3.0587308549484757,0.00235135845535904,20.0,0.0,0.0,False
NYSE_0930,V2_FVG_RETEST,development,9,6,3,0.6666666666666666,0.5555555555555556,2.329223187900993,1.1439111757539266,10.29520058178534,0.003387099645712145,25.0,0.1111111111111111,0.0,False
NYSE_0930,V2_FVG_RETEST,reference_validation,5,4,1,0.8,0.4,2.3666884656710088,1.1290222354900292,5.645111177450146,0.006858206027904235,170.0,0.6,0.0,False
NYSE_0930,V2_FVG_RETEST,august,0,0,0,,,,,,,,,,False
LONDON_0800,V1_STRUCTURE_RETEST,external,46,14,32,0.30434782608695654,0.21739130434782608,0.5134033176227855,-0.777647022018694,-35.77176301285992,0.004061120355456261,25.0,0.1956521739130435,0.021739130434782608,False
LONDON_0800,V1_STRUCTURE_RETEST,development,53,23,30,0.4339622641509434,0.24528301886792453,0.6529270138760308,-0.4364957359078128,-23.13427400311408,0.003722417014625681,75.0,0.24528301886792453,0.0,False
LONDON_0800,V1_STRUCTURE_RETEST,reference_validation,34,15,19,0.4411764705882353,0.38235294117647056,0.8368437729322953,-0.1484492785778256,-5.047275471646071,0.0022292718530106917,52.5,0.14705882352941177,0.0,False
LONDON_0800,V1_STRUCTURE_RETEST,august,0,0,0,,,,,,,,,,False
LONDON_0800,V2_FVG_RETEST,external,11,4,7,0.36363636363636365,0.36363636363636365,0.9743322147881154,-0.02432760385236644,-0.26760364237603085,0.0019170049616599545,10.0,0.0,0.0,False
LONDON_0800,V2_FVG_RETEST,development,15,7,8,0.4666666666666667,0.26666666666666666,0.5146226314179487,-0.462247632512602,-6.93371448768903,0.0026907090219073,55.0,0.2,0.0,False
LONDON_0800,V2_FVG_RETEST,reference_validation,10,2,8,0.2,0.2,0.40304320002612626,-0.7192387645075289,-7.192387645075289,0.0018696093872572672,50.0,0.0,0.0,False
LONDON_0800,V2_FVG_RETEST,august,1,1,0,1.0,1.0,inf,0.6422254578895118,0.6422254578895118,0.0010422254578894934,80.0,0.0,0.0,False
NSE_0915,V1_STRUCTURE_RETEST,external,58,15,43,0.25862068965517243,0.15517241379310345,0.4884170230690263,-0.9918401504070935,-57.52672872361142,0.004555584929621473,92.5,0.2413793103448276,0.0,False
NSE_0915,V1_STRUCTURE_RETEST,development,91,38,53,0.4175824175824176,0.3076923076923077,0.5364607193261002,-0.5587108356414549,-50.842686043372396,0.0026395664238821268,80.0,0.17582417582417584,0.0,False
NSE_0915,V1_STRUCTURE_RETEST,reference_validation,52,15,37,0.28846153846153844,0.21153846153846154,0.33635150919873963,-0.8328798825258986,-43.30975389134673,0.0024238338100420224,87.5,0.15384615384615385,0.0,False
NSE_0915,V1_STRUCTURE_RETEST,august,1,1,0,1.0,1.0,inf,0.7736265997090989,0.7736265997090989,0.001173626599709097,90.0,0.0,0.0,False
NSE_0915,V2_FVG_RETEST,external,7,2,5,0.2857142857142857,0.14285714285714285,0.24063251928553453,-1.714144970920282,-11.999014796441974,0.003038041233242009,105.0,0.14285714285714285,0.14285714285714285,False
NSE_0915,V2_FVG_RETEST,development,16,5,11,0.3125,0.3125,0.304092656852812,-0.6930624928634896,-11.088999885815834,0.001744485248062639,25.0,0.0,0.0,False
NSE_0915,V2_FVG_RETEST,reference_validation,11,7,4,0.6363636363636364,0.45454545454545453,1.627992324196373,0.28068219814076456,3.0875041795484104,0.0013516795951426656,35.0,0.18181818181818182,0.0,False
NSE_0915,V2_FVG_RETEST,august,0,0,0,,,,,,,,,,False
