i,entry_t,coarse,thu_sign,l4_sign,thu_day_ret,sun12_to16_ret,sell_pnl,buy_pnl,final_decision
0,2023-12-03 09:00:00+00:00,F+|S-|U+,-,+,-0.002667401283637072,0.0011359939820272391,-7.699536725601946,11.699536725601895,BUY
1,2023-12-10 09:00:00+00:00,F+|S+|U-,-,-,-0.0036992886334058506,-0.00393198507255621,11.943680114806734,-7.943680114806728,WAIT
2,2023-12-17 09:00:00+00:00,F-|S+|U-,+,-,0.016804315653792923,-0.002410756782484591,11.865836000367446,-7.79989252980772,BUY
3,2023-12-24 09:00:00+00:00,F-|S+|U-,-,-,-0.0002904457083788836,-0.003844547929077735,11.848751643487457,-7.848751643487453,BUY
4,2023-12-31 09:00:00+00:00,F-|S+|U+,-,+,-0.014218460111317222,0.005903159787533641,-1.6366953095032644,0.13669530950326436,SELL
5,2024-01-07 09:00:00+00:00,F-|S+|U+,+,+,0.021016433693256342,0.0003432223808268464,6.7436570097704935,-7.799894228584419,WAIT
6,2024-01-14 09:00:00+00:00,F-|S-|U+,+,+,0.01588996842307333,0.009648235070360167,11.75000000000001,-7.750000000000006,SELL
7,2024-01-21 09:00:00+00:00,F-|S+|U+,-,-,-0.009551801881558575,-0.0002759461353143422,3.503422796562018,-5.003422796562018,WAIT
8,2024-01-28 09:00:00+00:00,F+|S-|U+,-,-,-0.012093763997412021,-0.005509196823256235,2.345059823143878,-7.799728429766137,WAIT
9,2024-02-04 09:00:00+00:00,F+|S-|U-,-,-,-0.018817433162216846,-0.0028063959722157694,3.3890422518091947,-7.800169582250319,SELL
10,2024-02-11 09:00:00+00:00,F+|S-|U+,+,-,0.04210767404898563,-0.003319610344427737,-7.649805624526015,-0.6735838432529251,WAIT
11,2024-02-18 09:00:00+00:00,F-|S-|U+,+,+,0.013402139769047583,0.004287062644993789,-4.115703573975951,2.6157035739759515,SELL
12,2024-02-25 09:00:00+00:00,F-|S+|U+,+,-,0.0027213479821535103,-0.00012393493415963075,1.1471846780681167,-2.6471846780681165,BUY
13,2024-03-03 09:00:00+00:00,F-|S+|U-,-,-,-0.004716113628113083,-0.006808407827977758,-7.750000000000006,11.5250264538948,BUY
14,2024-03-10 09:00:00+00:00,F+|S+|U+,+,+,0.003080601886180201,0.00348526819440953,12.19609973468022,-7.750000000000006,SELL
15,2024-03-17 09:00:00+00:00,F-|S+|U-,-,+,-0.022540748000240973,0.002531962067261917,-7.750000000000006,11.623159398903487,BUY
16,2024-03-24 09:00:00+00:00,F-|S+|U-,+,+,0.05866822511316161,0.01596881855949217,-7.670065131609785,11.670065131609734,BUY
17,2024-03-31 09:00:00+00:00,F-|S+|U+,+,+,0.020838353420898237,0.0024183297136768367,-7.750000000000006,3.074393716200874,WAIT
18,2024-04-07 09:00:00+00:00,F+|S+|U+,+,+,0.023813155299706956,0.0028889639269129574,1.062683115989905,-2.562683115989905,SELL
19,2024-04-14 09:00:00+00:00,F-|S-|U-,+,+,0.0074774956141612225,0.00872344384488244,11.799729740203384,-7.750000000000006,SELL
20,2024-04-21 09:00:00+00:00,F+|S+|U+,+,-,0.055415110552655245,-0.002069826663550156,0.2634379647475298,-1.7634379647475298,SELL
21,2024-04-28 09:00:00+00:00,F-|S-|U+,-,-,-0.005709309973228938,-0.0021186905489476437,7.123449824019988,-7.76387303930576,SELL
22,2024-05-05 09:00:00+00:00,F+|S+|U-,+,+,0.034504407971000406,0.0050807037493287854,-7.750000000000006,0.3932172327371984,BUY
