tf,signal_ts,entry_idx,hold,selector,side,score,week,net_ret,reason,exit_ts,entry,rr,threshold_q
1h,2023-01-08 23:00:00+00:00,172,6,MOMENTUM,LONG,7.792362717279732,2023-W01,0.0012958942940897735,TP,2023-01-09 00:00:00+00:00,17124.6,R100,0.9
1h,2023-01-12 00:00:00+00:00,245,6,MOMENTUM,LONG,9.490127576886087,2023-W02,-0.008212695536002622,SL,2023-01-12 01:00:00+00:00,18263.9,R100,0.9
1h,2023-01-20 20:00:00+00:00,457,6,MOMENTUM,LONG,10.532845778408785,2023-W03,0.007045584140544405,TP,2023-01-20 22:00:00+00:00,22287.2,R100,0.9
1h,2023-01-25 21:00:00+00:00,578,6,MOMENTUM,LONG,8.91249123218526,2023-W04,-0.010538885736931345,SL,2023-01-25 22:00:00+00:00,23593.3,R100,0.9
1h,2023-02-01 19:00:00+00:00,744,6,MOMENTUM,LONG,5.863150395331969,2023-W05,0.0054693862711768255,TP,2023-02-01 20:00:00+00:00,23379.8,R100,0.9
1h,2023-02-09 19:00:00+00:00,936,6,MOMENTUM,SHORT,5.593258035524718,2023-W06,0.0060954448732773465,TP,2023-02-09 20:00:00+00:00,22027.3,R100,0.9
1h,2023-02-15 20:00:00+00:00,1081,6,MOMENTUM,LONG,9.61193772084252,2023-W07,0.009537869141891532,TP,2023-02-15 22:00:00+00:00,24144.8,R100,0.9
1h,2023-02-24 15:00:00+00:00,1292,6,MOMENTUM,SHORT,5.882016840394025,2023-W08,0.005780865476613885,TP,2023-02-24 16:00:00+00:00,23337.1,R100,0.9
1h,2023-03-03 01:00:00+00:00,1446,6,MOMENTUM,SHORT,12.987073813957435,2023-W09,-0.011813280037996808,SL,2023-03-03 02:00:00+00:00,22137.2,R100,0.9
1h,2023-03-09 20:00:00+00:00,1609,6,MOMENTUM,SHORT,9.693934285255864,2023-W10,-0.012831617929289272,SL,2023-03-09 21:00:00+00:00,20098.0,R100,0.9
1h,2023-03-14 12:00:00+00:00,1721,6,MOMENTUM,LONG,9.245724520814568,2023-W11,0.013053536915346,TP,2023-03-14 13:00:00+00:00,25870.0,R100,0.9
1h,2023-03-22 19:00:00+00:00,1920,6,MOMENTUM,SHORT,9.694012438892429,2023-W12,-0.015298612983329405,SL,2023-03-22 20:00:00+00:00,26653.3,R100,0.9
1h,2023-03-27 14:00:00+00:00,2035,6,MOMENTUM,SHORT,9.009553722494683,2023-W13,0.006001949281550458,TP,2023-03-27 15:00:00+00:00,26933.0,R100,0.9
1h,2023-04-09 21:00:00+00:00,2354,6,MOMENTUM,LONG,5.501412297883092,2023-W14,-0.005892287185920551,SL,2023-04-09 23:00:00+00:00,28423.2,R100,0.9
1h,2023-04-10 16:00:00+00:00,2373,6,MOMENTUM,LONG,10.79301127531673,2023-W15,0.003915739768943606,TP,2023-04-10 17:00:00+00:00,29033.1,R100,0.9
1h,2023-04-19 08:00:00+00:00,2581,6,MOMENTUM,SHORT,9.184400847422232,2023-W16,-0.009678430645074952,SL,2023-04-19 14:00:00+00:00,29148.1,R100,0.9
1h,2023-04-26 12:00:00+00:00,2753,6,MOMENTUM,LONG,7.6938059254359,2023-W17,-0.010275991877366995,SL,2023-04-26 13:00:00+00:00,29955.1,R100,0.9
1h,2023-05-01 01:00:00+00:00,2862,6,MOMENTUM,SHORT,6.766060255144858,2023-W18,0.007904144272265103,TP,2023-05-01 05:00:00+00:00,28488.2,R100,0.9
1h,2023-05-10 12:00:00+00:00,3089,6,MOMENTUM,LONG,8.122853708492702,2023-W19,-0.00628106385202226,SL,2023-05-10 13:00:00+00:00,28160.2,R100,0.9
1h,2023-05-20 17:00:00+00:00,3334,6,MOMENTUM,LONG,8.061650388948177,2023-W20,-0.0036789348915508544,SL,2023-05-20 18:00:00+00:00,27129.9,R100,0.9
1h,2023-05-24 03:00:00+00:00,3416,6,MOMENTUM,SHORT,6.940430772613004,2023-W21,0.003005843428144418,TP,2023-05-24 06:00:00+00:00,26770.0,R100,0.9
1h,2023-05-31 04:00:00+00:00,3585,6,MOMENTUM,SHORT,5.53302202380241,2023-W22,0.0041440930909609226,TP,2023-05-31 05:00:00+00:00,27243.4,R100,0.9
1h,2023-06-10 04:00:00+00:00,3825,6,MOMENTUM,SHORT,8.396884362692242,2023-W23,0.004091130518325716,TP,2023-06-10 05:00:00+00:00,25753.8,R100,0.9
1h,2023-06-14 20:00:00+00:00,3937,6,MOMENTUM,SHORT,12.559524349316774,2023-W24,-0.008736269975986031,SL,2023-06-14 21:00:00+00:00,24920.1,R100,0.9
1h,2023-06-23 15:00:00+00:00,4148,6,MOMENTUM,LONG,9.927206482040997,2023-W25,-0.009580764651560268,SL,2023-06-23 16:00:00+00:00,31232.9,R100,0.9
