partition,week,signals,tp_signals
development,2022-W02,1,0
development,2022-W04,3,0
development,2022-W07,2,0
development,2022-W09,1,0
development,2022-W12,1,0
development,2022-W13,2,0
development,2022-W17,0,0
development,2022-W18,1,0
development,2022-W19,1,0
development,2022-W20,0,0
development,2022-W22,2,0
development,2022-W24,0,0
development,2022-W25,0,0
development,2022-W26,0,0
development,2022-W29,2,0
development,2022-W30,3,0
development,2022-W31,2,0
development,2022-W32,0,0
development,2022-W33,1,0
development,2022-W35,0,0
development,2022-W36,1,0
development,2022-W42,2,0
development,2022-W43,1,0
development,2022-W45,8,0
development,2022-W46,0,0
development,2022-W47,4,0
development,2022-W48,2,0
development,2022-W49,1,0
development,2022-W50,2,0
development,2023-W04,2,0
development,2023-W05,2,0
development,2023-W11,1,0
development,2023-W13,0,0
development,2023-W15,0,0
development,2023-W21,0,0
development,2023-W23,2,0
development,2023-W27,0,0
development,2023-W29,0,0
development,2023-W30,2,0
development,2023-W31,2,0
development,2023-W32,2,0
development,2023-W34,2,0
development,2023-W36,0,0
development,2023-W40,1,0
development,2023-W41,1,0
development,2023-W44,4,0
development,2023-W45,2,0
development,2023-W49,1,0
development,2023-W50,1,0
development,2023-W51,0,0
development,2023-W52,0,0
development,2024-W05,0,0
development,2024-W08,2,0
development,2024-W13,3,0
development,2024-W18,0,0
development,2024-W20,2,0
development,2024-W21,4,0
development,2024-W24,3,0
development,2024-W26,3,0
development,2024-W27,2,0
development,2024-W29,2,0
development,2024-W32,0,0
development,2024-W34,3,0
development,2024-W42,3,0
development,2024-W44,2,0
development,2024-W45,2,0
external,2020-W07,1,0
external,2020-W12,5,0
external,2020-W13,0,0
external,2020-W15,1,0
external,2020-W18,0,0
external,2020-W20,2,0
external,2020-W21,1,0
external,2020-W23,1,0
external,2020-W24,1,0
external,2020-W28,0,0
external,2020-W29,2,0
external,2020-W30,0,0
external,2020-W31,0,0
external,2020-W34,0,0
external,2020-W38,0,0
external,2020-W39,0,0
external,2020-W40,0,0
external,2020-W43,0,0
external,2020-W46,2,0
external,2020-W48,1,0
external,2020-W50,0,0
external,2020-W51,0,0
external,2020-W53,1,0
external,2021-W01,6,0
external,2021-W03,3,0
external,2021-W04,2,0
external,2021-W05,0,0
external,2021-W06,2,0
external,2021-W07,1,0
external,2021-W10,3,0
external,2021-W13,2,0
external,2021-W15,0,0
external,2021-W20,2,0
external,2021-W28,1,0
external,2021-W30,0,0
external,2021-W31,2,0
external,2021-W37,6,0
external,2021-W39,3,0
external,2021-W40,0,0
external,2021-W42,1,0
external,2021-W46,1,0
external,2021-W50,0,0
external,2021-W51,1,0
reference_validation,2025-W04,3,0
reference_validation,2025-W07,4,0
reference_validation,2025-W15,1,0
reference_validation,2025-W16,2,0
reference_validation,2025-W17,0,0
reference_validation,2025-W19,1,0
reference_validation,2025-W20,7,0
reference_validation,2025-W24,4,0
reference_validation,2025-W27,0,0
reference_validation,2025-W29,3,0
reference_validation,2025-W32,2,0
reference_validation,2025-W34,3,0
reference_validation,2025-W41,1,0
reference_validation,2025-W42,0,0
reference_validation,2025-W45,0,0
reference_validation,2025-W48,0,0
reference_validation,2025-W50,0,0
reference_validation,2025-W51,0,0
reference_validation,2025-W52,2,0
reference_validation,2026-W03,1,0
reference_validation,2026-W05,1,0
reference_validation,2026-W06,1,0
reference_validation,2026-W09,1,0
reference_validation,2026-W12,0,0
reference_validation,2026-W13,2,0
reference_validation,2026-W17,2,0
reference_validation,2026-W19,0,0
reference_validation,2026-W20,1,0
reference_validation,2026-W21,4,0
reference_validation,2026-W23,0,0
reference_validation,2026-W27,2,0
reference_validation,2026-W28,2,0
