partition,tf,week,week_start,signal_ts,signal_idx,side,eligible,net_positive,sr_dist,sr_sweep,sr_room,pw_dist,pw_sweep,pw_pos,orb_near,orb_state,orb_reclaim,fvg_dist,fvg_touch,fib_dist,fib_touch,body_align,reject_wick,entry_ts,exit_ts,entry,sl,tp,risk_frac,net_ret,reason,prob,route,threshold
august,H1,2026-W32,2026-08-03 00:00:00+00:00,2026-08-07 12:00:00+00:00,57832,LONG,False,0,4.662818096135717,0.0,-0.29359095193212836,9.0,0.0,0.5,3.02786286522148,3.7074104618284687,0.0,2.2742990103675664,0.0,2.7359889255419216,0.0,1.0840598491988782,0.17401036757774535,2026-08-07 13:00:00+00:00,2026-08-07 13:00:00+00:00,65259.0,65016.485714285714,65697.2912857143,0.0037161814571826874,-0.005216181457182665,SL,0.4560407757162811,FORCED_FALLBACK,0.4499497564158261
august,H1,2026-W33,2026-08-10 00:00:00+00:00,2026-08-10 19:00:00+00:00,57911,SHORT,True,0,4.769458746703508,0.0,0.805927414291086,9.0,0.0,0.5,2.7328393821424237,3.751149064422966,0.0,0.2573904307421979,1.0,2.2611805600904225,0.0,-0.5306040437021018,0.1955042069571974,2026-08-10 20:00:00+00:00,2026-08-11 07:00:00+00:00,64017.2,64301.59285714285,63540.755542857136,0.004442444485901557,-0.0017265016276876697,TIME,0.4502307380464432,MODEL_TRIGGER,0.4499497564158261
development,H1,2022-W01,2022-01-03 00:00:00+00:00,2022-01-07 12:00:00+00:00,17680,LONG,False,0,2.789548209211975,0.0,2.189308254160183,9.0,0.0,0.5,1.3863102840357897,0.1411010440313458,0.0,0.9398110520787835,0.0,9.0,0.0,0.26721757570661386,0.0,2022-01-07 13:00:00+00:00,2022-01-07 13:00:00+00:00,42393.02,41857.80071428571,43055.41834571428,0.012625174750802968,-0.014125174750803047,SL,0.41868635685025785,FORCED_FALLBACK,0.4499497564158261
development,H1,2022-W02,2022-01-10 00:00:00+00:00,2022-01-14 12:00:00+00:00,17848,SHORT,True,0,4.635879122487445,0.0,0.7002852838991416,9.0,0.0,0.5,1.0107246030906076,1.664056255192876,0.0,0.7068420851168388,1.0,1.3146869375099706,0.0,-0.1457942578453076,0.592728525462768,2022-01-14 13:00:00+00:00,2022-01-14 14:00:00+00:00,42029.37,42346.59785714286,41586.054032857144,0.007547766172627766,-0.009047766172627756,SL,0.4171310040180366,FORCED_FALLBACK,0.4499497564158261
development,H1,2022-W03,2022-01-17 00:00:00+00:00,2022-01-21 12:00:00+00:00,18016,SHORT,True,0,7.465599416844239,0.0,-0.04297970169339956,9.0,0.0,0.5,0.04297970169339956,2.0726421442189205,1.0,9.0,0.0,2.3121423124369245,0.0,0.994420769317042,0.05844174049568571,2022-01-21 13:00:00+00:00,2022-01-21 14:00:00+00:00,38169.34,38882.7,37341.471979999995,0.018689345951488804,-0.020189345951488746,SL,0.40484919411615,FORCED_FALLBACK,0.4499497564158261
development,H1,2022-W04,2022-01-24 00:00:00+00:00,2022-01-28 12:00:00+00:00,18184,SHORT,False,0,2.833543608116328,0.0,1.7524980146855331,9.0,0.0,0.5,0.7728584715316763,1.7591129664660128,0.0,1.4453669640355498,0.0,1.6257332798389752,0.0,0.3832262064826545,0.38693986362257143,2022-01-28 13:00:00+00:00,2022-01-28 13:00:00+00:00,36268.18,36699.022142857146,35728.53331714286,0.011879342797381683,-0.013379342797381786,SL,0.41036179840859416,FORCED_FALLBACK,0.4499497564158261
development,H1,2022-W05,2022-01-31 00:00:00+00:00,2022-01-31 01:00:00+00:00,18245,LONG,True,1,0.010509936280726564,1.0,4.577714645314953,9.0,0.0,0.5,9.0,0.0,0.0,9.0,0.0,9.0,0.0,-0.04821539501293115,0.19759246781154996,2022-01-31 02:00:00+00:00,2022-01-31 10:00:00+00:00,36804.36,36451.360714285714,37267.772365714285,0.009591235541503372,0.011091235541503432,TP,0.45084694868458136,MODEL_TRIGGER,0.4499497564158261
development,H1,2022-W06,2022-02-07 00:00:00+00:00,2022-02-11 12:00:00+00:00,18520,SHORT,False,1,4.567153033903739,0.0,1.97665834760068,9.0,0.0,0.5,0.37829887877161067,-0.7991797344145346,0.0,9.0,0.0,9.0,0.0,-0.4305102455118226,0.2533056220418281,2022-02-11 13:00:00+00:00,2022-02-11 18:00:00+00:00,43549.54,44052.68714285715,42915.74423714286,0.011553443339634418,0.013053443339634376,TP,0.4076343356582939,FORCED_FALLBACK,0.4499497564158261
development,H1,2022-W07,2022-02-14 00:00:00+00:00,2022-02-15 01:00:00+00:00,18605,LONG,True,1,4.039085875405403,0.0,-1.3017384708890323,9.0,0.0,0.5,9.0,0.0,0.0,2.4632305788707973,1.0,9.0,0.0,2.068182617300332,0.1240018819621333,2022-02-15 02:00:00+00:00,2022-02-15 08:00:00+00:00,43445.46,43018.85357142857,44002.40280857142,0.009819355775527014,0.011319355775526953,TP,0.4636698050270647,MODEL_TRIGGER,0.4499497564158261
development,H1,2022-W08,2022-02-21 00:00:00+00:00,2022-02-25 12:00:00+00:00,18856,LONG,False,0,6.976890727524289,0.0,1.9906576622238077,9.0,0.0,0.5,0.6484020766838791,1.4957740304927292,1.0,9.0,0.0,9.0,0.0,1.1662032026958522,0.02473938713168595,2022-02-25 13:00:00+00:00,2022-02-25 15:00:00+00:00,39338.1,38816.66428571429,39977.55001428571,0.01325523383909527,-0.014755233839095215,SL,0.3896747336467262,FORCED_FALLBACK,0.4499497564158261
