quantile,threshold,weeks,n,coverage,tp,sl,time,wr,exp,pf,max_ls,wilson,fullcov,wr_sort,pf_sort,selection_rank
0.9,0.5628638201054005,156,156,1.0,128,28,0,0.8205128205128205,0.006410256410256421,4.5714285714285925,2,0.7528194163028652,1,0.8205128205128205,4.5714285714285925,1
0.85,0.5488834068054105,156,156,1.0,122,34,0,0.782051282051282,0.00564102564102565,3.5882352941176627,3,0.7109107190398481,1,0.782051282051282,3.5882352941176627,2
0.8,0.5397357123300538,156,156,1.0,118,38,0,0.7564102564102564,0.005128205128205142,3.105263157894753,3,0.6834174090027886,1,0.7564102564102564,3.105263157894753,3
0.7,0.5268660211285228,156,156,1.0,113,43,0,0.7243589743589743,0.004487179487179502,2.6279069767441996,3,0.649484863559195,1,0.7243589743589743,2.6279069767441996,4
0.6,0.5169256959725146,156,156,1.0,108,48,0,0.6923076923076923,0.0038461538461538637,2.250000000000012,3,0.6159851363795604,1,0.6923076923076923,2.250000000000012,5
0.5,0.5063403071048022,156,156,1.0,103,53,0,0.6602564102564102,0.003205128205128225,1.9433962264151057,4,0.5828790340640085,1,0.6602564102564102,1.9433962264151057,6
0.99,0.635481614084036,156,70,0.44871794871794873,70,0,0,1.0,0.01000000000000002,999.0,0,0.9479751251327164,0,1.0,999.0,7
0.995,0.6561424358898964,156,35,0.22435897435897437,35,0,0,1.0,0.010000000000000031,999.0,0,0.9010957324106112,0,1.0,999.0,8
0.975,0.6074529558401185,156,131,0.8397435897435898,126,5,0,0.9618320610687023,0.009236641221374058,25.20000000000009,1,0.9137602774452583,0,0.9618320610687023,25.20000000000009,9
0.95,0.5860052240617044,156,152,0.9743589743589743,141,11,0,0.9276315789473685,0.008552631578947374,12.818181818181873,1,0.8750669520192608,0,0.9276315789473685,12.818181818181873,10
0.925,0.5726024078219198,156,154,0.9871794871794872,136,18,0,0.8831168831168831,0.007662337662337672,7.555555555555592,2,0.8228102864619795,0,0.8831168831168831,7.555555555555592,11
