rule,level_name,pool_family,archetype,variant,weeks,n,coverage,tp,sl,time,wr,exp,pf,max_ls,wilson,eligible,wr_sort,pf_sort,rank
W1_VAH|CONT|MICRO_PERSIST,W1_VAH,W1VA,CONT,MICRO_PERSIST,156,42,0.2692307692307692,29,13,0,0.6904761904761905,0.0038095238095238724,2.2307692307692584,2,0.539737222336594,1,0.6904761904761905,2.2307692307692584,1
W1_VAH|CONT|PERSIST,W1_VAH,W1VA,CONT,PERSIST,156,62,0.3974358974358974,40,22,0,0.6451612903225806,0.00290322580645168,1.8181818181818425,3,0.5208089986340214,1,0.6451612903225806,1.8181818181818425,2
W1_VAH|CONT|FLOW3,W1_VAH,W1VA,CONT,FLOW3,156,69,0.4423076923076923,44,25,0,0.6376811594202898,0.002753623188405863,1.7600000000000233,3,0.5197955221181357,1,0.6376811594202898,1.7600000000000233,3
W1_VAH|CONT|H1_FLOW,W1_VAH,W1VA,CONT,H1_FLOW,156,79,0.5064102564102564,49,30,0,0.620253164556962,0.0024050632911393065,1.633333333333355,4,0.5100166778257305,1,0.620253164556962,1.633333333333355,4
W1_VAH|CONT|RAW,W1_VAH,W1VA,CONT,RAW,156,82,0.5256410256410257,49,33,0,0.5975609756097561,0.001951219512195186,1.4848484848485037,4,0.489362574712238,1,0.5975609756097561,1.4848484848485037,5
W1_VAH|CONT|MICRO,W1_VAH,W1VA,CONT,MICRO,156,49,0.3141025641025641,30,19,0,0.6122448979591837,0.002244897959183737,1.5789473684210726,3,0.47245746488052426,1,0.6122448979591837,1.5789473684210726,6
PDH|CONT|FLOW3,PDH,PD,CONT,FLOW3,156,147,0.9423076923076923,75,72,0,0.5102040816326531,0.00020408163265311986,1.0416666666666792,7,0.43016726976996955,1,0.5102040816326531,1.0416666666666792,7
PDH|CONT|RAW,PDH,PD,CONT,RAW,156,147,0.9423076923076923,74,73,0,0.5034013605442177,6.802721088441226e-05,1.0136986301369983,7,0.42352340304800246,1,0.5034013605442177,1.0136986301369983,8
PDH|CONT|PERSIST,PDH,PD,CONT,PERSIST,156,142,0.9102564102564102,71,71,0,0.5,5.841864550789501e-17,1.0000000000000129,7,0.418850590194875,1,0.5,1.0000000000000129,9
PDH|CONT|H1_FLOW,PDH,PD,CONT,H1_FLOW,156,145,0.9294871794871795,71,74,0,0.4896551724137931,-0.0002068965517240796,0.9594594594594713,7,0.4096114857559245,1,0.4896551724137931,0.9594594594594713,10
PWH|CONT|RAW,PWH,PW,CONT,RAW,156,75,0.4807692307692308,36,39,0,0.48,-0.0003999999999999494,0.9230769230769326,8,0.37068921756788065,1,0.48,0.9230769230769326,11
