source_tf,family,mode,partition,candidate_n,raw_candidate_wr,long_n,short_n,median_hours,weekly_coverage,weekly_wr
D1,PREV_HIGH,BODY,development,437,0.459954233409611,226,211,4.0,0.9038461538461539,0.48226950354609927
D1,PREV_HIGH,BODY,external,345,0.4144927536231884,183,162,3.0,0.9029126213592233,0.44086021505376344
D1,PREV_HIGH,BODY,reference_validation,254,0.41732283464566927,131,123,6.0,0.9382716049382716,0.4473684210526316
D1,PREV_HIGH,HOLD,development,502,0.4601593625498008,235,267,4.0,0.9551282051282052,0.4697986577181208
D1,PREV_HIGH,HOLD,external,384,0.4244791666666667,192,192,2.0,0.912621359223301,0.46808510638297873
D1,PREV_HIGH,HOLD,reference_validation,281,0.40569395017793597,137,144,6.0,0.9506172839506173,0.4675324675324675
D1,PREV_HIGH,RECLAIM,development,502,0.4601593625498008,235,267,4.0,0.9551282051282052,0.4697986577181208
D1,PREV_HIGH,RECLAIM,external,384,0.4244791666666667,192,192,2.0,0.912621359223301,0.46808510638297873
D1,PREV_HIGH,RECLAIM,reference_validation,281,0.4092526690391459,137,144,6.0,0.9506172839506173,0.4675324675324675
D1,PREV_HIGH,WICK,development,361,0.4626038781163435,142,219,4.0,0.8846153846153846,0.4782608695652174
D1,PREV_HIGH,WICK,external,293,0.40955631399317405,131,162,3.0,0.9029126213592233,0.45161290322580644
D1,PREV_HIGH,WICK,reference_validation,213,0.38497652582159625,100,113,6.0,0.8641975308641975,0.38571428571428573
D1,PREV_LOW,BODY,development,431,0.3874709976798144,210,221,4.0,0.8525641025641025,0.3458646616541353
D1,PREV_LOW,BODY,external,263,0.3726235741444867,124,139,2.0,0.7669902912621359,0.34177215189873417
D1,PREV_LOW,BODY,reference_validation,246,0.44715447154471544,115,131,4.0,0.9135802469135802,0.5
D1,PREV_LOW,HOLD,development,503,0.38966202783300197,270,233,4.0,0.8910256410256411,0.3669064748201439
D1,PREV_LOW,HOLD,external,303,0.3564356435643564,155,148,2.0,0.8349514563106796,0.3488372093023256
D1,PREV_LOW,HOLD,reference_validation,278,0.420863309352518,142,136,4.0,0.9506172839506173,0.4155844155844156
D1,PREV_LOW,RECLAIM,development,503,0.38966202783300197,270,233,4.0,0.8910256410256411,0.3669064748201439
D1,PREV_LOW,RECLAIM,external,300,0.3566666666666667,153,147,2.0,0.8349514563106796,0.36046511627906974
D1,PREV_LOW,RECLAIM,reference_validation,277,0.4187725631768953,142,135,4.0,0.9382716049382716,0.40789473684210525
D1,PREV_LOW,WICK,development,383,0.4046997389033943,230,153,4.0,0.8589743589743589,0.3656716417910448
D1,PREV_LOW,WICK,external,230,0.4,127,103,2.0,0.7766990291262136,0.3625
D1,PREV_LOW,WICK,reference_validation,198,0.42424242424242425,112,86,4.0,0.9135802469135802,0.3783783783783784
D1,PREV_OPEN,BODY,development,602,0.38704318936877075,297,305,5.0,0.9423076923076923,0.42857142857142855
D1,PREV_OPEN,BODY,external,424,0.44339622641509435,217,207,3.0,0.970873786407767,0.47
D1,PREV_OPEN,BODY,reference_validation,303,0.39933993399339934,152,151,5.0,0.9629629629629629,0.3717948717948718
D1,PREV_OPEN,HOLD,development,684,0.40058479532163743,337,347,5.0,0.9615384615384616,0.38
D1,PREV_OPEN,HOLD,external,477,0.4444444444444444,250,227,3.0,0.9902912621359223,0.45098039215686275
D1,PREV_OPEN,HOLD,reference_validation,346,0.41040462427745666,172,174,5.5,1.0,0.48148148148148145
D1,PREV_OPEN,RECLAIM,development,684,0.40058479532163743,337,347,5.0,0.9615384615384616,0.38
D1,PREV_OPEN,RECLAIM,external,477,0.4444444444444444,250,227,3.0,0.9902912621359223,0.45098039215686275
D1,PREV_OPEN,RECLAIM,reference_validation,346,0.41040462427745666,172,174,5.5,1.0,0.48148148148148145
D1,PREV_OPEN,WICK,development,532,0.37781954887218044,262,270,4.0,0.9230769230769231,0.3958333333333333
D1,PREV_OPEN,WICK,external,352,0.4005681818181818,186,166,3.0,0.9611650485436893,0.36363636363636365
D1,PREV_OPEN,WICK,reference_validation,260,0.39615384615384613,122,138,5.5,0.9876543209876543,0.425
D1,R12_HIGH,BODY,development,158,0.43037974683544306,82,76,3.0,0.36538461538461536,0.38596491228070173
D1,R12_HIGH,BODY,external,122,0.4344262295081967,66,56,2.0,0.44660194174757284,0.45652173913043476
D1,R12_HIGH,BODY,reference_validation,84,0.38095238095238093,41,43,6.0,0.35802469135802467,0.3793103448275862
D1,R12_HIGH,HOLD,development,176,0.44886363636363635,83,93,3.0,0.3974358974358974,0.3548387096774194
D1,R12_HIGH,HOLD,external,137,0.40875912408759124,67,70,2.0,0.4563106796116505,0.40425531914893614
D1,R12_HIGH,HOLD,reference_validation,89,0.3707865168539326,42,47,6.0,0.38271604938271603,0.41935483870967744
D1,R12_HIGH,RECLAIM,development,176,0.44886363636363635,83,93,3.0,0.3974358974358974,0.3548387096774194
D1,R12_HIGH,RECLAIM,external,137,0.40875912408759124,67,70,2.0,0.4563106796116505,0.40425531914893614
D1,R12_HIGH,RECLAIM,reference_validation,89,0.3707865168539326,42,47,6.0,0.38271604938271603,0.41935483870967744
D1,R12_HIGH,WICK,development,129,0.4573643410852713,52,77,3.0,0.3717948717948718,0.41379310344827586
D1,R12_HIGH,WICK,external,106,0.39622641509433965,48,58,2.5,0.4077669902912621,0.40476190476190477
D1,R12_HIGH,WICK,reference_validation,71,0.4225352112676056,31,40,8.0,0.35802469135802467,0.5172413793103449
D1,R12_LOW,BODY,development,86,0.4069767441860465,44,42,2.0,0.22435897435897437,0.5142857142857142
D1,R12_LOW,BODY,external,49,0.3673469387755102,25,24,1.0,0.1941747572815534,0.35
D1,R12_LOW,BODY,reference_validation,73,0.4383561643835616,32,41,2.0,0.30864197530864196,0.4
