partition,tf,variant,week,week_start,signal_ts,side,route,vote_count,long_votes,short_votes,votes_json,entry_ts,exit_ts,entry,sl,tp,risk_frac,net_ret,reason
august,H1,CONF2_FORCED,2026-W32,2026-08-03 00:00:00+00:00,2026-08-05 13:00:00+00:00,LONG,CONFLUENCE,2,"SR,FIB",,"{""FIB"": ""LONG"", ""FVG"": null, ""ORB"": null, ""SR"": ""LONG""}",2026-08-05 14:00:00+00:00,2026-08-05 19:00:00+00:00,64386.9,64108.29285714286,64858.66784285715,0.00432707806800985,0.005827078068009918,TP
august,H1,CONF2_FORCED,2026-W33,2026-08-10 00:00:00+00:00,2026-08-13 09:00:00+00:00,LONG,CONFLUENCE,3,"ORB,FVG,FIB",,"{""FIB"": ""LONG"", ""FVG"": ""LONG"", ""ORB"": ""LONG"", ""SR"": null}",2026-08-13 10:00:00+00:00,2026-08-13 10:00:00+00:00,63757.1,63554.95714285714,64150.514157142854,0.0031705152389750655,-0.004670515238975046,SL
development,H1,CONF2_FORCED,2022-W01,2022-01-03 00:00:00+00:00,2022-01-07 12:00:00+00:00,SHORT,FALLBACK,0,,,"{""FIB"": null, ""FVG"": null, ""ORB"": null, ""SR"": null}",2022-01-07 13:00:00+00:00,2022-01-07 13:00:00+00:00,42393.02,42928.239285714284,41730.621654285715,0.012625174750802968,0.01412517475080294,TP
development,H1,CONF2_FORCED,2022-W02,2022-01-10 00:00:00+00:00,2022-01-14 12:00:00+00:00,LONG,FALLBACK,1,SR,,"{""FIB"": null, ""FVG"": null, ""ORB"": null, ""SR"": ""LONG""}",2022-01-14 13:00:00+00:00,2022-01-14 14:00:00+00:00,42029.37,41712.14214285715,42472.68596714286,0.007547766172627766,0.00904776617262787,TP
development,H1,CONF2_FORCED,2022-W03,2022-01-17 00:00:00+00:00,2022-01-17 07:00:00+00:00,SHORT,CONFLUENCE,2,,"FVG,FIB","{""FIB"": ""SHORT"", ""FVG"": ""SHORT"", ""ORB"": null, ""SR"": null}",2022-01-17 08:00:00+00:00,2022-01-17 16:00:00+00:00,42638.1,42904.115,42244.170699999995,0.00623890370349523,0.0077389037034953385,TP
development,H1,CONF2_FORCED,2022-W04,2022-01-24 00:00:00+00:00,2022-01-26 07:00:00+00:00,LONG,CONFLUENCE,2,"FVG,FIB",,"{""FIB"": ""LONG"", ""FVG"": ""LONG"", ""ORB"": null, ""SR"": null}",2022-01-26 08:00:00+00:00,2022-01-26 09:00:00+00:00,37321.96,36871.84785714286,37884.03802285714,0.012060249323913919,0.01356024932391381,TP
development,H1,CONF2_FORCED,2022-W05,2022-01-31 00:00:00+00:00,2022-01-31 12:00:00+00:00,SHORT,CONFLUENCE,2,,"FVG,FIB","{""FIB"": ""SHORT"", ""FVG"": ""SHORT"", ""ORB"": null, ""SR"": null}",2022-01-31 13:00:00+00:00,2022-01-31 14:00:00+00:00,37063.91,37399.42142857143,36617.206841428575,0.009052240537261943,-0.010552240537261946,SL
development,H1,CONF2_FORCED,2022-W06,2022-02-07 00:00:00+00:00,2022-02-09 14:00:00+00:00,LONG,CONFLUENCE,2,"FVG,FIB",,"{""FIB"": ""LONG"", ""FVG"": ""LONG"", ""ORB"": null, ""SR"": null}",2022-02-09 15:00:00+00:00,2022-02-09 20:00:00+00:00,44074.75,43576.02357142857,44705.700678571426,0.011315468121122137,0.012815468121122166,TP
development,H1,CONF2_FORCED,2022-W07,2022-02-14 00:00:00+00:00,2022-02-18 12:00:00+00:00,LONG,FALLBACK,0,,,"{""FIB"": null, ""FVG"": null, ""ORB"": null, ""SR"": null}",2022-02-18 13:00:00+00:00,2022-02-18 14:00:00+00:00,40418.0,40097.71428571428,40859.53971428571,0.007924333571322537,-0.009424333571322606,SL
development,H1,CONF2_FORCED,2022-W08,2022-02-21 00:00:00+00:00,2022-02-22 12:00:00+00:00,LONG,CONFLUENCE,2,"ORB,FVG",,"{""FIB"": null, ""FVG"": ""LONG"", ""ORB"": ""LONG"", ""SR"": null}",2022-02-22 13:00:00+00:00,2022-02-22 14:00:00+00:00,37621.7,37105.66428571428,38250.60081428571,0.013716437967601566,0.015216437967601472,TP
