n,wins,wr,pf,expectancy,net,max_ls,partition,side,exec_min,ref_min,horizon_min,entry_f,target_ext,stop_f,stress_bps,targets,stops,time_exits,config_id
44,35,0.7954545454545454,3.153571008149232,1.1657960281817947,51.295025239998964,2,development,LONG,1080,420,390,0.95,0.1,0.35,0.0,34,0,10,LONG|E1080|R420|X390|F0.95|T0.10|S0.35
47,33,0.7021276595744681,2.3590060795310714,1.178017361979365,55.36681601303016,2,development,LONG,1080,330,390,0.95,0.2,0.2,0.0,31,0,16,LONG|E1080|R330|X390|F0.95|T0.20|S0.20
64,48,0.75,2.3442163628331927,1.4600202875191766,93.4412984012273,3,development,LONG,960,330,480,0.9,0.2,0.2,0.0,45,3,16,LONG|E0960|R330|X480|F0.90|T0.20|S0.20
40,28,0.7,2.272900211303477,1.3897326062867563,55.58930425147025,2,development,LONG,960,270,390,0.95,0.3,0.35,0.0,24,3,13,LONG|E0960|R270|X390|F0.95|T0.30|S0.35
46,33,0.717391304347826,2.193265699190076,1.2807509437406281,58.914543412068895,3,development,LONG,1080,180,480,0.95,0.3,0.2,0.0,31,5,10,LONG|E1080|R180|X480|F0.95|T0.30|S0.20
48,31,0.6458333333333334,2.1458490676305733,1.2462869366210956,59.82177295781259,4,development,LONG,120,420,480,0.8,0.1,0.2,0.0,29,3,16,LONG|E0120|R420|X480|F0.80|T0.10|S0.20
43,28,0.6511627906976745,2.12511803602189,0.8075250936476859,34.723579026850494,2,development,SHORT,120,180,240,0.050000000000000044,0.2,0.65,0.0,25,2,16,SHORT|E0120|R180|X240|F0.05|T0.20|S0.65
50,36,0.72,2.025674058316269,0.8133789586018407,40.66894793009204,3,development,SHORT,120,330,390,0.050000000000000044,0.1,0.5,0.0,36,3,11,SHORT|E0120|R330|X390|F0.05|T0.10|S0.50
49,35,0.7142857142857143,2.0081294775761203,1.1117378152997803,54.47515294968924,3,development,LONG,1080,270,480,0.95,0.2,0.2,0.0,34,3,12,LONG|E1080|R270|X480|F0.95|T0.20|S0.20
96,73,0.7604166666666666,2.004607296455746,0.9450658734952998,90.72632385554878,2,development,LONG,600,330,480,0.75,0.1,0.2,0.0,70,18,8,LONG|E0600|R330|X480|F0.75|T0.10|S0.20
67,54,0.8059701492537313,1.9776403214870668,0.6594341280715758,44.18208658079558,2,development,LONG,240,420,480,0.95,0.1,0.5,0.0,53,5,9,LONG|E0240|R420|X480|F0.95|T0.10|S0.50
64,40,0.625,1.9094768951746595,0.8982899267398924,57.49055531135311,3,development,SHORT,240,180,240,0.25,0.2,0.8,0.0,37,9,18,SHORT|E0240|R180|X240|F0.25|T0.20|S0.80
