candidate_id,partition,execution_utc,entry_bar_start,exit_ts,pnl_0,pnl_5,hold_min,signals_blocked
reference_validation|05:00|2025-02-10T05:00:00+00:00|2025-02-10T06:00:00+00:00,reference_validation,05:00,2025-02-10 06:00:00+00:00,2025-02-10 11:00:00+00:00,2.176423775652703,1.674098514507683,300.0,2
external|05:00|2021-02-01T05:00:00+00:00|2021-02-01T07:10:00+00:00,external,05:00,2021-02-01 07:10:00+00:00,2021-02-01 11:00:00+00:00,3.7731407015132006,3.2692195214017565,230.0,2
development|05:00|2022-06-02T05:00:00+00:00|2022-06-02T07:35:00+00:00,development,05:00,2022-06-02 07:35:00+00:00,2022-06-02 11:00:00+00:00,0.23430849425971656,-0.2660756221763313,205.0,2
external|05:00|2020-05-06T05:00:00+00:00|2020-05-06T08:40:00+00:00,external,05:00,2020-05-06 08:40:00+00:00,2020-05-06 11:00:00+00:00,3.9237049990955124,3.4196333299310715,140.0,2
development|10:00|2023-01-02T10:00:00+00:00|2023-01-02T10:35:00+00:00,development,10:00,2023-01-02 10:35:00+00:00,2023-01-02 16:00:00+00:00,0.4673276443216249,-0.03328937481299443,325.0,1
development|05:00|2024-06-25T05:00:00+00:00|2024-06-25T05:40:00+00:00,development,05:00,2024-06-25 05:40:00+00:00,2024-06-25 11:00:00+00:00,-0.7876966968833773,-1.2870593188754493,320.0,1
reference_validation|10:00|2025-04-29T10:00:00+00:00|2025-04-29T10:40:00+00:00,reference_validation,10:00,2025-04-29 10:40:00+00:00,2025-04-29 16:00:00+00:00,-3.2151972693476467,-3.712133603911027,320.0,1
development|09:00|2023-12-04T09:00:00+00:00|2023-12-04T09:50:00+00:00,development,09:00,2023-12-04 09:50:00+00:00,2023-12-04 14:30:00+00:00,-8.137993514866814,-8.63000951335262,280.0,1
development|10:00|2023-03-23T10:00:00+00:00|2023-03-23T10:55:00+00:00,development,10:00,2023-03-23 10:55:00+00:00,2023-03-23 15:25:00+00:00,23.957413535897377,23.433318170044416,270.0,1
development|05:00|2022-04-20T05:00:00+00:00|2022-04-20T06:15:00+00:00,development,05:00,2022-04-20 06:15:00+00:00,2022-04-20 10:30:00+00:00,2.84356797321812,2.5920719372495964,255.0,1
external|10:00|2020-12-24T10:00:00+00:00|2020-12-24T10:10:00+00:00,external,10:00,2020-12-24 10:10:00+00:00,2020-12-24 14:05:00+00:00,10.088308115543244,9.578074924023584,235.0,1
development|10:00|2023-02-06T10:00:00+00:00|2023-02-06T12:15:00+00:00,development,10:00,2023-02-06 12:15:00+00:00,2023-02-06 16:00:00+00:00,5.193890882325869,4.688549662053743,225.0,1
development|09:00|2024-02-01T09:00:00+00:00|2024-02-01T10:35:00+00:00,development,09:00,2024-02-01 10:35:00+00:00,2024-02-01 14:20:00+00:00,2.488356169663098,2.2370376508376704,225.0,1
development|10:00|2022-12-21T10:00:00+00:00|2022-12-21T11:15:00+00:00,development,10:00,2022-12-21 11:15:00+00:00,2022-12-21 14:55:00+00:00,-0.617153701595807,-1.116686781354281,220.0,1
development|05:00|2024-01-16T05:00:00+00:00|2024-01-16T05:55:00+00:00,development,05:00,2024-01-16 05:55:00+00:00,2024-01-16 09:30:00+00:00,3.055799056000908,2.8041969575221652,215.0,1
reference_validation|10:00|2026-05-28T10:00:00+00:00|2026-05-28T10:20:00+00:00,reference_validation,10:00,2026-05-28 10:20:00+00:00,2026-05-28 13:45:00+00:00,-3.9805880482873697,-4.476759374575856,205.0,1
external|09:00|2021-12-07T09:00:00+00:00|2021-12-07T09:15:00+00:00,external,09:00,2021-12-07 09:15:00+00:00,2021-12-07 12:35:00+00:00,-6.899829924814293,-7.393083468117778,200.0,1
external|10:00|2020-01-02T10:00:00+00:00|2020-01-02T10:20:00+00:00,external,10:00,2020-01-02 10:20:00+00:00,2020-01-02 13:35:00+00:00,-3.613887071321364,-4.110424915328081,195.0,1
reference_validation|10:00|2025-02-03T10:00:00+00:00|2025-02-03T12:45:00+00:00,reference_validation,10:00,2025-02-03 12:45:00+00:00,2025-02-03 16:00:00+00:00,19.24772269870274,18.7283346700184,195.0,1
external|10:00|2020-11-16T10:00:00+00:00|2020-11-16T11:15:00+00:00,external,10:00,2020-11-16 11:15:00+00:00,2020-11-16 14:25:00+00:00,4.586974729876858,4.082240122450687,190.0,1
development|09:00|2023-05-19T09:00:00+00:00|2023-05-19T09:15:00+00:00,development,09:00,2023-05-19 09:15:00+00:00,2023-05-19 12:15:00+00:00,1.2381557465507957,0.9874620155430728,180.0,1
development|10:00|2024-03-07T10:00:00+00:00|2024-03-07T11:15:00+00:00,development,10:00,2024-03-07 11:15:00+00:00,2024-03-07 14:10:00+00:00,2.0597598558240287,1.5575512002959484,175.0,1
external|10:00|2020-10-07T10:00:00+00:00|2020-10-07T13:10:00+00:00,external,10:00,2020-10-07 13:10:00+00:00,2020-10-07 16:00:00+00:00,-0.8364890144150646,-1.3358028684735008,170.0,1
development|10:00|2022-11-18T10:00:00+00:00|2022-11-18T10:40:00+00:00,development,10:00,2022-11-18 10:40:00+00:00,2022-11-18 13:30:00+00:00,0.790065822951003,0.2891262269261844,170.0,1
development|09:00|2023-12-20T09:00:00+00:00|2023-12-20T10:25:00+00:00,development,09:00,2023-12-20 10:25:00+00:00,2023-12-20 13:15:00+00:00,4.128911887152098,3.876773500401898,170.0,1
reference_validation|10:00|2025-06-03T10:00:00+00:00|2025-06-03T10:40:00+00:00,reference_validation,10:00,2025-06-03 10:40:00+00:00,2025-06-03 13:30:00+00:00,0.9651723619826361,0.46405774692832613,170.0,1
external|05:00|2020-04-24T05:00:00+00:00|2020-04-24T08:15:00+00:00,external,05:00,2020-04-24 08:15:00+00:00,2020-04-24 11:00:00+00:00,-0.7384880865466844,-1.237899892557059,165.0,1
development|10:00|2022-12-23T10:00:00+00:00|2022-12-23T10:45:00+00:00,development,10:00,2022-12-23 10:45:00+00:00,2022-12-23 13:30:00+00:00,0.6124976988689083,0.11173558222838975,165.0,1
external|09:00|2020-06-30T09:00:00+00:00|2020-06-30T09:55:00+00:00,external,09:00,2020-06-30 09:55:00+00:00,2020-06-30 12:35:00+00:00,-5.397578266038527,-5.892333310250287,160.0,1
development|10:00|2022-08-25T10:00:00+00:00|2022-08-25T12:15:00+00:00,development,10:00,2022-08-25 12:15:00+00:00,2022-08-25 14:50:00+00:00,2.782471475082882,2.279540469110786,155.0,1
development|10:00|2022-03-31T10:00:00+00:00|2022-03-31T10:15:00+00:00,development,10:00,2022-03-31 10:15:00+00:00,2022-03-31 12:45:00+00:00,2.1020288700146055,1.599777966596339,150.0,1
external|10:00|2020-03-20T10:00:00+00:00|2020-03-20T11:00:00+00:00,external,10:00,2020-03-20 11:00:00+00:00,2020-03-20 13:25:00+00:00,-38.18555916567061,-38.647542614780356,145.0,1
reference_validation|10:00|2026-05-20T10:00:00+00:00|2026-05-20T13:05:00+00:00,reference_validation,10:00,2026-05-20 13:05:00+00:00,2026-05-20 15:30:00+00:00,1.1023960930663494,0.6011443228584715,145.0,1
external|10:00|2021-05-07T10:00:00+00:00|2021-05-07T10:35:00+00:00,external,10:00,2021-05-07 10:35:00+00:00,2021-05-07 12:50:00+00:00,2.471279402796967,1.9686594333789391,135.0,1
development|10:00|2022-02-04T10:00:00+00:00|2022-02-04T13:30:00+00:00,development,10:00,2022-02-04 13:30:00+00:00,2022-02-04 15:45:00+00:00,13.942842784628718,13.42875698474406,135.0,1
development|10:00|2022-02-28T10:00:00+00:00|2022-02-28T12:55:00+00:00,development,10:00,2022-02-28 12:55:00+00:00,2022-02-28 15:10:00+00:00,19.896043267862165,19.376007242607088,135.0,1
external|10:00|2021-04-02T10:00:00+00:00|2021-04-02T12:10:00+00:00,external,10:00,2021-04-02 12:10:00+00:00,2021-04-02 14:20:00+00:00,5.482118235875699,4.9764889322917005,130.0,1
development|09:00|2022-07-06T09:00:00+00:00|2022-07-06T10:00:00+00:00,development,09:00,2022-07-06 10:00:00+00:00,2022-07-06 12:10:00+00:00,-7.842181990007068,-8.334493652185904,130.0,1
development|10:00|2023-10-06T10:00:00+00:00|2023-10-06T10:45:00+00:00,development,10:00,2023-10-06 10:45:00+00:00,2023-10-06 12:55:00+00:00,-3.8992235858389286,-4.395476235928053,130.0,1
development|10:00|2024-08-22T10:00:00+00:00|2024-08-22T11:05:00+00:00,development,10:00,2024-08-22 11:05:00+00:00,2024-08-22 13:15:00+00:00,-3.4905163130875434,-3.987177466197855,130.0,1
external|10:00|2020-06-12T10:00:00+00:00|2020-06-12T12:15:00+00:00,external,10:00,2020-06-12 12:15:00+00:00,2020-06-12 14:20:00+00:00,2.28567078328541,1.7832363297289437,125.0,1
external|10:00|2020-07-01T10:00:00+00:00|2020-07-01T13:55:00+00:00,external,10:00,2020-07-01 13:55:00+00:00,2020-07-01 16:00:00+00:00,2.6039907029777436,2.1012380885819364,125.0,1
external|10:00|2020-10-05T10:00:00+00:00|2020-10-05T11:15:00+00:00,external,10:00,2020-10-05 11:15:00+00:00,2020-10-05 13:10:00+00:00,1.0233254575992672,0.5221527185112599,115.0,1
development|10:00|2022-03-30T10:00:00+00:00|2022-03-30T11:45:00+00:00,development,10:00,2022-03-30 11:45:00+00:00,2022-03-30 13:40:00+00:00,-5.576894039798319,-6.0714698578494435,115.0,1
reference_validation|10:00|2026-03-30T10:00:00+00:00|2026-03-30T11:35:00+00:00,reference_validation,10:00,2026-03-30 11:35:00+00:00,2026-03-30 13:30:00+00:00,1.1027077777831633,0.6014556960463716,115.0,1
development|10:00|2023-07-31T10:00:00+00:00|2023-07-31T11:25:00+00:00,development,10:00,2023-07-31 11:25:00+00:00,2023-07-31 13:15:00+00:00,0.5145349607798669,0.013870757920542487,110.0,1
development|10:00|2023-08-09T10:00:00+00:00|2023-08-09T11:15:00+00:00,development,10:00,2023-08-09 11:15:00+00:00,2023-08-09 13:05:00+00:00,0.6042124266587127,0.10345859114975242,110.0,1
development|10:00|2023-09-13T10:00:00+00:00|2023-09-13T10:15:00+00:00,development,10:00,2023-09-13 10:15:00+00:00,2023-09-13 12:05:00+00:00,1.2865531236841536,0.7851172884781435,110.0,1
development|10:00|2024-03-08T10:00:00+00:00|2024-03-08T11:30:00+00:00,development,10:00,2024-03-08 11:30:00+00:00,2024-03-08 13:20:00+00:00,1.9888983019118016,1.4867604725246735,110.0,1
development|09:00|2024-10-04T09:00:00+00:00|2024-10-04T12:40:00+00:00,development,09:00,2024-10-04 12:40:00+00:00,2024-10-04 14:25:00+00:00,-5.389053531323396,-5.883817096009702,105.0,1
development|09:00|2024-11-20T09:00:00+00:00|2024-11-20T09:30:00+00:00,development,09:00,2024-11-20 09:30:00+00:00,2024-11-20 11:15:00+00:00,-6.020029313534614,-6.514162217768893,105.0,1
reference_validation|09:00|2025-03-13T09:00:00+00:00|2025-03-13T09:10:00+00:00,reference_validation,09:00,2025-03-13 09:10:00+00:00,2025-03-13 10:55:00+00:00,4.72727823657777,4.474840816169734,105.0,1
development|10:00|2022-10-04T10:00:00+00:00|2022-10-04T14:20:00+00:00,development,10:00,2022-10-04 14:20:00+00:00,2022-10-04 16:00:00+00:00,0.5596040915964554,0.058894842129686764,100.0,1
development|10:00|2024-08-30T10:00:00+00:00|2024-08-30T12:40:00+00:00,development,10:00,2024-08-30 12:40:00+00:00,2024-08-30 14:20:00+00:00,-4.120845946580231,-4.616877085064353,100.0,1
development|10:00|2022-11-10T10:00:00+00:00|2022-11-10T12:25:00+00:00,development,10:00,2022-11-10 12:25:00+00:00,2022-11-10 14:00:00+00:00,37.365338610778686,36.827842020463144,95.0,1
