n,wins,wr,pf,expectancy,net,max_ls,partition,side,exec_min,ref_min,horizon_min,entry_f,target_ext,stop_f,stress_bps,targets,stops,time_exits,config_id,anchor_min,anchor_utc,reference_start_utc,probe,positive
70,40,0.5714285714285714,0.6990824902317181,-0.3390505093623364,-23.733535655363546,4,development,LONG,570,120,180,0.9,0.2,0.35,0.0,38,10,22,LONG|E0570|R120|X180|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
80,45,0.5625,0.8602417719743584,-0.14511397483197397,-11.609117986557917,5,development,LONG,570,120,180,0.85,0.2,0.35,0.0,42,13,25,LONG|E0570|R120|X180|F0.85|T0.20|S0.35,570,09:30,07:30,F85,False
78,42,0.5384615384615384,0.9793348348366043,-0.0202844388539524,-1.5821862306082872,5,development,LONG,570,120,180,0.8,0.2,0.35,0.0,39,15,24,LONG|E0570|R120|X180|F0.80|T0.20|S0.35,570,09:30,07:30,F80,False
39,23,0.5897435897435898,0.6996527335013794,-0.6166834610010034,-24.05065497903913,4,external,LONG,570,120,180,0.9,0.2,0.35,0.0,21,8,10,LONG|E0570|R120|X180|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
42,25,0.5952380952380952,0.7901410282783977,-0.3945304136817481,-16.57027737463342,5,external,LONG,570,120,180,0.85,0.2,0.35,0.0,22,9,11,LONG|E0570|R120|X180|F0.85|T0.20|S0.35,570,09:30,07:30,F85,False
46,28,0.6086956521739131,0.8068401306481953,-0.360720706534817,-16.593152500601583,5,external,LONG,570,120,180,0.8,0.2,0.35,0.0,23,11,12,LONG|E0570|R120|X180|F0.80|T0.20|S0.35,570,09:30,07:30,F80,False
36,21,0.5833333333333334,0.5520899413583097,-0.5776996731213292,-20.79718823236785,4,reference_validation,LONG,570,120,180,0.9,0.2,0.35,0.0,18,7,11,LONG|E0570|R120|X180|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
41,23,0.5609756097560976,0.5919880155676691,-0.5545349237388538,-22.735931873293005,5,reference_validation,LONG,570,120,180,0.85,0.2,0.35,0.0,19,12,10,LONG|E0570|R120|X180|F0.85|T0.20|S0.35,570,09:30,07:30,F85,False
39,21,0.5384615384615384,0.6986604396522405,-0.4029866348154791,-15.716478757803683,5,reference_validation,LONG,570,120,180,0.8,0.2,0.35,0.0,17,13,9,LONG|E0570|R120|X180|F0.80|T0.20|S0.35,570,09:30,07:30,F80,False
75,46,0.6133333333333333,0.7054332444281038,-0.3808225307541254,-28.561689806559407,4,development,LONG,570,120,240,0.9,0.2,0.35,0.0,45,16,14,LONG|E0570|R120|X240|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
86,51,0.5930232558139535,0.8764123176237453,-0.145048646576721,-12.474183605598006,4,development,LONG,570,120,240,0.85,0.2,0.35,0.0,51,21,14,LONG|E0570|R120|X240|F0.85|T0.20|S0.35,570,09:30,07:30,F85,False
82,48,0.5853658536585366,1.033800226680596,0.03684353182188913,3.0211696093949088,5,development,LONG,570,120,240,0.8,0.2,0.35,0.0,48,20,14,LONG|E0570|R120|X240|F0.80|T0.20|S0.35,570,09:30,07:30,F80,False
47,32,0.6808510638297872,1.1017100040167138,0.17007999314479336,7.993759677805287,4,external,LONG,570,120,240,0.9,0.2,0.35,0.0,29,8,10,LONG|E0570|R120|X240|F0.90|T0.20|S0.35,570,09:30,07:30,F90,True
46,31,0.6739130434782609,1.2680375069381247,0.45024499220252306,20.71126964131606,3,external,LONG,570,120,240,0.85,0.2,0.35,0.0,30,9,7,LONG|E0570|R120|X240|F0.85|T0.20|S0.35,570,09:30,07:30,F85,True
51,32,0.6274509803921569,1.2247791385315303,0.3916927580082277,19.976330658419613,3,external,LONG,570,120,240,0.8,0.2,0.35,0.0,31,12,8,LONG|E0570|R120|X240|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
38,24,0.631578947368421,0.5639691816015195,-0.7240651836288116,-27.51447697789484,4,reference_validation,LONG,570,120,240,0.9,0.2,0.35,0.0,24,9,5,LONG|E0570|R120|X240|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
43,23,0.5348837209302325,0.5479939427635424,-0.7635280017975008,-32.831704077292535,5,reference_validation,LONG,570,120,240,0.85,0.2,0.35,0.0,23,14,6,LONG|E0570|R120|X240|F0.85|T0.20|S0.35,570,09:30,07:30,F85,False
41,20,0.4878048780487805,0.6056630252973073,-0.6500876813633538,-26.653594935897505,5,reference_validation,LONG,570,120,240,0.8,0.2,0.35,0.0,20,15,6,LONG|E0570|R120|X240|F0.80|T0.20|S0.35,570,09:30,07:30,F80,False
81,53,0.654320987654321,0.7556266368444559,-0.31896014650971877,-25.83577186728722,3,development,LONG,570,120,300,0.9,0.2,0.35,0.0,52,20,9,LONG|E0570|R120|X300|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
90,58,0.6444444444444445,1.0246949159176038,0.027895887438381648,2.5106298694543483,4,development,LONG,570,120,300,0.85,0.2,0.35,0.0,58,24,8,LONG|E0570|R120|X300|F0.85|T0.20|S0.35,570,09:30,07:30,F85,False
86,55,0.6395348837209303,1.2443699518614084,0.2557240573460294,21.992268931758527,3,development,LONG,570,120,300,0.8,0.2,0.35,0.0,55,23,8,LONG|E0570|R120|X300|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
50,33,0.66,0.9198620358343783,-0.17435858116723174,-8.717929058361587,5,external,LONG,570,120,300,0.9,0.2,0.35,0.0,33,11,6,LONG|E0570|R120|X300|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
49,34,0.6938775510204082,1.1556854212337586,0.29546229346567054,14.477652379817858,4,external,LONG,570,120,300,0.85,0.2,0.35,0.0,33,12,4,LONG|E0570|R120|X300|F0.85|T0.20|S0.35,570,09:30,07:30,F85,True
53,36,0.6792452830188679,1.1571966665623503,0.3079648925408223,16.322139304663583,2,external,LONG,570,120,300,0.8,0.2,0.35,0.0,34,15,4,LONG|E0570|R120|X300|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
42,31,0.7380952380952381,0.9984034864887744,-0.0019829965905760047,-0.0832858568041922,3,reference_validation,LONG,570,120,300,0.9,0.2,0.35,0.0,30,9,3,LONG|E0570|R120|X300|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
46,30,0.6521739130434783,0.967124990570768,-0.04410709143116128,-2.028926205833419,3,reference_validation,LONG,570,120,300,0.85,0.2,0.35,0.0,29,14,3,LONG|E0570|R120|X300|F0.85|T0.20|S0.35,570,09:30,07:30,F85,False
44,28,0.6363636363636364,1.095108008416235,0.1267522856936937,5.577100570522523,3,reference_validation,LONG,570,120,300,0.8,0.2,0.35,0.0,26,15,3,LONG|E0570|R120|X300|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
81,58,0.7160493827160493,0.9080866875940615,-0.10999355538986147,-8.909477986578779,3,development,LONG,570,120,360,0.9,0.2,0.35,0.0,57,21,3,LONG|E0570|R120|X360|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
90,63,0.7,1.213482148928374,0.22459866672932938,20.213880005639645,4,development,LONG,570,120,360,0.85,0.2,0.35,0.0,63,25,2,LONG|E0570|R120|X360|F0.85|T0.20|S0.35,570,09:30,07:30,F85,True
86,60,0.6976744186046512,1.4681509201473473,0.46177777965979505,39.712889050742376,3,development,LONG,570,120,360,0.8,0.2,0.35,0.0,60,24,2,LONG|E0570|R120|X360|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
50,34,0.68,1.0027823208122408,0.005565607734883513,0.27828038674417566,3,external,LONG,570,120,360,0.9,0.2,0.35,0.0,33,11,6,LONG|E0570|R120|X360|F0.90|T0.20|S0.35,570,09:30,07:30,F90,True
51,35,0.6862745098039216,1.155467776695972,0.2860694026855225,14.589539536961649,2,external,LONG,570,120,360,0.85,0.2,0.35,0.0,33,12,6,LONG|E0570|R120|X360|F0.85|T0.20|S0.35,570,09:30,07:30,F85,True
54,35,0.6481481481481481,1.1587602371594068,0.30460624262286984,16.448737101634972,2,external,LONG,570,120,360,0.8,0.2,0.35,0.0,34,15,5,LONG|E0570|R120|X360|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
43,32,0.7441860465116279,0.9740768166329047,-0.034464688669362274,-1.4819816127825778,3,reference_validation,LONG,570,120,360,0.9,0.2,0.35,0.0,32,10,1,LONG|E0570|R120|X360|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
47,31,0.6595744680851063,0.9562797855261902,-0.062077218601369825,-2.9176292742643817,3,reference_validation,LONG,570,120,360,0.85,0.2,0.35,0.0,31,15,1,LONG|E0570|R120|X360|F0.85|T0.20|S0.35,570,09:30,07:30,F85,False
45,28,0.6222222222222222,1.081657654486499,0.11554294944773744,5.199432725148185,3,reference_validation,LONG,570,120,360,0.8,0.2,0.35,0.0,28,16,1,LONG|E0570|R120|X360|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
81,59,0.7283950617283951,0.9733915972478866,-0.03140803122734903,-2.5440505294152715,3,development,LONG,570,120,390,0.9,0.2,0.35,0.0,58,21,2,LONG|E0570|R120|X390|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
90,64,0.7111111111111111,1.2748400735468002,0.287518759132508,25.876688321925723,4,development,LONG,570,120,390,0.85,0.2,0.35,0.0,64,25,1,LONG|E0570|R120|X390|F0.85|T0.20|S0.35,570,09:30,07:30,F85,True
86,61,0.7093023255813954,1.5334070237522608,0.527731899300634,45.38494333985453,3,development,LONG,570,120,390,0.8,0.2,0.35,0.0,61,24,1,LONG|E0570|R120|X390|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
52,35,0.6730769230769231,0.9487313391202785,-0.10740696013150988,-5.585161926838514,5,external,LONG,570,120,390,0.9,0.2,0.35,0.0,34,11,7,LONG|E0570|R120|X390|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
51,36,0.7058823529411765,1.1909774819437777,0.35150831125594556,17.926923874053223,3,external,LONG,570,120,390,0.85,0.2,0.35,0.0,34,12,5,LONG|E0570|R120|X390|F0.85|T0.20|S0.35,570,09:30,07:30,F85,True
55,37,0.6727272727272727,1.2036447732241256,0.3841836582714313,21.13010120492872,3,external,LONG,570,120,390,0.8,0.2,0.35,0.0,35,15,5,LONG|E0570|R120|X390|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
43,33,0.7674418604651163,1.0853938459823362,0.10674171105837535,4.58989357551014,3,reference_validation,LONG,570,120,390,0.9,0.2,0.35,0.0,33,10,0,LONG|E0570|R120|X390|F0.90|T0.20|S0.35,570,09:30,07:30,F90,True
48,32,0.6666666666666666,1.02754002955691,0.037401152129049375,1.79525530219437,3,reference_validation,LONG,570,120,390,0.85,0.2,0.35,0.0,32,15,1,LONG|E0570|R120|X390|F0.85|T0.20|S0.35,570,09:30,07:30,F85,True
46,29,0.6304347826086957,1.167405185880837,0.22617343560573192,10.403978037863668,3,reference_validation,LONG,570,120,390,0.8,0.2,0.35,0.0,29,16,1,LONG|E0570|R120|X390|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
81,59,0.7283950617283951,0.9507558619716855,-0.059544472378048253,-4.823102262621909,3,development,LONG,570,120,420,0.9,0.2,0.35,0.0,58,22,1,LONG|E0570|R120|X420|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
90,64,0.7111111111111111,1.2440017757243524,0.261585593883254,23.54270344949286,4,development,LONG,570,120,420,0.85,0.2,0.35,0.0,64,26,0,LONG|E0570|R120|X420|F0.85|T0.20|S0.35,570,09:30,07:30,F85,True
86,61,0.7093023255813954,1.4924307397326897,0.5005679443222264,43.04884321171147,3,development,LONG,570,120,420,0.8,0.2,0.35,0.0,61,25,0,LONG|E0570|R120|X420|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
53,36,0.6792452830188679,0.9372598571173153,-0.13563036140706763,-7.188409154574585,3,external,LONG,570,120,420,0.9,0.2,0.35,0.0,36,12,5,LONG|E0570|R120|X420|F0.90|T0.20|S0.35,570,09:30,07:30,F90,False
52,36,0.6923076923076923,1.1975101886095338,0.36835379561217374,19.154397371833035,3,external,LONG,570,120,420,0.85,0.2,0.35,0.0,36,13,3,LONG|E0570|R120|X420|F0.85|T0.20|S0.35,570,09:30,07:30,F85,True
56,38,0.6785714285714286,1.217201198689528,0.4134386425336887,23.15256398188657,3,external,LONG,570,120,420,0.8,0.2,0.35,0.0,37,16,3,LONG|E0570|R120|X420|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
44,34,0.7727272727272727,1.0863688686329553,0.1055068352308115,4.642300750155706,3,reference_validation,LONG,570,120,420,0.9,0.2,0.35,0.0,33,10,1,LONG|E0570|R120|X420|F0.90|T0.20|S0.35,570,09:30,07:30,F90,True
49,33,0.673469387755102,1.045548172239705,0.06028298942958375,2.953866482049604,3,reference_validation,LONG,570,120,420,0.85,0.2,0.35,0.0,32,15,2,LONG|E0570|R120|X420|F0.85|T0.20|S0.35,570,09:30,07:30,F85,True
47,30,0.6382978723404256,1.199568898467533,0.26246500514554694,12.335855241840706,3,reference_validation,LONG,570,120,420,0.8,0.2,0.35,0.0,29,16,2,LONG|E0570|R120|X420|F0.80|T0.20|S0.35,570,09:30,07:30,F80,True
64,32,0.5,0.7707331694862276,-0.24892203576155972,-15.931010288739822,4,development,LONG,570,180,180,0.9,0.2,0.35,0.0,31,8,25,LONG|E0570|R180|X180|F0.90|T0.20|S0.35,570,09:30,06:30,F90,False
79,40,0.5063291139240507,0.8304219797908909,-0.18581717472388729,-14.679556803187095,6,development,LONG,570,180,180,0.85,0.2,0.35,0.0,38,12,29,LONG|E0570|R180|X180|F0.85|T0.20|S0.35,570,09:30,06:30,F85,False
76,32,0.42105263157894735,0.7311158102167843,-0.29245344989205757,-22.226462191796376,8,development,LONG,570,180,180,0.8,0.2,0.35,0.0,29,14,33,LONG|E0570|R180|X180|F0.80|T0.20|S0.35,570,09:30,06:30,F80,False
46,24,0.5217391304347826,0.6213794441998121,-0.8404572931050334,-38.66103548283154,7,external,LONG,570,180,180,0.9,0.2,0.35,0.0,22,8,16,LONG|E0570|R180|X180|F0.90|T0.20|S0.35,570,09:30,06:30,F90,False
45,25,0.5555555555555556,0.7706418935210673,-0.44522881491776245,-20.03529667129931,6,external,LONG,570,180,180,0.85,0.2,0.35,0.0,21,8,16,LONG|E0570|R180|X180|F0.85|T0.20|S0.35,570,09:30,06:30,F85,False
43,24,0.5581395348837209,0.8401597231439687,-0.30816789835034275,-13.251219629064739,3,external,LONG,570,180,180,0.8,0.2,0.35,0.0,19,9,15,LONG|E0570|R180|X180|F0.80|T0.20|S0.35,570,09:30,06:30,F80,False
43,22,0.5116279069767442,0.5662305778595396,-0.6037457962463666,-25.961069238593765,5,reference_validation,LONG,570,180,180,0.9,0.2,0.35,0.0,19,6,18,LONG|E0570|R180|X180|F0.90|T0.20|S0.35,570,09:30,06:30,F90,False
