n,wins,wr,pf,expectancy,net,max_ls,partition,side,exec_min,ref_min,horizon_min,entry_f,target_ext,stop_f,stress_bps,targets,stops,time_exits,config_id,template,execution_utc,reference_start_utc,probe,positive
55,26,0.4727272727272727,0.5164363292849002,-0.9732881649386738,-53.53084907162706,6,development,LONG,0,240,300,0.9,0.2,0.35,0.0,25,11,19,LONG|E0000|R240|X300|F0.90|T0.20|S0.35,NATIVE_SHORT,00:00,20:00,F90,False
61,24,0.39344262295081966,0.4766147121336592,-1.0950786032663031,-66.7997947992445,8,development,LONG,0,240,300,0.85,0.2,0.35,0.0,23,16,22,LONG|E0000|R240|X300|F0.85|T0.20|S0.35,NATIVE_SHORT,00:00,20:00,F85,False
60,23,0.38333333333333336,0.554052628559558,-0.8591767778175271,-51.550606669051625,7,development,LONG,0,240,300,0.8,0.2,0.35,0.0,21,18,21,LONG|E0000|R240|X300|F0.80|T0.20|S0.35,NATIVE_SHORT,00:00,20:00,F80,False
45,23,0.5111111111111111,0.8722002812593618,-0.2869960538008287,-12.914822421037291,5,external,LONG,0,240,300,0.9,0.2,0.35,0.0,19,8,18,LONG|E0000|R240|X300|F0.90|T0.20|S0.35,NATIVE_SHORT,00:00,20:00,F90,False
52,22,0.4230769230769231,0.645497160586854,-1.1510051192020736,-59.85226619850783,5,external,LONG,0,240,300,0.85,0.2,0.35,0.0,19,17,16,LONG|E0000|R240|X300|F0.85|T0.20|S0.35,NATIVE_SHORT,00:00,20:00,F85,False
49,20,0.40816326530612246,0.7138040489749954,-0.9379614543587486,-45.96011126357868,5,external,LONG,0,240,300,0.8,0.2,0.35,0.0,16,19,14,LONG|E0000|R240|X300|F0.80|T0.20|S0.35,NATIVE_SHORT,00:00,20:00,F80,False
49,23,0.46938775510204084,0.508904445504488,-1.1408429955665884,-55.90130678276284,5,reference_validation,LONG,0,240,300,0.9,0.2,0.35,0.0,22,17,10,LONG|E0000|R240|X300|F0.90|T0.20|S0.35,NATIVE_SHORT,00:00,20:00,F90,False
50,24,0.48,0.44579423277274693,-1.4309194294391145,-71.54597147195572,6,reference_validation,LONG,0,240,300,0.85,0.2,0.35,0.0,21,18,11,LONG|E0000|R240|X300|F0.85|T0.20|S0.35,NATIVE_SHORT,00:00,20:00,F85,False
48,22,0.4583333333333333,0.5392134492779467,-1.147160976692624,-55.063726881245955,6,reference_validation,LONG,0,240,300,0.8,0.2,0.35,0.0,19,19,10,LONG|E0000|R240|X300|F0.80|T0.20|S0.35,NATIVE_SHORT,00:00,20:00,F80,False
48,21,0.4375,0.41484435057680197,-1.3165158365788938,-63.19276015578691,6,development,LONG,30,240,300,0.9,0.2,0.35,0.0,19,9,20,LONG|E0030|R240|X300|F0.90|T0.20|S0.35,NATIVE_SHORT,00:30,20:30,F90,False
56,24,0.42857142857142855,0.43616789023575847,-1.386274409429139,-77.63136692803178,6,development,LONG,30,240,300,0.85,0.2,0.35,0.0,20,15,21,LONG|E0030|R240|X300|F0.85|T0.20|S0.35,NATIVE_SHORT,00:30,20:30,F85,False
54,21,0.3888888888888889,0.4704907659325156,-1.2711800731322174,-68.64372394913974,6,development,LONG,30,240,300,0.8,0.2,0.35,0.0,17,17,20,LONG|E0030|R240|X300|F0.80|T0.20|S0.35,NATIVE_SHORT,00:30,20:30,F80,False
41,19,0.4634146341463415,0.6175135847203387,-0.9801865479956612,-40.18764846782211,6,external,LONG,30,240,300,0.9,0.2,0.35,0.0,16,9,16,LONG|E0030|R240|X300|F0.90|T0.20|S0.35,NATIVE_SHORT,00:30,20:30,F90,False
42,17,0.40476190476190477,0.4074726364672854,-1.8574989025266515,-78.01495390611936,6,external,LONG,30,240,300,0.85,0.2,0.35,0.0,13,14,15,LONG|E0030|R240|X300|F0.85|T0.20|S0.35,NATIVE_SHORT,00:30,20:30,F85,False
36,14,0.3888888888888889,0.46806012590998836,-1.6126217587941882,-58.05438331659077,5,external,LONG,30,240,300,0.8,0.2,0.35,0.0,10,13,13,LONG|E0030|R240|X300|F0.80|T0.20|S0.35,NATIVE_SHORT,00:30,20:30,F80,False
38,20,0.5263157894736842,0.763273756979895,-0.5055223056155516,-19.20984761339096,4,reference_validation,LONG,30,240,300,0.9,0.2,0.35,0.0,20,11,7,LONG|E0030|R240|X300|F0.90|T0.20|S0.35,NATIVE_SHORT,00:30,20:30,F90,False
38,19,0.5,0.4974609731357933,-1.203592264706699,-45.73650605885456,3,reference_validation,LONG,30,240,300,0.85,0.2,0.35,0.0,18,14,6,LONG|E0030|R240|X300|F0.85|T0.20|S0.35,NATIVE_SHORT,00:30,20:30,F85,False
37,19,0.5135135135135135,0.6379939352657414,-0.7781300395168919,-28.790811462125,3,reference_validation,LONG,30,240,300,0.8,0.2,0.35,0.0,17,14,6,LONG|E0030|R240|X300|F0.80|T0.20|S0.35,NATIVE_SHORT,00:30,20:30,F80,False
47,23,0.48936170212765956,0.5361084547233387,-0.6257083587021098,-29.408292858999165,4,development,LONG,60,240,300,0.9,0.2,0.35,0.0,18,8,21,LONG|E0060|R240|X300|F0.90|T0.20|S0.35,NATIVE_SHORT,01:00,21:00,F90,False
50,24,0.48,0.49836615827597847,-0.7891461806167864,-39.45730903083932,9,development,LONG,60,240,300,0.85,0.2,0.35,0.0,17,10,23,LONG|E0060|R240|X300|F0.85|T0.20|S0.35,NATIVE_SHORT,01:00,21:00,F85,False
50,25,0.5,0.5880995454643264,-0.7062619904922414,-35.31309952461207,9,development,LONG,60,240,300,0.8,0.2,0.35,0.0,17,13,20,LONG|E0060|R240|X300|F0.80|T0.20|S0.35,NATIVE_SHORT,01:00,21:00,F80,False
