n,wins,wr,pf,expectancy,net,max_ls,partition,side,exec_min,ref_min,horizon_min,entry_f,target_ext,stop_f,stress_bps,targets,stops,time_exits,config_id,execution_utc,entry,positive
57,39,0.6842105263157895,1.1387544580071862,0.1906405427045662,10.866510934160274,2,development,LONG,300,300,360,0.95,0.2,0.35,0.0,37,6,14,LONG|E0300|R300|X360|F0.95|T0.20|S0.35,05:00,F95,True
31,16,0.5161290322580645,0.7214579463239376,-0.7610323238988355,-23.5920020408639,5,external,LONG,300,300,360,0.95,0.2,0.35,0.0,15,3,13,LONG|E0300|R300|X360|F0.95|T0.20|S0.35,05:00,F95,False
30,22,0.7333333333333333,2.1312498525026573,0.8277972399590182,24.833917198770546,2,reference_validation,LONG,300,300,360,0.95,0.2,0.35,0.0,17,0,13,LONG|E0300|R300|X360|F0.95|T0.20|S0.35,05:00,F95,True
72,48,0.6666666666666666,0.8147224187370319,-0.29244673408282185,-21.056164853963175,3,development,LONG,540,300,360,0.95,0.2,0.35,0.0,48,13,11,LONG|E0540|R300|X360|F0.95|T0.20|S0.35,09:00,F95,False
41,29,0.7073170731707317,1.203431032782929,0.5548732576244486,22.74980356260239,2,external,LONG,540,300,360,0.95,0.2,0.35,0.0,29,7,5,LONG|E0540|R300|X360|F0.95|T0.20|S0.35,09:00,F95,True
31,18,0.5806451612903226,0.5975874879350846,-0.881408472118925,-27.323662635686677,3,reference_validation,LONG,540,300,360,0.95,0.2,0.35,0.0,17,8,6,LONG|E0540|R300|X360|F0.95|T0.20|S0.35,09:00,F95,False
77,50,0.6493506493506493,0.6743537581795418,-0.5969985089727821,-45.96888519090422,5,development,LONG,600,300,360,0.95,0.2,0.35,0.0,49,16,12,LONG|E0600|R300|X360|F0.95|T0.20|S0.35,10:00,F95,False
32,26,0.8125,1.1833562333128387,0.3845094916268945,12.304303732060625,1,external,LONG,600,300,360,0.95,0.2,0.35,0.0,25,4,3,LONG|E0600|R300|X360|F0.95|T0.20|S0.35,10:00,F95,True
32,22,0.6875,0.9523568880035369,-0.0920270879249091,-2.9448668135970912,3,reference_validation,LONG,600,300,360,0.95,0.2,0.35,0.0,22,7,3,LONG|E0600|R300|X360|F0.95|T0.20|S0.35,10:00,F95,False
40,28,0.7,1.6481273930559364,0.7607100880907327,30.428403523629306,4,development,LONG,960,300,360,0.95,0.2,0.35,0.0,28,2,10,LONG|E0960|R300|X360|F0.95|T0.20|S0.35,16:00,F95,True
