partition,exec_min,execution_utc,execution_start,entry_bar_start,entry_px,exit_ts,exit_px_0,exit_reason,pnl_0,pnl_5,H,L,candidate_id,accepted,blocked_by_clock
external,600,10:00,2020-01-02 10:00:00+00:00,2020-01-02 10:20:00+00:00,129.905,2020-01-02 13:35:00+00:00,129.07,CLOSE_INVALIDATION,-3.613887071321364,-4.110424915328081,130.22,128.96,external|10:00|2020-01-02T10:00:00+00:00|2020-01-02T10:20:00+00:00,True,
external,540,09:00,2020-01-02 09:00:00+00:00,2020-01-02 10:35:00+00:00,129.83249999999998,2020-01-02 15:00:00+00:00,129.3,TIME_EXIT,-2.4507191958868964,-2.9484196264756175,130.22,128.67,external|09:00|2020-01-02T09:00:00+00:00|2020-01-02T10:35:00+00:00,False,10:00
external,960,16:00,2020-01-10 16:00:00+00:00,2020-01-10 16:10:00+00:00,141.425,2020-01-10 18:20:00+00:00,144.555,TARGET,10.665936008485044,10.410530743113556,142.99,136.73,external|16:00|2020-01-10T16:00:00+00:00|2020-01-10T16:10:00+00:00,True,
external,540,09:00,2020-01-13 09:00:00+00:00,2020-01-13 11:10:00+00:00,143.6325,2020-01-13 14:30:00+00:00,142.58,CLOSE_INVALIDATION,-4.063864376098669,-4.559952467676753,144.07,142.32,external|09:00|2020-01-13T09:00:00+00:00|2020-01-13T11:10:00+00:00,True,
external,600,10:00,2020-01-16 10:00:00+00:00,2020-01-16 11:20:00+00:00,162.055,2020-01-16 11:40:00+00:00,163.54500000000002,TARGET,4.197204652741382,3.9450321366730328,162.8,159.82,external|10:00|2020-01-16T10:00:00+00:00|2020-01-16T11:20:00+00:00,True,
external,540,09:00,2020-01-16 09:00:00+00:00,2020-01-16 11:20:00+00:00,161.97250000000003,2020-01-16 11:40:00+00:00,163.6275,TARGET,4.708891941533189,4.456463709678404,162.8,159.49,external|09:00|2020-01-16T09:00:00+00:00|2020-01-16T11:20:00+00:00,False,10:00
external,960,16:00,2020-01-16 16:00:00+00:00,2020-01-16 21:10:00+00:00,164.5325,2020-01-16 22:00:00+00:00,163.54,TIME_EXIT,-3.416121434974872,-3.9128569457844593,165.92,160.37,external|16:00|2020-01-16T16:00:00+00:00|2020-01-16T21:10:00+00:00,True,
external,960,16:00,2020-01-22 16:00:00+00:00,2020-01-22 17:20:00+00:00,168.01,2020-01-22 22:00:00+00:00,168.04,TIME_EXIT,-0.3107196000237563,-0.8105589607433236,168.64,166.12,external|16:00|2020-01-22T16:00:00+00:00|2020-01-22T17:20:00+00:00,True,
external,960,16:00,2020-02-04 16:00:00+00:00,2020-02-04 16:10:00+00:00,187.94,2020-02-04 22:00:00+00:00,188.19,TIME_EXIT,0.2651058848569091,-0.23530901357864364,188.95,184.91,external|16:00|2020-02-04T16:00:00+00:00|2020-02-04T16:10:00+00:00,True,
external,540,09:00,2020-02-17 09:00:00+00:00,2020-02-17 09:25:00+00:00,251.07999999999998,2020-02-17 11:25:00+00:00,243.2,CLOSE_INVALIDATION,-16.092209654293466,-16.57627541176031,254.0,242.32,external|09:00|2020-02-17T09:00:00+00:00|2020-02-17T09:25:00+00:00,True,
external,960,16:00,2020-02-19 16:00:00+00:00,2020-02-19 16:25:00+00:00,282.13,2020-02-19 17:30:00+00:00,284.75,TARGET,4.243249565802976,3.991054038783704,283.44,278.2,external|16:00|2020-02-19T16:00:00+00:00|2020-02-19T16:25:00+00:00,True,
