exec_min,execution_utc,filter,partition,raw_n,n,retention,wins,wr,pf,expectancy,net,max_ls
300,05:00,BASE,external,29,29,1.0,17,0.5862068965517241,2.158915379929707,1.5828393884138132,45.90234226400058,4
300,05:00,A__B,external,29,18,0.6206896551724138,11,0.6111111111111112,2.485860330497071,2.232627746707219,40.187299440729944,3
300,05:00,A__C,external,29,19,0.6551724137931034,10,0.5263157894736842,1.8034765306032459,1.4639841637442812,27.815699111141342,3
300,05:00,A__B__C,external,29,15,0.5172413793103449,9,0.6,2.346866379872964,2.375400222159741,35.63100333239611,2
300,05:00,BASE,development,52,52,1.0,33,0.6346153846153846,1.6713613477894227,0.861201971435477,44.782502514644804,4
300,05:00,A__B,development,52,26,0.5,19,0.7307692307692307,2.1268465838847708,1.3415214197544663,34.87955691361612,1
300,05:00,A__C,development,52,14,0.2692307692307692,9,0.6428571428571429,3.2325299799949265,1.7359522847930506,24.30333198710271,1
300,05:00,A__B__C,development,52,10,0.19230769230769232,6,0.6,2.650610756592899,1.5166049988893597,15.166049988893597,3
300,05:00,BASE,reference_validation,24,24,1.0,15,0.625,1.2855029341195545,0.46906654275957266,11.257597026229744,2
300,05:00,A__B,reference_validation,24,13,0.5416666666666666,8,0.6153846153846154,1.3338505289817901,0.5550990161209909,7.216287209572882,2
300,05:00,A__C,reference_validation,24,12,0.5,6,0.5,0.7715296004379805,-0.5185733499155055,-6.222880198986067,3
300,05:00,A__B__C,reference_validation,24,9,0.375,5,0.5555555555555556,1.2552369743227778,0.45493911653507674,4.094452048815691,2
540,09:00,BASE,external,51,51,1.0,33,0.6470588235294118,1.1721919649542443,0.49523367308875194,25.25691732752635,3
540,09:00,A__B,external,51,32,0.6274509803921569,21,0.65625,1.1289199121490463,0.42249401380599094,13.51980844179171,3
540,09:00,A__C,external,51,33,0.6470588235294118,23,0.696969696969697,1.4180527953661841,1.1018271133422695,36.36029474029489,4
540,09:00,A__B__C,external,51,27,0.5294117647058824,18,0.6666666666666666,1.3176647994464683,0.9809963815793387,26.486902302642143,3
540,09:00,BASE,development,89,89,1.0,56,0.6292134831460674,1.3769846212659103,0.5934780411542144,52.81954566272508,4
540,09:00,A__B,development,89,44,0.4943820224719101,28,0.6363636363636364,1.6167027636130376,0.909460624993742,40.01626749972465,5
540,09:00,A__C,development,89,53,0.5955056179775281,35,0.660377358490566,1.8575808180413051,1.1224692423749902,59.490869845874485,4
540,09:00,A__B__C,development,89,38,0.42696629213483145,26,0.6842105263157895,2.019896531387139,1.3375904267766179,50.82843621751148,4
540,09:00,BASE,reference_validation,31,31,1.0,23,0.7419354838709677,1.755567239017798,0.9733970255278455,30.17530779136321,2
540,09:00,A__B,reference_validation,31,16,0.5161290322580645,14,0.875,4.641667693263367,2.1533104532570464,34.45296725211274,1
540,09:00,A__C,reference_validation,31,21,0.6774193548387096,17,0.8095238095238095,3.0928534099421414,1.754906153904113,36.853029231986376,2
540,09:00,A__B__C,reference_validation,31,14,0.45161290322580644,12,0.8571428571428571,4.005184688612571,2.0308107317905697,28.43135024506798,2
600,10:00,BASE,external,38,38,1.0,27,0.7105263157894737,1.4978460290886193,1.2660058278500483,48.108221458301834,3
600,10:00,A__B,external,38,23,0.6052631578947368,17,0.7391304347826086,1.3598200820957016,1.1584683639808104,26.644772371558638,1
600,10:00,A__C,external,38,28,0.7368421052631579,19,0.6785714285714286,1.2591232473667302,0.8162887433221891,22.856084813021297,3
600,10:00,A__B__C,external,38,18,0.47368421052631576,12,0.6666666666666666,1.0697411839746003,0.28690850795073836,5.16435314311329,1
600,10:00,BASE,development,97,97,1.0,60,0.6185567010309279,1.1626984620556278,0.2714443739473077,26.330104272888846,5
600,10:00,A__B,development,97,54,0.5567010309278351,36,0.6666666666666666,1.2854667834969964,0.46605989950312776,25.167234573168898,4
600,10:00,A__C,development,97,55,0.5670103092783505,35,0.6363636363636364,1.5334298213689566,0.7873625003629913,43.30493751996452,4
600,10:00,A__B__C,development,97,45,0.4639175257731959,30,0.6666666666666666,1.4824874675126851,0.7188043490636302,32.34619570786336,4
600,10:00,BASE,reference_validation,41,41,1.0,28,0.6829268292682927,1.994275924285748,1.4851883416151301,60.89272200622034,3
600,10:00,A__B,reference_validation,41,28,0.6829268292682927,20,0.7142857142857143,2.440482980851936,2.0559862086747853,57.567613842893984,3
600,10:00,A__C,reference_validation,41,28,0.6829268292682927,20,0.7142857142857143,2.340217068287315,1.912877726191269,53.560576333355534,3
