exec_min,execution_utc,state,partition,base_n,n,retention,wins,wr,pf,expectancy,net,max_ls
300,05:00,DIRECTION_BASE,external,29,29,1.0,17,0.5862068965517241,2.158915379929707,1.5828393884138132,45.90234226400058,4
300,05:00,UP_REF,external,29,20,0.6896551724137931,10,0.5,1.7638599346056336,1.4028639282015338,28.05727856403068,4
300,05:00,DOWN_REF,external,29,9,0.3103448275862069,7,0.7777777777777778,7.202451750899606,1.9827848555522114,17.845063699969902,1
300,05:00,DIRECTION_BASE,development,52,52,1.0,33,0.6346153846153846,1.6713613477894227,0.861201971435477,44.782502514644804,4
300,05:00,UP_REF,development,52,40,0.7692307692307693,25,0.625,1.861443804550999,1.0471414953470735,41.88565981388294,4
300,05:00,DOWN_REF,development,52,12,0.23076923076923078,8,0.6666666666666666,1.1602112239307252,0.24140355839682273,2.896842700761873,4
300,05:00,DIRECTION_BASE,reference_validation,24,24,1.0,15,0.625,1.2855029341195545,0.46906654275957266,11.257597026229744,2
300,05:00,UP_REF,reference_validation,24,17,0.7083333333333334,10,0.5882352941176471,0.986068043180684,-0.026014945274849332,-0.44225406967243863,2
300,05:00,DOWN_REF,reference_validation,24,7,0.2916666666666667,5,0.7142857142857143,2.5220508503111896,1.6714072994145976,11.699851095902183,1
540,09:00,DIRECTION_BASE,external,51,51,1.0,33,0.6470588235294118,1.1721919649542443,0.49523367308875194,25.25691732752635,3
540,09:00,UP_REF,external,51,42,0.8235294117647058,29,0.6904761904761905,1.3285289506462756,0.927774855116867,38.966543914908414,3
540,09:00,DOWN_REF,external,51,9,0.17647058823529413,4,0.4444444444444444,0.5115858417762427,-1.5232918430424525,-13.709626587382072,3
540,09:00,DIRECTION_BASE,development,89,89,1.0,56,0.6292134831460674,1.3769846212659103,0.5934780411542144,52.81954566272508,4
540,09:00,UP_REF,development,89,67,0.7528089887640449,37,0.5522388059701493,1.1109375389885519,0.21117730978328283,14.14887975547995,5
540,09:00,DOWN_REF,development,89,22,0.24719101123595505,19,0.8636363636363636,4.07606846402615,1.7577575412384154,38.67066590724514,2
540,09:00,DIRECTION_BASE,reference_validation,31,31,1.0,23,0.7419354838709677,1.755567239017798,0.9733970255278455,30.17530779136321,2
540,09:00,UP_REF,reference_validation,31,27,0.8709677419354839,21,0.7777777777777778,1.5826621938781034,0.7536022395398718,20.34726046757654,2
540,09:00,DOWN_REF,reference_validation,31,4,0.12903225806451613,2,0.5,2.959302798591331,2.4570118309466653,9.828047323786661,1
600,10:00,DIRECTION_BASE,external,38,38,1.0,27,0.7105263157894737,1.4978460290886193,1.2660058278500483,48.108221458301834,3
600,10:00,UP_REF,external,38,29,0.7631578947368421,20,0.6896551724137931,1.218017053668045,0.6514057037532562,18.89076540884443,2
600,10:00,DOWN_REF,external,38,9,0.23684210526315788,7,0.7777777777777778,3.9262455274376626,3.2463840054952673,29.217456049457404,1
600,10:00,DIRECTION_BASE,development,97,97,1.0,60,0.6185567010309279,1.1626984620556278,0.2714443739473077,26.330104272888846,5
600,10:00,UP_REF,development,97,65,0.6701030927835051,46,0.7076923076923077,1.588556378397249,0.851225836633467,55.32967938117535,3
600,10:00,DOWN_REF,development,97,32,0.32989690721649484,14,0.4375,0.5724329259736861,-0.9062367221339535,-28.99957510828651,8
600,10:00,DIRECTION_BASE,reference_validation,41,41,1.0,28,0.6829268292682927,1.994275924285748,1.4851883416151301,60.89272200622034,3
600,10:00,UP_REF,reference_validation,41,33,0.8048780487804879,21,0.6363636363636364,1.6466698474286119,1.1364678103038486,37.503437740027,3
600,10:00,DOWN_REF,reference_validation,41,8,0.1951219512195122,7,0.875,8.1998893213921,2.923660533274167,23.389284266193336,1
960,16:00,DIRECTION_BASE,external,49,49,1.0,30,0.6122448979591837,1.6453786481457868,1.2118715660847894,59.381706738154676,7
960,16:00,UP_REF,external,49,42,0.8571428571428571,24,0.5714285714285714,1.3752004254144055,0.8191869436365847,34.40585163273656,7
960,16:00,DOWN_REF,external,49,7,0.14285714285714285,6,0.8571428571428571,81.3806876151636,3.5679793007740193,24.975855105418134,1
960,16:00,DIRECTION_BASE,development,50,50,1.0,28,0.56,0.8860182269496798,-0.34899639511085534,-17.449819755542766,3
960,16:00,UP_REF,development,50,37,0.74,21,0.5675675675675675,0.7589480269783007,-0.9221060747530232,-34.11792476586186,4
960,16:00,DOWN_REF,development,50,13,0.26,7,0.5384615384615384,2.44244627017656,1.2821619238707005,16.668105010319106,2
960,16:00,DIRECTION_BASE,reference_validation,24,24,1.0,14,0.5833333333333334,1.4010272664192651,0.886947629107811,21.286743098587465,5
960,16:00,UP_REF,reference_validation,24,17,0.7083333333333334,13,0.7647058823529411,3.2994221263549433,2.795796898176572,47.52854726900172,2
960,16:00,DOWN_REF,reference_validation,24,7,0.2916666666666667,1,0.14285714285714285,0.19033663752423266,-3.7488291672020346,-26.24180417041424,6
