candidate_id,partition,execution_utc,fill_match,eligible_before_or_at_fill,delay_is_5m_multiple,immediate_fill
external|05:00|2020-03-09T05:00:00+00:00|2020-03-09T06:35:00+00:00,external,05:00,True,True,True,False
external|05:00|2020-03-24T05:00:00+00:00|2020-03-24T07:25:00+00:00,external,05:00,True,True,True,False
external|05:00|2020-04-24T05:00:00+00:00|2020-04-24T08:15:00+00:00,external,05:00,True,True,True,False
external|05:00|2020-05-06T05:00:00+00:00|2020-05-06T08:40:00+00:00,external,05:00,True,True,True,False
external|05:00|2020-05-12T05:00:00+00:00|2020-05-12T05:45:00+00:00,external,05:00,True,True,True,True
external|05:00|2020-05-19T05:00:00+00:00|2020-05-19T10:10:00+00:00,external,05:00,True,True,True,False
external|05:00|2020-06-10T05:00:00+00:00|2020-06-10T06:00:00+00:00,external,05:00,True,True,True,False
external|05:00|2020-06-19T05:00:00+00:00|2020-06-19T09:25:00+00:00,external,05:00,True,True,True,True
external|05:00|2020-07-01T05:00:00+00:00|2020-07-01T06:00:00+00:00,external,05:00,True,True,True,False
external|05:00|2020-07-03T05:00:00+00:00|2020-07-03T08:20:00+00:00,external,05:00,True,True,True,False
external|05:00|2020-08-28T05:00:00+00:00|2020-08-28T05:20:00+00:00,external,05:00,True,True,True,False
external|05:00|2020-10-15T05:00:00+00:00|2020-10-15T06:00:00+00:00,external,05:00,True,True,True,True
external|05:00|2020-12-21T05:00:00+00:00|2020-12-21T08:15:00+00:00,external,05:00,True,True,True,False
external|05:00|2020-12-25T05:00:00+00:00|2020-12-25T07:00:00+00:00,external,05:00,True,True,True,False
external|05:00|2020-12-31T05:00:00+00:00|2020-12-31T07:35:00+00:00,external,05:00,True,True,True,False
external|05:00|2021-02-01T05:00:00+00:00|2021-02-01T07:10:00+00:00,external,05:00,True,True,True,False
external|05:00|2021-02-24T05:00:00+00:00|2021-02-24T06:15:00+00:00,external,05:00,True,True,True,False
external|05:00|2021-04-15T05:00:00+00:00|2021-04-15T06:50:00+00:00,external,05:00,True,True,True,False
external|05:00|2021-04-30T05:00:00+00:00|2021-04-30T05:15:00+00:00,external,05:00,True,True,True,False
external|05:00|2021-07-07T05:00:00+00:00|2021-07-07T08:00:00+00:00,external,05:00,True,True,True,True
external|05:00|2021-08-11T05:00:00+00:00|2021-08-11T06:15:00+00:00,external,05:00,True,True,True,False
external|05:00|2021-08-23T05:00:00+00:00|2021-08-23T10:20:00+00:00,external,05:00,True,True,True,False
external|05:00|2021-08-25T05:00:00+00:00|2021-08-25T06:20:00+00:00,external,05:00,True,True,True,False
external|05:00|2021-09-06T05:00:00+00:00|2021-09-06T09:20:00+00:00,external,05:00,True,True,True,False
external|05:00|2021-09-23T05:00:00+00:00|2021-09-23T05:30:00+00:00,external,05:00,True,True,True,False
external|05:00|2021-10-05T05:00:00+00:00|2021-10-05T09:10:00+00:00,external,05:00,True,True,True,True
external|05:00|2021-10-14T05:00:00+00:00|2021-10-14T05:10:00+00:00,external,05:00,True,True,True,True
external|05:00|2021-10-28T05:00:00+00:00|2021-10-28T06:10:00+00:00,external,05:00,True,True,True,True
external|05:00|2021-11-02T05:00:00+00:00|2021-11-02T06:10:00+00:00,external,05:00,True,True,True,True
external|09:00|2020-01-02T09:00:00+00:00|2020-01-02T10:35:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-01-13T09:00:00+00:00|2020-01-13T11:10:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-01-16T09:00:00+00:00|2020-01-16T11:20:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-02-17T09:00:00+00:00|2020-02-17T09:25:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-03-13T09:00:00+00:00|2020-03-13T11:00:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-03-20T09:00:00+00:00|2020-03-20T11:10:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-04-02T09:00:00+00:00|2020-04-02T10:40:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-04-17T09:00:00+00:00|2020-04-17T09:30:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-04-24T09:00:00+00:00|2020-04-24T09:40:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-05-06T09:00:00+00:00|2020-05-06T10:40:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-05-13T09:00:00+00:00|2020-05-13T11:20:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-06-08T09:00:00+00:00|2020-06-08T09:30:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-06-12T09:00:00+00:00|2020-06-12T12:15:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-06-22T09:00:00+00:00|2020-06-22T09:10:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-06-30T09:00:00+00:00|2020-06-30T09:55:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-07-01T09:00:00+00:00|2020-07-01T13:55:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-07-20T09:00:00+00:00|2020-07-20T09:15:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-07-23T09:00:00+00:00|2020-07-23T09:35:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-08-05T09:00:00+00:00|2020-08-05T10:05:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-09-16T09:00:00+00:00|2020-09-16T12:15:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-09-18T09:00:00+00:00|2020-09-18T10:30:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-09-29T09:00:00+00:00|2020-09-29T09:25:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-10-05T09:00:00+00:00|2020-10-05T11:15:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-10-07T09:00:00+00:00|2020-10-07T13:25:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-11-16T09:00:00+00:00|2020-11-16T11:30:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-11-20T09:00:00+00:00|2020-11-20T09:10:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-12-16T09:00:00+00:00|2020-12-16T09:25:00+00:00,external,09:00,True,True,True,True
external|09:00|2020-12-17T09:00:00+00:00|2020-12-17T10:05:00+00:00,external,09:00,True,True,True,False
external|09:00|2020-12-24T09:00:00+00:00|2020-12-24T10:10:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-01-29T09:00:00+00:00|2021-01-29T09:10:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-02-01T09:00:00+00:00|2021-02-01T09:25:00+00:00,external,09:00,True,True,True,False
external|09:00|2021-02-02T09:00:00+00:00|2021-02-02T09:25:00+00:00,external,09:00,True,True,True,False
external|09:00|2021-02-05T09:00:00+00:00|2021-02-05T09:20:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-02-09T09:00:00+00:00|2021-02-09T09:30:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-02-11T09:00:00+00:00|2021-02-11T09:10:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-03-26T09:00:00+00:00|2021-03-26T13:20:00+00:00,external,09:00,True,True,True,False
external|09:00|2021-04-02T09:00:00+00:00|2021-04-02T12:10:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-04-13T09:00:00+00:00|2021-04-13T09:20:00+00:00,external,09:00,True,True,True,False
external|09:00|2021-05-07T09:00:00+00:00|2021-05-07T11:10:00+00:00,external,09:00,True,True,True,False
external|09:00|2021-05-10T09:00:00+00:00|2021-05-10T09:10:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-06-02T09:00:00+00:00|2021-06-02T09:15:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-06-24T09:00:00+00:00|2021-06-24T09:20:00+00:00,external,09:00,True,True,True,False
external|09:00|2021-09-14T09:00:00+00:00|2021-09-14T09:10:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-10-05T09:00:00+00:00|2021-10-05T09:10:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-10-19T09:00:00+00:00|2021-10-19T13:50:00+00:00,external,09:00,True,True,True,False
external|09:00|2021-10-20T09:00:00+00:00|2021-10-20T10:05:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-11-03T09:00:00+00:00|2021-11-03T09:50:00+00:00,external,09:00,True,True,True,False
external|09:00|2021-11-19T09:00:00+00:00|2021-11-19T10:15:00+00:00,external,09:00,True,True,True,False
external|09:00|2021-12-02T09:00:00+00:00|2021-12-02T09:25:00+00:00,external,09:00,True,True,True,False
external|09:00|2021-12-07T09:00:00+00:00|2021-12-07T09:15:00+00:00,external,09:00,True,True,True,True
external|09:00|2021-12-24T09:00:00+00:00|2021-12-24T13:45:00+00:00,external,09:00,True,True,True,False
external|10:00|2020-01-02T10:00:00+00:00|2020-01-02T10:20:00+00:00,external,10:00,True,True,True,True
external|10:00|2020-01-16T10:00:00+00:00|2020-01-16T11:20:00+00:00,external,10:00,True,True,True,True
external|10:00|2020-03-19T10:00:00+00:00|2020-03-19T10:40:00+00:00,external,10:00,True,True,True,False
external|10:00|2020-03-20T10:00:00+00:00|2020-03-20T11:00:00+00:00,external,10:00,True,True,True,False
external|10:00|2020-03-31T10:00:00+00:00|2020-03-31T15:25:00+00:00,external,10:00,True,True,True,True
external|10:00|2020-04-02T10:00:00+00:00|2020-04-02T10:40:00+00:00,external,10:00,True,True,True,False
external|10:00|2020-04-28T10:00:00+00:00|2020-04-28T10:20:00+00:00,external,10:00,True,True,True,False
external|10:00|2020-05-06T10:00:00+00:00|2020-05-06T10:40:00+00:00,external,10:00,True,True,True,True
external|10:00|2020-05-11T10:00:00+00:00|2020-05-11T10:55:00+00:00,external,10:00,True,True,True,True
external|10:00|2020-05-12T10:00:00+00:00|2020-05-12T12:10:00+00:00,external,10:00,True,True,True,True
external|10:00|2020-05-13T10:00:00+00:00|2020-05-13T11:20:00+00:00,external,10:00,True,True,True,False
external|10:00|2020-06-12T10:00:00+00:00|2020-06-12T12:15:00+00:00,external,10:00,True,True,True,False
external|10:00|2020-06-30T10:00:00+00:00|2020-06-30T12:05:00+00:00,external,10:00,True,True,True,True
external|10:00|2020-07-01T10:00:00+00:00|2020-07-01T13:55:00+00:00,external,10:00,True,True,True,False
