hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net,blocked_by_open_until
2,1155,150,300,RV_HIGH__RANGE_MID,2022-01-11 19:15:00+00:00,2022-01-12 00:15:00+00:00,4.604793947099107,3.8547939470991066,2022-01-12 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2022-01-11 19:30:00+00:00,2022-01-12 00:30:00+00:00,2.171818409956282,1.4218184099562818,2022-01-12 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2022-01-11 19:45:00+00:00,2022-01-12 00:45:00+00:00,-1.12768346899566,-1.87768346899566,2022-01-12 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2022-01-13 19:15:00+00:00,2022-01-14 00:15:00+00:00,-5.413152225508441,-6.163152225508441,2022-01-14 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2022-01-13 19:30:00+00:00,2022-01-14 00:30:00+00:00,-5.118984696511913,-5.868984696511913,2022-01-14 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2022-01-28 19:15:00+00:00,2022-01-29 00:15:00+00:00,24.448126548286112,23.698126548286112,2022-01-29 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2022-01-28 19:30:00+00:00,2022-01-29 00:30:00+00:00,25.293713669029454,24.543713669029454,2022-01-29 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2022-02-18 19:30:00+00:00,2022-02-19 00:30:00+00:00,-2.23255714346897,-2.98255714346897,2022-02-19 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2022-02-18 19:45:00+00:00,2022-02-19 00:45:00+00:00,1.8892545510600551,1.1392545510600551,2022-02-19 00:15:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2022-02-25 19:30:00+00:00,2022-02-26 00:30:00+00:00,14.723070472600112,13.973070472600112,2022-02-26 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2022-02-25 19:45:00+00:00,2022-02-26 00:45:00+00:00,27.561415135787154,26.811415135787154,2022-02-26 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2022-04-25 19:30:00+00:00,2022-04-26 00:30:00+00:00,5.100263887586573,4.350263887586573,2022-04-26 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2022-04-26 19:45:00+00:00,2022-04-27 00:45:00+00:00,-6.535049224359516,-7.285049224359516,2022-04-27 00:30:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2022-04-29 19:30:00+00:00,2022-04-30 00:30:00+00:00,6.670254754215973,5.920254754215973,2022-04-30 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2022-04-29 19:45:00+00:00,2022-04-30 00:45:00+00:00,4.807072111456774,4.057072111456774,2022-04-30 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2022-05-18 19:30:00+00:00,2022-05-19 00:30:00+00:00,-9.783534853525966,-10.533534853525966,2022-05-19 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2022-05-18 19:45:00+00:00,2022-05-19 00:45:00+00:00,-11.857777418425625,-12.607777418425625,2022-05-19 00:15:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2022-05-24 19:15:00+00:00,2022-05-25 00:15:00+00:00,6.459411185020961,5.709411185020961,2022-05-25 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2022-05-24 19:30:00+00:00,2022-05-25 00:30:00+00:00,4.50372246448592,3.7537224644859197,2022-05-25 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2022-06-02 19:15:00+00:00,2022-06-03 00:15:00+00:00,6.358499858884473,5.608499858884473,2022-06-03 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2022-06-02 19:30:00+00:00,2022-06-03 00:30:00+00:00,6.762360799318798,6.012360799318798,2022-06-03 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2022-06-22 19:15:00+00:00,2022-06-23 00:15:00+00:00,-7.223440782593358,-7.973440782593358,2022-06-23 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2022-06-22 19:45:00+00:00,2022-06-23 00:45:00+00:00,5.300933527231873,4.550933527231873,2022-06-23 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2022-06-24 19:30:00+00:00,2022-06-25 00:30:00+00:00,1.2223133716160863,0.47231337161608633,2022-06-25 00:15:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2022-06-29 19:15:00+00:00,2022-06-30 00:15:00+00:00,-0.8226806733325636,-1.5726806733325636,2022-06-30 00:00:00+00:00
