hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net
2,1140,150,300,RV_HIGH__RANGE_MID,2022-01-07 19:00:00+00:00,2022-01-08 00:00:00+00:00,3.815759195806296,3.065759195806296
2,1140,150,300,RV_HIGH__RANGE_MID,2022-01-11 19:00:00+00:00,2022-01-12 00:00:00+00:00,0.8618848818893018,0.11188488188930179
2,1155,150,300,RV_HIGH__RANGE_MID,2022-01-11 19:15:00+00:00,2022-01-12 00:15:00+00:00,4.604793947099107,3.8547939470991066
2,1170,150,300,RV_HIGH__RANGE_MID,2022-01-11 19:30:00+00:00,2022-01-12 00:30:00+00:00,2.171818409956282,1.4218184099562818
2,1185,150,300,RV_HIGH__RANGE_MID,2022-01-11 19:45:00+00:00,2022-01-12 00:45:00+00:00,-1.12768346899566,-1.87768346899566
2,1140,150,300,RV_HIGH__RANGE_MID,2022-01-13 19:00:00+00:00,2022-01-14 00:00:00+00:00,-4.609429225768718,-5.359429225768718
2,1155,150,300,RV_HIGH__RANGE_MID,2022-01-13 19:15:00+00:00,2022-01-14 00:15:00+00:00,-5.413152225508441,-6.163152225508441
2,1170,150,300,RV_HIGH__RANGE_MID,2022-01-13 19:30:00+00:00,2022-01-14 00:30:00+00:00,-5.118984696511913,-5.868984696511913
2,1140,150,300,RV_HIGH__RANGE_MID,2022-01-18 19:00:00+00:00,2022-01-19 00:00:00+00:00,8.498282638716715,7.748282638716715
2,1170,150,300,RV_HIGH__RANGE_MID,2022-01-19 19:30:00+00:00,2022-01-20 00:30:00+00:00,-2.238003150493708,-2.988003150493708
2,1185,150,300,RV_HIGH__RANGE_MID,2022-01-21 19:45:00+00:00,2022-01-22 00:45:00+00:00,-30.408955493364644,-31.158955493364644
2,1140,150,300,RV_HIGH__RANGE_MID,2022-01-28 19:00:00+00:00,2022-01-29 00:00:00+00:00,15.106835443038005,14.356835443038005
2,1155,150,300,RV_HIGH__RANGE_MID,2022-01-28 19:15:00+00:00,2022-01-29 00:15:00+00:00,24.448126548286112,23.698126548286112
2,1170,150,300,RV_HIGH__RANGE_MID,2022-01-28 19:30:00+00:00,2022-01-29 00:30:00+00:00,25.293713669029454,24.543713669029454
2,1185,150,300,RV_HIGH__RANGE_MID,2022-02-03 19:45:00+00:00,2022-02-04 00:45:00+00:00,16.245967415561477,15.495967415561477
2,1155,150,300,RV_HIGH__RANGE_MID,2022-02-18 19:15:00+00:00,2022-02-19 00:15:00+00:00,-0.3304443398835804,-1.0804443398835804
2,1170,150,300,RV_HIGH__RANGE_MID,2022-02-18 19:30:00+00:00,2022-02-19 00:30:00+00:00,-2.23255714346897,-2.98255714346897
2,1185,150,300,RV_HIGH__RANGE_MID,2022-02-18 19:45:00+00:00,2022-02-19 00:45:00+00:00,1.8892545510600551,1.1392545510600551
2,1185,150,300,RV_HIGH__RANGE_MID,2022-02-22 19:45:00+00:00,2022-02-23 00:45:00+00:00,4.3339958712886,3.5839958712886
2,1140,150,300,RV_HIGH__RANGE_MID,2022-02-25 19:00:00+00:00,2022-02-26 00:00:00+00:00,17.350877455454025,16.600877455454025
2,1170,150,300,RV_HIGH__RANGE_MID,2022-02-25 19:30:00+00:00,2022-02-26 00:30:00+00:00,14.723070472600112,13.973070472600112
2,1185,150,300,RV_HIGH__RANGE_MID,2022-02-25 19:45:00+00:00,2022-02-26 00:45:00+00:00,27.561415135787154,26.811415135787154
