qualified,reason,symbol,clock,side,partition,reference_start,execution_start,H,L,R,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
False,NO_K1,BTCUSDT,ALT_0330,LONG,external,2020-01-01 03:30:00+00:00,2020-01-01 09:00:00+00:00,7238.46,7174.0,64.46000000000004,,,,,,,,
True,,BTCUSDT,RAW_0530,LONG,external,2020-01-01 05:30:00+00:00,2020-01-01 11:00:00+00:00,7230.0,7174.0,56.0,2020-01-01 11:25:00+00:00,2020-01-01 11:30:00+00:00,True,2020-01-01 11:30:00+00:00,2020-01-01 11:35:00+00:00,H2_ARRIVAL,2020-01-01 15:35:00+00:00,245.0
False,BREAK_BEFORE_K1,BTCUSDT,LONDON,LONG,external,2020-01-01 08:00:00+00:00,2020-01-01 13:30:00+00:00,7234.57,7174.0,60.56999999999971,,,,,,,,
False,OPPOSITE_VISIT_BEFORE_K1,BTCUSDT,RAW_2330,LONG,external,2020-01-01 23:30:00+00:00,2020-01-02 05:00:00+00:00,7209.59,7112.06,97.52999999999975,,,,,,,,
False,BREAK_BEFORE_K1,BTCUSDT,SHORT_2000,SHORT,external,2020-01-01 20:00:00+00:00,2020-01-02 01:30:00+00:00,7242.0,7174.0,68.0,,,,,,,,
False,BREAK_BEFORE_K1,BTCUSDT,ALT_0330,LONG,external,2020-01-02 03:30:00+00:00,2020-01-02 09:00:00+00:00,7159.3,7101.0,58.30000000000018,,,,,,,,
False,BREAK_BEFORE_K1,BTCUSDT,RAW_0530,LONG,external,2020-01-02 05:30:00+00:00,2020-01-02 11:00:00+00:00,7175.0,7101.0,74.0,,,,,,,,
False,OPPOSITE_VISIT_BEFORE_K1,BTCUSDT,LONDON,LONG,external,2020-01-02 08:00:00+00:00,2020-01-02 13:30:00+00:00,7175.0,7106.75,68.25,,,,,,,,
True,,BTCUSDT,RAW_2330,LONG,external,2020-01-02 23:30:00+00:00,2020-01-03 05:00:00+00:00,7300.0,6863.44,436.5600000000004,2020-01-03 08:40:00+00:00,2020-01-03 08:45:00+00:00,True,2020-01-03 08:45:00+00:00,2020-01-03 08:50:00+00:00,H2_ARRIVAL,2020-01-03 09:05:00+00:00,20.0
False,BREAK_BEFORE_K1,BTCUSDT,SHORT_2000,SHORT,external,2020-01-02 20:00:00+00:00,2020-01-03 01:30:00+00:00,6982.83,6906.24,76.59000000000015,,,,,,,,
True,,BTCUSDT,ALT_0330,LONG,external,2020-01-03 03:30:00+00:00,2020-01-03 09:00:00+00:00,7300.0,6935.74,364.2600000000002,2020-01-03 09:05:00+00:00,2020-01-03 09:10:00+00:00,False,,,BREAK_DURING_K1,,
True,,BTCUSDT,RAW_0530,LONG,external,2020-01-03 05:30:00+00:00,2020-01-03 11:00:00+00:00,7368.33,7171.21,197.1199999999999,2020-01-03 13:55:00+00:00,2020-01-03 14:00:00+00:00,True,2020-01-03 14:00:00+00:00,2020-01-03 14:05:00+00:00,H2_ARRIVAL,2020-01-03 16:10:00+00:00,130.0
True,,BTCUSDT,LONDON,LONG,external,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,7368.33,7198.0,170.32999999999993,2020-01-03 13:55:00+00:00,2020-01-03 14:00:00+00:00,True,2020-01-03 14:00:00+00:00,2020-01-03 14:05:00+00:00,H2_ARRIVAL,2020-01-03 16:10:00+00:00,130.0
False,NO_K1,BTCUSDT,RAW_2330,LONG,external,2020-01-05 23:30:00+00:00,2020-01-06 05:00:00+00:00,7580.08,7339.4,240.6800000000003,,,,,,,,
False,BREAK_BEFORE_K1,BTCUSDT,SHORT_2000,SHORT,external,2020-01-05 20:00:00+00:00,2020-01-06 01:30:00+00:00,7441.9,7303.0,138.89999999999964,,,,,,,,
True,,BTCUSDT,ALT_0330,LONG,external,2020-01-06 03:30:00+00:00,2020-01-06 09:00:00+00:00,7550.45,7491.59,58.85999999999967,2020-01-06 10:00:00+00:00,2020-01-06 10:05:00+00:00,True,2020-01-06 10:05:00+00:00,2020-01-06 10:10:00+00:00,H2_ARRIVAL,2020-01-06 10:45:00+00:00,40.0
True,,BTCUSDT,RAW_0530,LONG,external,2020-01-06 05:30:00+00:00,2020-01-06 11:00:00+00:00,7573.0,7491.59,81.40999999999985,2020-01-06 11:15:00+00:00,2020-01-06 11:20:00+00:00,True,2020-01-06 11:20:00+00:00,2020-01-06 11:25:00+00:00,H2_ARRIVAL,2020-01-06 13:50:00+00:00,150.0
True,,BTCUSDT,LONDON,LONG,external,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,7576.0,7505.35,70.64999999999964,2020-01-06 13:50:00+00:00,2020-01-06 13:55:00+00:00,True,2020-01-06 13:55:00+00:00,2020-01-06 14:00:00+00:00,NO_H2_BY_END,,
False,NO_K1,BTCUSDT,RAW_2330,LONG,external,2020-01-06 23:30:00+00:00,2020-01-07 05:00:00+00:00,8014.91,7737.03,277.8800000000001,,,,,,,,
False,NO_K1,BTCUSDT,SHORT_2000,SHORT,external,2020-01-06 20:00:00+00:00,2020-01-07 01:30:00+00:00,8014.91,7533.0,481.90999999999985,,,,,,,,
False,BREAK_BEFORE_K1,BTCUSDT,ALT_0330,LONG,external,2020-01-07 03:30:00+00:00,2020-01-07 09:00:00+00:00,7918.49,7826.18,92.30999999999949,,,,,,,,
False,BREAK_BEFORE_K1,BTCUSDT,RAW_0530,LONG,external,2020-01-07 05:30:00+00:00,2020-01-07 11:00:00+00:00,7909.98,7855.75,54.22999999999956,,,,,,,,
False,BREAK_BEFORE_K1,BTCUSDT,LONDON,LONG,external,2020-01-07 08:00:00+00:00,2020-01-07 13:30:00+00:00,7969.0,7810.0,159.0,,,,,,,,
