clock,side,level,partition,k1,clean,clean_h2_rate,fills,fill_rate,h2,opposite,no_h2,h2_hit_rate,resolved_h2_wr,median_min_to_h2,median_mae_ru,tail_fraction,screen
ALT_0330,LONG,F95,external,125,92,0.782608695652174,41,0.44565217391304346,35,2,4,0.8536585365853658,0.9459459459459459,10.0,0.1571179883945839,0.15100316789862797,
ALT_0330,LONG,F95,development,214,153,0.8300653594771242,75,0.49019607843137253,64,3,8,0.8533333333333334,0.9552238805970149,10.0,0.21572008113591112,0.23022276627363755,
ALT_0330,LONG,F95,reference_validation,105,75,0.8933333333333333,32,0.4266666666666667,30,1,1,0.9375,0.967741935483871,15.0,0.13742643324103065,0.44498883634446984,
ALT_0330,LONG,F95,august,2,1,1.0,0,0.0,0,0,0,,,,,,
ALT_0330,LONG,F95,POOLED_MAJOR,444,320,0.83125,148,0.4625,129,6,13,0.8716216216216216,0.9555555555555556,10.0,0.1799295147538379,0.23368536614978397,SCREEN_PASS
ALT_0330,LONG,F90,external,125,92,0.782608695652174,64,0.6956521739130435,51,7,6,0.796875,0.8793103448275862,15.0,0.1595164180441705,-0.01714789829870414,
ALT_0330,LONG,F90,development,214,153,0.8300653594771242,104,0.6797385620915033,87,8,9,0.8365384615384616,0.9157894736842105,20.0,0.20321007251211493,0.03220404105993718,
ALT_0330,LONG,F90,reference_validation,105,75,0.8933333333333333,46,0.6133333333333333,43,1,2,0.9347826086956522,0.9772727272727273,15.0,0.11720110087045643,0.4089590203536271,
ALT_0330,LONG,F90,august,2,1,1.0,1,1.0,1,0,0,1.0,1.0,30.0,0.22048304691128062,0.6795169530887194,
ALT_0330,LONG,F90,POOLED_MAJOR,444,320,0.83125,214,0.66875,181,16,17,0.8457943925233645,0.9187817258883249,15.0,0.17825519032935788,0.08333023903457977,SCREEN_PASS
ALT_0330,LONG,F85,external,125,92,0.782608695652174,67,0.7282608695652174,51,10,6,0.7611940298507462,0.8360655737704918,25.0,0.21021505376344285,-0.16700114592358853,
ALT_0330,LONG,F85,development,214,153,0.8300653594771242,101,0.6601307189542484,83,8,10,0.8217821782178217,0.9120879120879121,30.0,0.21214855224506535,-0.045094936708855775,
ALT_0330,LONG,F85,reference_validation,105,75,0.8933333333333333,41,0.5466666666666666,37,1,3,0.9024390243902439,0.9736842105263158,25.0,0.16237699540783512,0.20287589871834405,
ALT_0330,LONG,F85,august,2,1,1.0,1,1.0,1,0,0,1.0,1.0,30.0,0.17048304691128058,0.6795169530887194,
ALT_0330,LONG,F85,POOLED_MAJOR,444,320,0.83125,209,0.653125,171,19,19,0.8181818181818182,0.9,25.0,0.19732423924448628,-0.04596556414518802,SCREEN_PASS
ALT_0330,LONG,F80,external,125,92,0.782608695652174,59,0.6413043478260869,42,11,6,0.711864406779661,0.7924528301886793,45.0,0.27000000000000024,-0.17775710645950826,
ALT_0330,LONG,F80,development,214,153,0.8300653594771242,94,0.6143790849673203,74,10,10,0.7872340425531915,0.8809523809523809,50.0,0.24534437098620115,-0.12762042618561753,
ALT_0330,LONG,F80,reference_validation,105,75,0.8933333333333333,35,0.4666666666666667,31,1,3,0.8857142857142857,0.96875,30.0,0.1910864506890989,0.15124278092910962,
ALT_0330,LONG,F80,august,2,1,1.0,1,1.0,1,0,0,1.0,1.0,30.0,0.12048304691128064,0.6795169530887194,
ALT_0330,LONG,F80,POOLED_MAJOR,444,320,0.83125,188,0.5875,147,22,19,0.7819148936170213,0.8698224852071006,45.0,0.24236951936395218,-0.15915732209456504,SCREEN_PASS
ALT_0330,LONG,F75,external,125,92,0.782608695652174,52,0.5652173913043478,35,11,6,0.6730769230769231,0.7608695652173914,75.0,0.2811995075450744,-0.20821778987859849,
ALT_0330,LONG,F75,development,214,153,0.8300653594771242,88,0.5751633986928104,67,11,10,0.7613636363636364,0.8589743589743589,50.0,0.224846198228494,-0.16192420734242155,
ALT_0330,LONG,F75,reference_validation,105,75,0.8933333333333333,31,0.41333333333333333,26,2,3,0.8387096774193549,0.9285714285714286,37.5,0.20909568874868234,0.09712230215827108,
ALT_0330,LONG,F75,august,2,1,1.0,1,1.0,1,0,0,1.0,1.0,20.0,0.0704830469112806,0.6795169530887194,
ALT_0330,LONG,F75,POOLED_MAJOR,444,320,0.83125,171,0.534375,128,24,19,0.7485380116959064,0.8421052631578947,50.0,0.23453081053438962,-0.16871165644171304,
RAW_0530,LONG,F95,external,124,84,0.8095238095238095,41,0.4880952380952381,34,3,4,0.8292682926829268,0.918918918918919,12.5,0.1372360844529774,0.30301003344481575,
RAW_0530,LONG,F95,development,199,142,0.823943661971831,59,0.4154929577464789,53,3,3,0.8983050847457628,0.9464285714285714,10.0,0.20809479117785135,0.07170427251631285,
RAW_0530,LONG,F95,reference_validation,102,68,0.7941176470588235,26,0.38235294117647056,24,1,1,0.9230769230769231,0.96,12.5,0.17636192316805915,0.4643491983386499,
RAW_0530,LONG,F95,august,4,0,,0,,0,0,0,,,,,,
RAW_0530,LONG,F95,POOLED_MAJOR,425,294,0.8129251700680272,126,0.42857142857142855,111,7,8,0.8809523809523809,0.940677966101695,10.0,0.16572410101224627,0.3055506598759383,
RAW_0530,LONG,F90,external,124,84,0.8095238095238095,53,0.6309523809523809,42,4,7,0.7924528301886793,0.9130434782608695,20.0,0.13400365630713007,0.2371063046832344,
RAW_0530,LONG,F90,development,199,142,0.823943661971831,83,0.5845070422535211,72,6,5,0.8674698795180723,0.9230769230769231,20.0,0.22755820249052228,-0.03977896998510265,
