clock_min,clock,partition,windows,k1,executed,wr,pf,exp,net,tp_rate,time_rate
0,00:00,external,523,82,24,0.6666666666666666,1.7549942582707017,1.012871307548869,24.30891138117285,0.5833333333333334,0.2916666666666667
0,00:00,development,782,166,51,0.6470588235294118,0.8245845318924937,-0.32374414262328455,-16.510951273787512,0.45098039215686275,0.43137254901960786
0,00:00,reference_validation,411,86,22,0.8181818181818182,4.0082020960579,1.5999052053812683,35.197914518387904,0.6363636363636364,0.2727272727272727
0,00:00,august,14,2,1,0.0,0.0,-1.9578929758892079,-1.9578929758892079,0.0,1.0
30,00:30,external,523,94,40,0.6,0.8388729254776214,-0.38921937091756753,-15.568774836702701,0.525,0.25
30,00:30,development,782,176,58,0.6206896551724138,0.7760998165508289,-0.4128690013493064,-23.94640207825977,0.5172413793103449,0.3620689655172414
30,00:30,reference_validation,411,101,26,0.6923076923076923,1.7901389958745548,0.7776712759179057,20.21945317386555,0.6923076923076923,0.23076923076923078
30,00:30,august,14,3,2,0.5,0.20696441981682523,-1.0748409004644073,-2.1496818009288146,0.0,1.0
60,01:00,external,523,90,26,0.6153846153846154,1.194636992091245,0.34042723854424495,8.85110820215037,0.6153846153846154,0.19230769230769232
60,01:00,development,782,183,67,0.6119402985074627,0.8080694829378507,-0.345264828590766,-23.13274351558132,0.582089552238806,0.2835820895522388
60,01:00,reference_validation,411,93,23,0.8260869565217391,8.103616290036207,1.743498191794715,40.100458411278446,0.8260869565217391,0.13043478260869565
60,01:00,august,14,3,2,0.5,0.4658888494465867,-1.12948073207732,-2.25896146415464,0.5,0.5
90,01:30,external,523,105,37,0.5675675675675675,0.4978838199797089,-1.6581836640590135,-61.3527955701835,0.5675675675675675,0.24324324324324326
90,01:30,development,782,173,63,0.5873015873015873,0.9613081773927176,-0.06281810277313808,-3.957540474707699,0.5238095238095238,0.31746031746031744
90,01:30,reference_validation,411,95,23,0.6956521739130435,1.5686171845890597,0.5472945300410081,12.587774190943188,0.6521739130434783,0.2608695652173913
90,01:30,august,14,2,1,0.0,0.0,-5.659195750820734,-5.659195750820734,0.0,0.0
120,02:00,external,523,111,42,0.5714285714285714,0.700867035818222,-0.9331309778324691,-39.1915010689637,0.5,0.2619047619047619
120,02:00,development,782,209,79,0.6329113924050633,1.0293910446490826,0.041230004642751596,3.257170366777376,0.569620253164557,0.20253164556962025
120,02:00,reference_validation,411,96,28,0.7857142857142857,1.6647903909641935,0.661426052585595,18.519929472396658,0.7857142857142857,0.17857142857142858
