symbol,partition,complete_sessions,k1_opp0_signals,k1_rate,target_break,opposite_break,no_break,target_break_rate,opposite_break_rate,no_break_rate,resolved_same_side_wr,median_minutes_to_target,k2_rate,k3_rate,m1_gate
BTCUSDT,external,523,101,0.1931166347992352,90,2,9,0.8910891089108911,0.019801980198019802,0.0891089108910891,0.9782608695652174,20.0,0.27722772277227725,0.0891089108910891,
BTCUSDT,development,782,164,0.20971867007672634,119,30,15,0.725609756097561,0.18292682926829268,0.09146341463414634,0.7986577181208053,20.0,0.27439024390243905,0.08536585365853659,
BTCUSDT,reference_validation,411,82,0.19951338199513383,70,9,3,0.8536585365853658,0.10975609756097561,0.036585365853658534,0.8860759493670886,15.0,0.2073170731707317,0.024390243902439025,
BTCUSDT,august,17,5,0.29411764705882354,5,0,0,1.0,0.0,0.0,1.0,65.0,0.4,0.2,
BTCUSDT,POOLED_MAJOR,1716,347,0.20221445221445222,279,41,27,0.8040345821325648,0.11815561959654179,0.07780979827089338,0.871875,15.0,0.25936599423631124,0.07204610951008646,
ETHUSDT,external,523,120,0.2294455066921606,103,3,14,0.8583333333333333,0.025,0.11666666666666667,0.9716981132075472,20.0,0.24166666666666667,0.06666666666666667,
ETHUSDT,development,782,173,0.22122762148337596,137,21,15,0.791907514450867,0.12138728323699421,0.08670520231213873,0.8670886075949367,15.0,0.2947976878612717,0.057803468208092484,
ETHUSDT,reference_validation,411,85,0.20681265206812652,69,12,4,0.8117647058823529,0.1411764705882353,0.047058823529411764,0.8518518518518519,10.0,0.2,0.08235294117647059,
ETHUSDT,august,17,4,0.23529411764705882,3,1,0,0.75,0.25,0.0,0.75,10.0,0.25,0.0,
ETHUSDT,POOLED_MAJOR,1716,378,0.2202797202797203,309,36,33,0.8174603174603174,0.09523809523809523,0.0873015873015873,0.8956521739130435,15.0,0.2566137566137566,0.06613756613756613,PASS
