partition,checkpoint_min,state,eligible_n,eventual_breakout_n,eventual_breakout_rate,nonbreakout_n,stall_candidate
external,15,H2_DONE_NO_BO,7,7,1.0,0,
external,15,NO_H2_NO_BO,19,12,0.631578947368421,7,False
external,30,H2_DONE_NO_BO,7,7,1.0,0,
external,30,NO_H2_NO_BO,13,7,0.5384615384615384,6,False
external,45,H2_DONE_NO_BO,5,5,1.0,0,
external,45,NO_H2_NO_BO,11,5,0.45454545454545453,6,False
external,60,H2_DONE_NO_BO,5,5,1.0,0,
external,60,NO_H2_NO_BO,8,2,0.25,6,False
development,15,H2_DONE_NO_BO,11,6,0.5454545454545454,5,
development,15,NO_H2_NO_BO,14,10,0.7142857142857143,4,False
development,30,H2_DONE_NO_BO,9,4,0.4444444444444444,5,
development,30,NO_H2_NO_BO,10,7,0.7,3,False
development,45,H2_DONE_NO_BO,10,5,0.5,5,
development,45,NO_H2_NO_BO,8,5,0.625,3,False
development,60,H2_DONE_NO_BO,9,4,0.4444444444444444,5,
development,60,NO_H2_NO_BO,6,4,0.6666666666666666,2,False
reference_validation,15,H2_DONE_NO_BO,2,2,1.0,0,
reference_validation,15,NO_H2_NO_BO,5,3,0.6,2,False
reference_validation,30,H2_DONE_NO_BO,2,2,1.0,0,
reference_validation,30,NO_H2_NO_BO,3,2,0.6666666666666666,1,False
reference_validation,45,H2_DONE_NO_BO,2,2,1.0,0,
reference_validation,45,NO_H2_NO_BO,1,0,0.0,1,False
reference_validation,60,H2_DONE_NO_BO,1,1,1.0,0,
reference_validation,60,NO_H2_NO_BO,1,0,0.0,1,False
august,15,H2_DONE_NO_BO,0,0,,0,
august,15,NO_H2_NO_BO,0,0,,0,False
august,30,H2_DONE_NO_BO,0,0,,0,
august,30,NO_H2_NO_BO,0,0,,0,False
august,45,H2_DONE_NO_BO,0,0,,0,
august,45,NO_H2_NO_BO,0,0,,0,False
august,60,H2_DONE_NO_BO,0,0,,0,
august,60,NO_H2_NO_BO,0,0,,0,False
POOLED_MAJOR,15,H2_DONE_NO_BO,20,15,0.75,5,
POOLED_MAJOR,15,NO_H2_NO_BO,38,25,0.6578947368421053,13,False
POOLED_MAJOR,30,H2_DONE_NO_BO,18,13,0.7222222222222222,5,
POOLED_MAJOR,30,NO_H2_NO_BO,26,16,0.6153846153846154,10,False
POOLED_MAJOR,45,H2_DONE_NO_BO,17,12,0.7058823529411765,5,
POOLED_MAJOR,45,NO_H2_NO_BO,20,10,0.5,10,False
POOLED_MAJOR,60,H2_DONE_NO_BO,15,10,0.6666666666666666,5,
POOLED_MAJOR,60,NO_H2_NO_BO,15,6,0.4,9,False
