cohort_id,partition,date_utc,entry_bar_start,entry_px,entry_fraction,H,L,R,h2_bar_start,terminal,terminal_bar_start,terminal_completion,outcome_class,eventual_breakout,entry_to_terminal_min,entry_to_h2_min,entry_to_bo_min,min_pre_terminal_close_f,F90_breach,F90_breach_bar_start,F90_breach_min,F90_reclaim_F90_after,F90_reclaim_F90_bar_start,F90_h2_before_breach,F90_h2_same_breach_bar,F85_breach,F85_breach_bar_start,F85_breach_min,F85_reclaim_F90_after,F85_reclaim_F90_bar_start,F85_h2_before_breach,F85_h2_same_breach_bar,F80_breach,F80_breach_bar_start,F80_breach_min,F80_reclaim_F90_after,F80_reclaim_F90_bar_start,F80_h2_before_breach,F80_h2_same_breach_bar,F75_breach,F75_breach_bar_start,F75_breach_min,F75_reclaim_F90_after,F75_reclaim_F90_bar_start,F75_h2_before_breach,F75_h2_same_breach_bar,cp15_eligible,cp15_state,cp30_eligible,cp30_state,cp45_eligible,cp45_state,cp60_eligible,cp60_state
development|2022-01-25|2022-01-25 17:20:00+00:00,development,2022-01-25,2022-01-25 17:20:00+00:00,2452.46,0.9074884921971504,2460.7,2371.63,89.06999999999971,2022-01-25 17:20:00+00:00,STRICT_BREAKOUT,2022-01-25 17:20:00+00:00,2022-01-25 17:25:00+00:00,BREAKOUT_WINNER,True,5.0,5.0,5.0,1.0763444481868216,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
development|2022-02-09|2022-02-09 15:10:00+00:00,development,2022-02-09,2022-02-09 15:10:00+00:00,3195.52,0.910142474255888,3208.26,3066.48,141.7800000000002,2022-02-09 16:45:00+00:00,STRICT_BREAKOUT,2022-02-09 16:45:00+00:00,2022-02-09 16:50:00+00:00,BREAKOUT_WINNER,True,100.0,100.0,100.0,0.6888136549583842,True,2022-02-09 15:10:00+00:00,5.0,True,2022-02-09 16:45:00+00:00,False,False,True,2022-02-09 15:10:00+00:00,5.0,True,2022-02-09 16:45:00+00:00,False,False,True,2022-02-09 15:10:00+00:00,5.0,True,2022-02-09 16:45:00+00:00,False,False,True,2022-02-09 15:15:00+00:00,10.0,True,2022-02-09 16:45:00+00:00,False,False,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO
development|2022-02-14|2022-02-14 13:55:00+00:00,development,2022-02-14,2022-02-14 13:55:00+00:00,2937.43,0.9399552208426613,2943.33,2845.07,98.25999999999976,2022-02-14 14:05:00+00:00,STRICT_BREAKOUT,2022-02-14 14:10:00+00:00,2022-02-14 14:15:00+00:00,BREAKOUT_WINNER,True,20.0,15.0,20.0,0.9220435579075934,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,True,H2_DONE_NO_BO,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
development|2022-03-21|2022-03-21 15:15:00+00:00,development,2022-03-21,2022-03-21 15:15:00+00:00,2932.34,0.9059541984732846,2938.5,2873.0,65.5,2022-03-21 15:15:00+00:00,STRICT_BREAKOUT,2022-03-21 15:20:00+00:00,2022-03-21 15:25:00+00:00,BREAKOUT_WINNER,True,10.0,5.0,10.0,0.9987786259541996,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
development|2022-04-18|2022-04-18 14:25:00+00:00,development,2022-04-18,2022-04-18 14:25:00+00:00,2941.46,0.9076666666666672,2947.0,2887.0,60.0,2022-04-18 17:10:00+00:00,STRICT_BREAKOUT,2022-04-18 17:10:00+00:00,2022-04-18 17:15:00+00:00,BREAKOUT_WINNER,True,170.0,170.0,170.0,0.1669999999999997,True,2022-04-18 14:25:00+00:00,5.0,True,2022-04-18 17:10:00+00:00,False,False,True,2022-04-18 14:25:00+00:00,5.0,True,2022-04-18 17:10:00+00:00,False,False,True,2022-04-18 14:25:00+00:00,5.0,True,2022-04-18 17:10:00+00:00,False,False,True,2022-04-18 14:35:00+00:00,15.0,True,2022-04-18 17:10:00+00:00,False,False,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO
development|2022-05-19|2022-05-19 14:20:00+00:00,development,2022-05-19,2022-05-19 14:20:00+00:00,1978.79,0.9021739130434776,1985.99,1912.39,73.59999999999991,2022-05-19 14:20:00+00:00,STRICT_BREAKOUT,2022-05-19 15:10:00+00:00,2022-05-19 15:15:00+00:00,BREAKOUT_WINNER,True,55.0,5.0,55.0,0.7551630434782608,True,2022-05-19 14:25:00+00:00,10.0,True,2022-05-19 14:30:00+00:00,True,False,True,2022-05-19 14:25:00+00:00,10.0,True,2022-05-19 14:30:00+00:00,True,False,True,2022-05-19 14:45:00+00:00,30.0,True,2022-05-19 14:55:00+00:00,True,False,False,,,False,,False,False,True,H2_DONE_NO_BO,True,H2_DONE_NO_BO,True,H2_DONE_NO_BO,False,NOT_ELIGIBLE
development|2022-06-01|2022-06-01 14:05:00+00:00,development,2022-06-01,2022-06-01 14:05:00+00:00,1965.12,0.9375284997720016,1967.86,1924.0,43.8599999999999,,OPPOSITE_BREAK,2022-06-01 14:25:00+00:00,2022-06-01 14:30:00+00:00,NON_BREAKOUT_OPPOSITE,False,25.0,,,-0.041039671682625595,True,2022-06-01 14:05:00+00:00,5.0,False,,False,False,True,2022-06-01 14:05:00+00:00,5.0,False,,False,False,True,2022-06-01 14:05:00+00:00,5.0,False,,False,False,True,2022-06-01 14:05:00+00:00,5.0,False,,False,False,True,NO_H2_NO_BO,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
development|2022-06-28|2022-06-28 13:45:00+00:00,development,2022-06-28,2022-06-28 13:45:00+00:00,1232.44,0.9491525423728832,1234.0,1203.32,30.680000000000064,,OPPOSITE_BREAK,2022-06-28 14:30:00+00:00,2022-06-28 14:35:00+00:00,NON_BREAKOUT_OPPOSITE,False,50.0,,,-0.07985658409387354,True,2022-06-28 13:45:00+00:00,5.0,True,2022-06-28 13:50:00+00:00,False,False,True,2022-06-28 13:45:00+00:00,5.0,True,2022-06-28 13:50:00+00:00,False,False,True,2022-06-28 13:55:00+00:00,15.0,False,,False,False,True,2022-06-28 14:00:00+00:00,20.0,False,,False,False,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO,False,NOT_ELIGIBLE
development|2022-07-28|2022-07-28 15:15:00+00:00,development,2022-07-28,2022-07-28 15:15:00+00:00,1657.31,0.9735937499999991,1659.0,1595.0,64.0,2022-07-28 15:15:00+00:00,STRICT_BREAKOUT,2022-07-28 15:15:00+00:00,2022-07-28 15:20:00+00:00,BREAKOUT_WINNER,True,5.0,5.0,5.0,1.0409374999999983,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
development|2022-08-12|2022-08-12 15:55:00+00:00,development,2022-08-12,2022-08-12 15:55:00+00:00,1898.45,0.9084686094269498,1903.13,1852.0,51.13000000000011,2022-08-12 16:00:00+00:00,STRICT_BREAKOUT,2022-08-12 16:00:00+00:00,2022-08-12 16:05:00+00:00,BREAKOUT_WINNER,True,10.0,10.0,10.0,0.8722863289653787,True,2022-08-12 15:55:00+00:00,5.0,True,2022-08-12 16:00:00+00:00,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
development|2022-08-22|2022-08-22 15:25:00+00:00,development,2022-08-22,2022-08-22 15:25:00+00:00,1574.84,0.9007692307692292,1580.0,1528.0,52.0,2022-08-22 15:40:00+00:00,STRICT_BREAKOUT,2022-08-22 15:40:00+00:00,2022-08-22 15:45:00+00:00,BREAKOUT_WINNER,True,20.0,20.0,20.0,0.7769230769230787,True,2022-08-22 15:25:00+00:00,5.0,True,2022-08-22 15:40:00+00:00,False,False,True,2022-08-22 15:25:00+00:00,5.0,True,2022-08-22 15:40:00+00:00,False,False,True,2022-08-22 15:25:00+00:00,5.0,True,2022-08-22 15:40:00+00:00,False,False,False,,,False,,False,False,True,NO_H2_NO_BO,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
development|2022-08-24|2022-08-24 15:15:00+00:00,development,2022-08-24,2022-08-24 15:15:00+00:00,1657.19,0.912745936698034,1660.25,1625.18,35.069999999999936,2022-08-24 15:15:00+00:00,STRICT_BREAKOUT,2022-08-24 15:20:00+00:00,2022-08-24 15:25:00+00:00,BREAKOUT_WINNER,True,10.0,5.0,10.0,0.976047904191619,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
development|2022-09-02|2022-09-02 15:05:00+00:00,development,2022-09-02,2022-09-02 15:05:00+00:00,1642.52,0.964077516937136,1644.8,1581.33,63.47000000000003,,OPPOSITE_BREAK,2022-09-02 18:10:00+00:00,2022-09-02 18:15:00+00:00,NON_BREAKOUT_OPPOSITE,False,190.0,,,-0.10855522293996958,True,2022-09-02 15:05:00+00:00,5.0,True,2022-09-02 15:10:00+00:00,False,False,True,2022-09-02 15:20:00+00:00,20.0,False,,False,False,True,2022-09-02 15:30:00+00:00,30.0,False,,False,False,True,2022-09-02 16:15:00+00:00,75.0,False,,False,False,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO
