partition,boundary,checkpoint_min,state,n,eventual_bo_n,eventual_bo_rate,deadline_candidate,winner_protection_rate
external,F80,15,RECLAIMED_F90,5,5,1.0,False,
external,F80,15,NO_RECLAIM_F90,8,2,0.25,False,0.4583333333333333
external,F80,30,RECLAIMED_F90,2,2,1.0,False,
external,F80,30,NO_RECLAIM_F90,7,1,0.14285714285714285,False,0.625
external,F80,45,RECLAIMED_F90,3,3,1.0,False,
external,F80,45,NO_RECLAIM_F90,5,0,0.0,False,0.7916666666666666
external,F80,60,RECLAIMED_F90,3,3,1.0,False,
external,F80,60,NO_RECLAIM_F90,5,0,0.0,False,0.7916666666666666
external,F75,15,RECLAIMED_F90,1,1,1.0,False,
external,F75,15,NO_RECLAIM_F90,8,3,0.375,False,0.17647058823529413
external,F75,30,RECLAIMED_F90,1,1,1.0,False,
external,F75,30,NO_RECLAIM_F90,6,1,0.16666666666666666,False,0.47058823529411764
external,F75,45,RECLAIMED_F90,2,2,1.0,False,
external,F75,45,NO_RECLAIM_F90,5,0,0.0,False,0.6470588235294118
external,F75,60,RECLAIMED_F90,1,1,1.0,False,
external,F75,60,NO_RECLAIM_F90,5,0,0.0,False,0.6470588235294118
development,F80,15,RECLAIMED_F90,2,2,1.0,False,
development,F80,15,NO_RECLAIM_F90,17,9,0.5294117647058824,False,0.4583333333333333
development,F80,30,RECLAIMED_F90,2,2,1.0,False,
development,F80,30,NO_RECLAIM_F90,13,6,0.46153846153846156,False,0.625
development,F80,45,RECLAIMED_F90,4,4,1.0,False,
development,F80,45,NO_RECLAIM_F90,10,4,0.4,False,0.7916666666666666
development,F80,60,RECLAIMED_F90,4,4,1.0,False,
development,F80,60,NO_RECLAIM_F90,10,4,0.4,False,0.7916666666666666
development,F75,15,RECLAIMED_F90,0,0,,False,
development,F75,15,NO_RECLAIM_F90,17,9,0.5294117647058824,False,0.17647058823529413
development,F75,30,RECLAIMED_F90,1,1,1.0,False,
development,F75,30,NO_RECLAIM_F90,13,7,0.5384615384615384,False,0.47058823529411764
development,F75,45,RECLAIMED_F90,3,3,1.0,False,
development,F75,45,NO_RECLAIM_F90,11,5,0.45454545454545453,False,0.6470588235294118
development,F75,60,RECLAIMED_F90,3,3,1.0,False,
development,F75,60,NO_RECLAIM_F90,11,5,0.45454545454545453,False,0.6470588235294118
reference_validation,F80,15,RECLAIMED_F90,0,0,,False,
reference_validation,F80,15,NO_RECLAIM_F90,4,2,0.5,False,0.4583333333333333
reference_validation,F80,30,RECLAIMED_F90,0,0,,False,
reference_validation,F80,30,NO_RECLAIM_F90,3,2,0.6666666666666666,False,0.625
reference_validation,F80,45,RECLAIMED_F90,0,0,,False,
reference_validation,F80,45,NO_RECLAIM_F90,2,1,0.5,False,0.7916666666666666
reference_validation,F80,60,RECLAIMED_F90,0,0,,False,
reference_validation,F80,60,NO_RECLAIM_F90,2,1,0.5,False,0.7916666666666666
reference_validation,F75,15,RECLAIMED_F90,0,0,,False,
reference_validation,F75,15,NO_RECLAIM_F90,4,2,0.5,False,0.17647058823529413
reference_validation,F75,30,RECLAIMED_F90,0,0,,False,
reference_validation,F75,30,NO_RECLAIM_F90,2,1,0.5,False,0.47058823529411764
reference_validation,F75,45,RECLAIMED_F90,0,0,,False,
reference_validation,F75,45,NO_RECLAIM_F90,2,1,0.5,False,0.6470588235294118
reference_validation,F75,60,RECLAIMED_F90,0,0,,False,
reference_validation,F75,60,NO_RECLAIM_F90,2,1,0.5,False,0.6470588235294118
POOLED_MAJOR,F80,15,RECLAIMED_F90,7,7,1.0,False,
POOLED_MAJOR,F80,15,NO_RECLAIM_F90,29,13,0.4482758620689655,False,0.4583333333333333
POOLED_MAJOR,F80,30,RECLAIMED_F90,4,4,1.0,False,
POOLED_MAJOR,F80,30,NO_RECLAIM_F90,23,9,0.391304347826087,False,0.625
POOLED_MAJOR,F80,45,RECLAIMED_F90,7,7,1.0,False,
POOLED_MAJOR,F80,45,NO_RECLAIM_F90,17,5,0.29411764705882354,False,0.7916666666666666
POOLED_MAJOR,F80,60,RECLAIMED_F90,7,7,1.0,False,
POOLED_MAJOR,F80,60,NO_RECLAIM_F90,17,5,0.29411764705882354,False,0.7916666666666666
POOLED_MAJOR,F75,15,RECLAIMED_F90,1,1,1.0,False,
POOLED_MAJOR,F75,15,NO_RECLAIM_F90,29,14,0.4827586206896552,False,0.17647058823529413
POOLED_MAJOR,F75,30,RECLAIMED_F90,2,2,1.0,False,
POOLED_MAJOR,F75,30,NO_RECLAIM_F90,21,9,0.42857142857142855,False,0.47058823529411764
POOLED_MAJOR,F75,45,RECLAIMED_F90,5,5,1.0,False,
POOLED_MAJOR,F75,45,NO_RECLAIM_F90,18,6,0.3333333333333333,False,0.6470588235294118
POOLED_MAJOR,F75,60,RECLAIMED_F90,4,4,1.0,False,
POOLED_MAJOR,F75,60,NO_RECLAIM_F90,18,6,0.3333333333333333,False,0.6470588235294118
