cohort_id,partition,date_utc,variant,target_name,target_ext,managed,entry_bar_start,entry_px,H,L,R,h2_bar_start,exit_reason,exit_bar_start,exit_ts,exit_px,f75_breach,f75_signal_bar,f75_state,conditional_exit,pnl_0,pnl_5,baseline_pnl_0,baseline_pnl_5,delta_vs_base_0,delta_vs_base_5
development|2022-01-25|2022-01-25 17:20:00+00:00,development,2022-01-25,BASE_E05,E05,0.05,False,2022-01-25 17:20:00+00:00,2452.46,2460.7,2371.63,89.06999999999971,2022-01-25 17:20:00+00:00,TARGET,2022-01-25 17:20:00+00:00,2022-01-25 17:25:00+00:00,2465.1535,False,,NO_F75_BREACH,False,2.1879117294471677,1.936743357768345,2.1879117294471677,1.936743357768345,0.0,0.0
development|2022-01-25|2022-01-25 17:20:00+00:00,development,2022-01-25,BASE_E10,E10,0.1,False,2022-01-25 17:20:00+00:00,2452.46,2460.7,2371.63,89.06999999999971,2022-01-25 17:20:00+00:00,TARGET,2022-01-25 17:20:00+00:00,2022-01-25 17:25:00+00:00,2469.607,False,,NO_F75_BREACH,False,3.095877608605258,2.8442554808648217,3.095877608605258,2.8442554808648217,0.0,0.0
development|2022-01-25|2022-01-25 17:20:00+00:00,development,2022-01-25,BASE_E15,E15,0.15,False,2022-01-25 17:20:00+00:00,2452.46,2460.7,2371.63,89.06999999999971,2022-01-25 17:20:00+00:00,TARGET,2022-01-25 17:20:00+00:00,2022-01-25 17:25:00+00:00,2474.0604999999996,False,,NO_F75_BREACH,False,4.003843487763237,3.7517676039612984,4.003843487763237,3.7517676039612984,0.0,0.0
development|2022-01-25|2022-01-25 17:20:00+00:00,development,2022-01-25,M14_E05,E05,0.05,True,2022-01-25 17:20:00+00:00,2452.46,2460.7,2371.63,89.06999999999971,2022-01-25 17:20:00+00:00,TARGET,2022-01-25 17:20:00+00:00,2022-01-25 17:25:00+00:00,2465.1535,False,,NO_F75_BREACH,False,2.1879117294471677,1.936743357768345,2.1879117294471677,1.936743357768345,0.0,0.0
development|2022-01-25|2022-01-25 17:20:00+00:00,development,2022-01-25,M14_E10,E10,0.1,True,2022-01-25 17:20:00+00:00,2452.46,2460.7,2371.63,89.06999999999971,2022-01-25 17:20:00+00:00,TARGET,2022-01-25 17:20:00+00:00,2022-01-25 17:25:00+00:00,2469.607,False,,NO_F75_BREACH,False,3.095877608605258,2.8442554808648217,3.095877608605258,2.8442554808648217,0.0,0.0
development|2022-01-25|2022-01-25 17:20:00+00:00,development,2022-01-25,M14_E15,E15,0.15,True,2022-01-25 17:20:00+00:00,2452.46,2460.7,2371.63,89.06999999999971,2022-01-25 17:20:00+00:00,TARGET,2022-01-25 17:20:00+00:00,2022-01-25 17:25:00+00:00,2474.0604999999996,False,,NO_F75_BREACH,False,4.003843487763237,3.7517676039612984,4.003843487763237,3.7517676039612984,0.0,0.0
development|2022-02-09|2022-02-09 15:10:00+00:00,development,2022-02-09,BASE_E05,E05,0.05,False,2022-02-09 15:10:00+00:00,3195.52,3208.26,3066.48,141.7800000000002,2022-02-09 16:45:00+00:00,TARGET,2022-02-09 17:15:00+00:00,2022-02-09 17:20:00+00:00,3215.349,True,2022-02-09 15:15:00+00:00,PRE_H2,False,2.7026249248948813,2.4511993252323676,2.7026249248948813,2.4511993252323676,0.0,0.0
development|2022-02-09|2022-02-09 15:10:00+00:00,development,2022-02-09,BASE_E10,E10,0.1,False,2022-02-09 15:10:00+00:00,3195.52,3208.26,3066.48,141.7800000000002,2022-02-09 16:45:00+00:00,TARGET,2022-02-09 19:00:00+00:00,2022-02-09 19:05:00+00:00,3222.438,True,2022-02-09 15:15:00+00:00,PRE_H2,False,3.811834067694764,3.559854140624497,3.811834067694764,3.559854140624497,0.0,0.0
development|2022-02-09|2022-02-09 15:10:00+00:00,development,2022-02-09,BASE_E15,E15,0.15,False,2022-02-09 15:10:00+00:00,3195.52,3208.26,3066.48,141.7800000000002,2022-02-09 16:45:00+00:00,TARGET,2022-02-09 19:05:00+00:00,2022-02-09 19:10:00+00:00,3229.527,True,2022-02-09 15:15:00+00:00,PRE_H2,False,4.921043210494647,4.668508956016737,4.921043210494647,4.668508956016737,0.0,0.0
development|2022-02-09|2022-02-09 15:10:00+00:00,development,2022-02-09,M14_E05,E05,0.05,True,2022-02-09 15:10:00+00:00,3195.52,3208.26,3066.48,141.7800000000002,2022-02-09 16:45:00+00:00,TARGET,2022-02-09 17:15:00+00:00,2022-02-09 17:20:00+00:00,3215.349,True,2022-02-09 15:15:00+00:00,PRE_H2,False,2.7026249248948813,2.4511993252323676,2.7026249248948813,2.4511993252323676,0.0,0.0
