partition,entry_name,target_name,risk_name,n_0,wins_0,wr_0,pf_0,expectancy_0,net_0,max_ls_0,median_win_0,median_loss_0,n_5,wins_5,wr_5,pf_5,expectancy_5,net_5,max_ls_5,median_win_5,median_loss_5,tp,stop,time_exit,median_hold
external,F95,E10,D30,36,29,0.8055555555555556,1.408387545194315,0.6251849850342054,22.506659461231393,2,2.3945105574294083,-5.247245331854378,36,29,0.8055555555555556,1.1967159559166665,0.31997488949228214,11.519096021722158,2,2.1432389379604904,-5.742150633871502,28,6,2,52.5
development,F95,E10,D30,43,28,0.6511627906976745,0.5797792028721546,-0.688542037709745,-29.607307621519034,3,1.2110956532652821,-3.842011398551714,43,27,0.627906976744186,0.4318025412650728,-1.0305199761149897,-44.31235897294456,3,0.8999294729818533,-4.092207720261326,27,12,4,20.0
reference_validation,F95,E10,D30,19,9,0.47368421052631576,0.2564755418905488,-2.175551098873609,-41.33547087859857,2,1.5589844284294556,-4.444239240421771,19,8,0.42105263157894735,0.19877587445751413,-2.5546949629039797,-48.539204295175615,3,1.4798065802230758,-4.742969190906821,9,9,1,25.0
august,F95,E10,D30,1,0,0.0,0.0,-3.125974644108897,-3.125974644108897,1,,-3.125974644108897,1,0,0.0,0.0,-3.6230001567084553,-3.6230001567084553,1,,-3.6230001567084553,0,1,0,45.0
POOLED_MAJOR,F95,E10,D30,98,66,0.673469387755102,0.7326357594648941,-0.49424611264169616,-48.436119038886225,3,1.816125650736034,-4.1927449460596335,98,64,0.6530612244897959,0.5874085396411377,-0.8299231351673266,-81.33246724639801,3,1.6553271674107477,-4.51736291955192,64,27,7,30.0
external,F95,E10,D40,36,30,0.8333333333333334,1.1760139331770902,0.32677916575152666,11.764049967054959,2,2.3434171520711593,-6.547286161913817,36,30,0.8333333333333334,1.014874439317135,0.028827489311417393,1.0377896152110262,2,2.0921710665379294,-7.040892072796391,29,4,3,60.0
development,F95,E10,D40,43,30,0.6976744186046512,0.6013782155187377,-0.6695821075610358,-28.79203062512454,2,1.2110956532652821,-5.134956884719532,43,29,0.6744186046511628,0.45406824508401633,-0.9999175286533837,-42.996453732095496,2,0.8999294729818533,-5.052572500820462,29,10,4,20.0
reference_validation,F95,E10,D40,19,11,0.5789473684210527,0.30572900966554606,-2.0721604173006143,-39.37104792871167,2,1.5589844284294556,-7.345730877495782,19,10,0.5263157894736842,0.2408681268129432,-2.425002955998495,-46.075056163971404,3,1.4798065802230758,-7.693604727724224,11,7,1,30.0
august,F95,E10,D40,1,0,0.0,0.0,-3.125974644108897,-3.125974644108897,1,,-3.125974644108897,1,0,0.0,0.0,-3.6230001567084553,-3.6230001567084553,1,,-3.6230001567084553,0,1,0,45.0
POOLED_MAJOR,F95,E10,D40,98,71,0.7244897959183674,0.7119166760630261,-0.5755002917018496,-56.399028586781256,2,1.729742762875142,-6.053806061759137,98,69,0.7040816326530612,0.5792336304610491,-0.8983032681719987,-88.03372028085587,3,1.6514827971983563,-6.008775566552094,69,21,8,32.5
external,F95,E10,D50,36,30,0.8333333333333334,1.093185967528626,0.18611280285285797,6.700060902702887,2,2.3434171520711593,-5.301331549552385,36,30,0.8333333333333334,0.9462622520853884,-0.11169827752238051,-4.021137990805698,2,2.0921710665379294,-5.796182792381327,29,3,4,62.5
development,F95,E10,D50,43,30,0.6976744186046512,0.6570248529292869,-0.5273164945854167,-22.67460926717292,2,1.2110956532652821,-5.134956884719532,43,29,0.6744186046511628,0.4922661737888681,-0.8577941101934845,-36.88514673831983,2,0.8999294729818533,-5.5756203551118215,29,9,5,20.0
reference_validation,F95,E10,D50,19,12,0.631578947368421,0.43246578282722536,-1.458539885345462,-27.712257821563778,2,1.7307464835131907,-7.2006518560161386,19,11,0.5789473684210527,0.3468258476005813,-1.79873448578056,-34.17595522983064,2,1.6514827971983563,-7.27230722928614,12,6,1,35.0
august,F95,E10,D50,1,0,0.0,0.0,-4.598190915317479,-4.598190915317479,1,,-4.598190915317479,1,0,0.0,0.0,-5.093744947386114,-5.093744947386114,1,,-5.093744947386114,0,1,0,75.0
POOLED_MAJOR,F95,E10,D50,98,72,0.7346938775510204,0.7661814596891413,-0.44578373659218185,-43.68680618603382,2,1.816125650736034,-6.205509952197003,98,70,0.7142857142857143,0.624210062304556,-0.7661453057036346,-75.0822399589562,2,1.6553271674107477,-6.510350911610303,70,18,10,37.5
external,F95,E10,D60,36,31,0.8611111111111112,1.0262657757256095,0.05591401836212394,2.012904661036462,1,2.2923237467129103,-6.395351211509959,36,30,0.8333333333333334,0.8933463097786232,-0.2348197216429749,-8.453509979147096,2,2.0921710665379294,-5.796182792381327,30,1,5,70.0
development,F95,E10,D60,43,32,0.7441860465116279,0.7095364757384948,-0.4370112390271369,-18.791483278166886,2,1.2110956532652821,-6.5223337795559555,43,31,0.7209302325581395,0.5371772146224272,-0.7559190562343213,-32.504519418075816,2,0.8999294729818533,-6.322969524709304,31,7,5,25.0
reference_validation,F95,E10,D60,19,14,0.7368421052631579,0.5825377235809278,-0.9070817885188903,-17.234553981858916,1,1.7208863621792196,-8.395372952925628,19,13,0.6842105263157895,0.46997578039584853,-1.221426756743641,-23.207108378129178,2,1.6317724097241864,-8.367326484909887,14,4,1,45.0
august,F95,E10,D60,1,0,0.0,0.0,-4.598190915317479,-4.598190915317479,1,,-4.598190915317479,1,0,0.0,0.0,-5.093744947386114,-5.093744947386114,1,,-5.093744947386114,0,1,0,75.0
POOLED_MAJOR,F95,E10,D60,98,77,0.7857142857142857,0.8137439735270979,-0.3470727816223402,-34.01313259898934,2,1.729742762875142,-6.789732554581695,98,74,0.7551020408163265,0.6680151746322571,-0.6547463038301234,-64.1651377753521,2,1.6216875885290531,-6.952536805882192,75,12,11,40.0
external,F95,E15,D30,36,29,0.8055555555555556,1.9388250502382864,1.4372116189383008,51.73961828177883,2,3.3260140765726924,-5.247245331854378,36,29,0.8055555555555556,1.6956887546525514,1.131595712984631,40.737445667446714,2,3.0742769381036488,-5.742150633871502,28,6,2,60.0
development,F95,E15,D30,43,26,0.6046511627906976,0.6459697079170631,-0.6700729701967316,-28.81313771845946,3,1.6527413642759674,-3.842011398551714,43,26,0.6046511627906976,0.5099142056246241,-1.0235645080792004,-44.013273847405614,3,1.4018404440540149,-4.338321232236253,25,14,4,25.0
reference_validation,F95,E15,D30,19,8,0.42105263157894735,0.3055937856261913,-2.0732736118523163,-39.392198625194006,2,2.211262564042094,-4.24706420760611,19,8,0.42105263157894735,0.24651322781165488,-2.4656006039459757,-46.846411474973536,2,1.9600825227806933,-4.742969190906821,8,9,2,30.0
august,F95,E15,D30,1,0,0.0,0.0,-3.125974644108897,-3.125974644108897,1,,-3.125974644108897,1,0,0.0,0.0,-3.6230001567084553,-3.6230001567084553,1,,-3.6230001567084553,0,1,0,45.0
POOLED_MAJOR,F95,E15,D30,98,63,0.6428571428571429,0.9147847437564356,-0.16801753124361865,-16.46571806187463,3,2.439657017166708,-4.138425684513158,98,63,0.6428571428571429,0.7619315804218056,-0.511451425050331,-50.122239654932436,3,2.1883628357489253,-4.634439252044864,61,29,8,35.0
external,F95,E15,D40,36,30,0.8333333333333334,1.620291800751315,1.1516044980830513,41.45776193098985,2,3.257889536094916,-6.547286161913817,36,30,0.8333333333333334,1.4402560214252367,0.8532406150800557,30.716662142882004,2,3.006186442873549,-7.040892072796391,29,4,3,65.0
development,F95,E15,D40,43,28,0.6511627906976745,0.6469526286005912,-0.7143680755915877,-30.71782725043827,3,1.6527413642759674,-5.134956884719532,43,28,0.6511627906976745,0.5190358638826889,-1.0561407487909775,-45.41405219801204,3,1.4018404440540149,-5.629974419067585,27,12,4,30.0
reference_validation,F95,E15,D40,19,10,0.5263157894736842,0.3752887511799902,-1.9018314615853964,-36.13479777012253,2,2.211262564042094,-7.2006518560161386,19,10,0.5263157894736842,0.308191629211946,-2.2678911370765507,-43.08993160445446,2,1.9600825227806933,-7.693604727724224,10,7,2,40.0
august,F95,E15,D40,1,0,0.0,0.0,-3.125974644108897,-3.125974644108897,1,,-3.125974644108897,1,0,0.0,0.0,-3.6230001567084553,-3.6230001567084553,1,,-3.6230001567084553,0,1,0,45.0
POOLED_MAJOR,F95,E15,D40,98,68,0.6938775510204082,0.8800352070852857,-0.2591312560160301,-25.394863089570947,3,2.397600826510427,-5.7839715423029965,98,68,0.6938775510204082,0.7448445492375934,-0.5896665475467806,-57.7873216595845,3,2.1463276626792043,-6.278340386338638,66,23,9,40.0
external,F95,E15,D50,36,30,0.8333333333333334,1.5061728521343098,1.010938135184383,36.39377286663778,2,3.257889536094916,-5.301331549552385,36,30,0.8333333333333334,1.3428852413805943,0.7127148482462581,25.65773453686529,2,3.006186442873549,-5.796182792381327,29,3,4,65.0
development,F95,E15,D50,43,29,0.6744186046511628,0.7243427807752915,-0.5051412143126787,-21.721072215445183,3,1.6380434782608648,-5.594381473239334,43,29,0.6744186046511628,0.5779805337321094,-0.8412981723391515,-36.17582141058352,3,1.3871499033093042,-6.088939812596383,28,10,5,35.0
reference_validation,F95,E15,D50,19,11,0.5789473684210527,0.5380030314582929,-1.214885578273627,-23.082825987198913,2,2.211979237905904,-6.778932849325503,19,11,0.5789473684210527,0.4473028269123871,-1.5683339598554973,-29.79834523725445,2,1.9607988384866109,-7.27230722928614,11,6,2,45.0
august,F95,E15,D50,1,0,0.0,0.0,-4.598190915317479,-4.598190915317479,1,,-4.598190915317479,1,0,0.0,0.0,-5.093744947386114,-5.093744947386114,1,,-5.093744947386114,0,1,0,75.0
POOLED_MAJOR,F95,E15,D50,98,70,0.7142857142857143,0.9580877770720827,-0.08581760546945222,-8.410125336006317,3,2.397600826510427,-6.205509952197003,98,70,0.7142857142857143,0.8120131284844647,-0.4113921643976801,-40.31643211097265,3,2.1463276626792043,-6.699457468486619,68,19,11,45.0
external,F95,E15,D60,36,31,0.8611111111111112,1.4156827790459066,0.8848965582893348,31.856276098416053,1,3.1897649956171397,-6.395351211509959,36,30,0.8333333333333334,1.2701868812059938,0.5937485341563344,21.37494722962804,2,3.006186442873549,-5.796182792381327,30,1,5,72.5
development,F95,E15,D60,43,31,0.7209302325581395,0.747430539516804,-0.47647509552995715,-20.488429107788157,3,1.6380434782608648,-6.656033167068825,43,31,0.7209302325581395,0.6042944902662216,-0.8009879926237328,-34.44248368282051,3,1.3871499033093042,-7.149530385292607,30,8,5,40.0
reference_validation,F95,E15,D60,19,12,0.631578947368421,0.6795690262527222,-0.7326949386531834,-13.921203834410484,2,2.427848482905626,-7.354722391051216,19,12,0.631578947368421,0.5651762613278951,-1.073393893016496,-20.394483967313423,2,2.1765602028042235,-7.847521269220992,12,4,3,50.0
august,F95,E15,D60,1,0,0.0,0.0,-4.598190915317479,-4.598190915317479,1,,-4.598190915317479,1,0,0.0,0.0,-5.093744947386114,-5.093744947386114,1,,-5.093744947386114,0,1,0,75.0
POOLED_MAJOR,F95,E15,D60,98,74,0.7551020408163265,0.9873094387153517,-0.02605466167125095,-2.553356843782593,3,2.397600826510427,-6.656033167068825,98,73,0.7448979591836735,0.8429420796425379,-0.3414491879643457,-33.46202042050588,3,2.1883628357489253,-7.015964630351023,72,13,13,47.5
external,F95,E20,D30,36,26,0.7222222222222222,1.5814483903367433,1.0944719808099321,39.400991309157554,2,3.61911176457459,-4.774421089545639,36,24,0.6666666666666666,1.3719334271413313,0.7544610262421011,27.16059694471564,2,3.6052484959494095,-4.497909348883239,23,8,5,60.0
development,F95,E20,D30,43,23,0.5348837209302325,0.5911449898462248,-0.9311282881626278,-40.038516390992996,3,2.1475543478260533,-3.9902185415324363,43,23,0.5348837209302325,0.48091278353992034,-1.3017441976137811,-55.975000497392585,3,1.8964061447537932,-4.486380242140559,22,17,4,35.0
reference_validation,F95,E20,D30,19,8,0.42105263157894735,0.3960946429386334,-1.8030671600205181,-34.258276040389845,2,2.8640782050525897,-4.24706420760611,19,8,0.42105263157894735,0.3290469679761141,-2.195529187822238,-41.71505456862252,2,2.612571919093099,-4.742969190906821,8,9,2,35.0
august,F95,E20,D30,1,0,0.0,0.0,-3.125974644108897,-3.125974644108897,1,,-3.125974644108897,1,0,0.0,0.0,-3.6230001567084553,-3.6230001567084553,1,,-3.6230001567084553,0,1,0,45.0
POOLED_MAJOR,F95,E20,D30,98,57,0.5816326530612245,0.8431083946363708,-0.35607960328801314,-34.895801122225286,3,3.0135919370807955,-4.24706420760611,98,55,0.5612244897959183,0.7097932727476379,-0.719688348176525,-70.52945812129946,3,2.7928343776289615,-4.634439252044864,53,34,11,40.0
external,F95,E20,D40,36,28,0.7777777777777778,1.6423591144242922,1.2414674397127785,44.692827829660025,2,3.61911176457459,-3.2783992045563197,36,26,0.7222222222222222,1.4462715049782182,0.9153012394144387,32.950844618919795,2,3.6052484959494095,-2.4746308056199258,25,4,7,75.0
development,F95,E20,D40,43,25,0.5813953488372093,0.6156675265006685,-0.9107710306041705,-39.163154315979334,3,2.1475543478260533,-5.024323193680669,43,25,0.5813953488372093,0.5072388188816552,-1.269719571478823,-54.59794157358939,3,1.8964061447537932,-5.519451306430573,24,13,6,40.0
reference_validation,F95,E20,D40,19,10,0.5263157894736842,0.48639929500216783,-1.5635735410596794,-29.707897280133906,2,2.8640782050525897,-7.2006518560161386,19,10,0.5263157894736842,0.4113238786942889,-1.9298022609888839,-36.66624295878879,2,2.612571919093099,-7.693604727724224,10,7,2,40.0
