asset,partition,date_utc,entry_name,entry_fraction,entry_ts,H,L,R,h2_bar_start,h2_arrived,strict_breakout,breakout_bar_start,opposite_bar_start,terminal,h2_immediate_breakout,h2_rejection,later_breakout_after_h2_rejection,same_breakout_bar_e10,same_breakout_bar_e20,causal_e10_ts,causal_e20_ts,causal_e10,causal_e20,min_fill_to_h2,min_h2_to_breakout,min_breakout_to_e10,min_breakout_to_e20
ETH,august,2026-08-13,F75,0.75,2026-08-13 15:05:00+00:00,1896.19,1874.43,21.75999999999999,,False,False,,2026-08-13 16:35:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,august,2026-08-20,F75,0.75,2026-08-20 15:40:00+00:00,2318.78,2248.84,69.94000000000005,2026-08-20 15:45:00+00:00,True,True,2026-08-20 15:50:00+00:00,,STRICT_BREAKOUT,False,True,True,True,True,2026-08-20 15:55:00+00:00,2026-08-20 15:55:00+00:00,True,True,5.0,5.0,0.0,0.0
ETH,august,2026-08-13,F80,0.8,2026-08-13 15:05:00+00:00,1896.19,1874.43,21.75999999999999,,False,False,,2026-08-13 16:35:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,august,2026-08-20,F80,0.8,2026-08-20 15:40:00+00:00,2318.78,2248.84,69.94000000000005,2026-08-20 15:45:00+00:00,True,True,2026-08-20 15:50:00+00:00,,STRICT_BREAKOUT,False,True,True,True,True,2026-08-20 15:55:00+00:00,2026-08-20 15:55:00+00:00,True,True,5.0,5.0,0.0,0.0
ETH,august,2026-08-13,F85,0.85,2026-08-13 14:55:00+00:00,1896.19,1874.43,21.75999999999999,,False,False,,2026-08-13 16:35:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,august,2026-08-13,F90,0.9,2026-08-13 14:45:00+00:00,1896.19,1874.43,21.75999999999999,,False,False,,2026-08-13 16:35:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,august,2026-08-13,F95,0.95,2026-08-13 14:45:00+00:00,1896.19,1874.43,21.75999999999999,,False,False,,2026-08-13 16:35:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,development,2022-01-03,F75,0.75,2022-01-03 14:45:00+00:00,3844.67,3790.01,54.659999999999854,,False,False,,2022-01-03 15:05:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,development,2022-01-25,F75,0.75,2022-01-25 15:45:00+00:00,2460.7,2371.63,89.06999999999971,2022-01-25 17:20:00+00:00,True,True,2022-01-25 17:20:00+00:00,,STRICT_BREAKOUT,True,False,False,True,False,2022-01-25 17:25:00+00:00,2022-01-25 17:40:00+00:00,True,True,95.0,0.0,0.0,15.0
ETH,development,2022-02-09,F75,0.75,2022-02-09 15:15:00+00:00,3208.26,3066.48,141.7800000000002,2022-02-09 16:45:00+00:00,True,True,2022-02-09 16:45:00+00:00,,STRICT_BREAKOUT,True,False,False,False,False,2022-02-09 19:00:00+00:00,2022-02-09 19:05:00+00:00,True,True,90.0,0.0,130.0,135.0
ETH,development,2022-02-22,F75,0.75,2022-02-22 14:10:00+00:00,2622.62,2512.67,109.94999999999982,2022-02-22 14:45:00+00:00,True,True,2022-02-22 14:50:00+00:00,,STRICT_BREAKOUT,False,True,True,True,True,2022-02-22 14:55:00+00:00,2022-02-22 14:55:00+00:00,True,True,35.0,5.0,0.0,0.0
ETH,development,2022-03-03,F75,0.75,2022-03-03 14:10:00+00:00,2934.48,2877.35,57.13000000000011,,False,False,,2022-03-03 15:05:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,development,2022-03-21,F75,0.75,2022-03-21 13:50:00+00:00,2938.5,2873.0,65.5,2022-03-21 15:15:00+00:00,True,True,2022-03-21 15:20:00+00:00,,STRICT_BREAKOUT,False,True,True,True,False,2022-03-21 15:25:00+00:00,2022-03-21 15:25:00+00:00,True,True,85.0,5.0,0.0,0.0
ETH,development,2022-03-22,F75,0.75,2022-03-22 15:15:00+00:00,3027.92,2984.71,43.210000000000036,,False,False,,2022-03-22 19:55:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,development,2022-04-18,F75,0.75,2022-04-18 13:40:00+00:00,2947.0,2887.0,60.0,2022-04-18 17:10:00+00:00,True,True,2022-04-18 17:10:00+00:00,,STRICT_BREAKOUT,True,False,False,True,True,2022-04-18 17:15:00+00:00,2022-04-18 17:15:00+00:00,True,True,210.0,0.0,0.0,0.0
ETH,development,2022-05-19,F75,0.75,2022-05-19 13:45:00+00:00,1985.99,1912.39,73.59999999999991,2022-05-19 14:20:00+00:00,True,True,2022-05-19 15:10:00+00:00,,STRICT_BREAKOUT,False,True,True,False,False,2022-05-19 15:15:00+00:00,2022-05-19 15:20:00+00:00,True,True,35.0,50.0,0.0,5.0
ETH,development,2022-06-01,F75,0.75,2022-06-01 13:45:00+00:00,1967.86,1924.0,43.8599999999999,,False,False,,2022-06-01 14:25:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,development,2022-06-28,F75,0.75,2022-06-28 13:45:00+00:00,1234.0,1203.32,30.680000000000064,,False,False,,2022-06-28 14:30:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,development,2022-07-15,F75,0.75,2022-07-15 14:40:00+00:00,1235.35,1202.75,32.59999999999991,2022-07-15 15:05:00+00:00,True,True,2022-07-15 15:05:00+00:00,,STRICT_BREAKOUT,True,False,False,False,False,2022-07-15 18:40:00+00:00,2022-07-15 18:40:00+00:00,True,True,25.0,0.0,210.0,210.0
ETH,development,2022-07-19,F75,0.75,2022-07-19 13:40:00+00:00,1574.53,1505.2,69.32999999999993,2022-07-19 16:25:00+00:00,True,True,2022-07-19 16:30:00+00:00,,STRICT_BREAKOUT,False,True,True,True,False,2022-07-19 16:35:00+00:00,2022-07-19 19:10:00+00:00,True,True,165.0,5.0,0.0,155.0
ETH,development,2022-07-20,F75,0.75,2022-07-20 13:50:00+00:00,1616.0,1525.59,90.41000000000008,,False,False,,,NO_BREAK_BY_END,False,False,False,False,False,,,False,False,,,,
ETH,development,2022-07-28,F75,0.75,2022-07-28 14:45:00+00:00,1659.0,1595.0,64.0,2022-07-28 15:15:00+00:00,True,True,2022-07-28 15:15:00+00:00,,STRICT_BREAKOUT,True,False,False,False,False,2022-07-28 15:20:00+00:00,2022-07-28 15:20:00+00:00,True,True,30.0,0.0,0.0,0.0
ETH,development,2022-08-22,F75,0.75,2022-08-22 14:15:00+00:00,1580.0,1528.0,52.0,2022-08-22 15:40:00+00:00,True,True,2022-08-22 15:40:00+00:00,,STRICT_BREAKOUT,True,False,False,True,False,2022-08-22 15:45:00+00:00,2022-08-22 15:50:00+00:00,True,True,85.0,0.0,0.0,5.0
ETH,development,2022-08-24,F75,0.75,2022-08-24 14:35:00+00:00,1660.25,1625.18,35.069999999999936,2022-08-24 15:15:00+00:00,True,True,2022-08-24 15:20:00+00:00,,STRICT_BREAKOUT,False,True,True,True,True,2022-08-24 15:25:00+00:00,2022-08-24 15:25:00+00:00,True,True,40.0,5.0,0.0,0.0
ETH,development,2022-09-02,F75,0.75,2022-09-02 15:40:00+00:00,1644.8,1581.33,63.47000000000003,,False,False,,2022-09-02 18:10:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,development,2022-09-08,F75,0.75,2022-09-08 13:55:00+00:00,1646.6,1597.0,49.59999999999991,2022-09-08 15:05:00+00:00,True,True,2022-09-08 19:55:00+00:00,,STRICT_BREAKOUT,False,True,True,False,False,,,False,False,70.0,290.0,,
ETH,development,2022-09-20,F75,0.75,2022-09-20 15:30:00+00:00,1366.4,1328.76,37.6400000000001,2022-09-20 15:50:00+00:00,True,True,2022-09-20 15:50:00+00:00,,STRICT_BREAKOUT,True,False,False,True,False,2022-09-20 15:55:00+00:00,2022-09-20 15:55:00+00:00,True,True,20.0,0.0,0.0,0.0
ETH,development,2022-10-04,F75,0.75,2022-10-04 14:20:00+00:00,1359.8,1341.51,18.289999999999964,,False,False,,2022-10-04 17:15:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,development,2022-10-06,F75,0.75,2022-10-06 13:50:00+00:00,1378.0,1354.0,24.0,,False,False,,2022-10-06 14:05:00+00:00,OPPOSITE_BREAK,False,False,False,False,False,,,False,False,,,,
ETH,development,2022-11-30,F75,0.75,2022-11-30 16:50:00+00:00,1276.93,1253.37,23.560000000000173,2022-11-30 18:30:00+00:00,True,True,2022-11-30 18:35:00+00:00,,STRICT_BREAKOUT,False,True,True,True,True,2022-11-30 18:40:00+00:00,2022-11-30 19:00:00+00:00,True,True,100.0,5.0,0.0,20.0
ETH,development,2022-12-08,F75,0.75,2022-12-08 14:10:00+00:00,1247.33,1227.36,19.970000000000027,2022-12-08 14:55:00+00:00,True,True,2022-12-08 15:05:00+00:00,,STRICT_BREAKOUT,False,True,True,True,True,2022-12-08 15:10:00+00:00,2022-12-08 15:30:00+00:00,True,True,45.0,10.0,0.0,20.0
ETH,development,2022-12-21,F75,0.75,2022-12-21 15:35:00+00:00,1218.99,1206.63,12.3599999999999,,False,False,,,NO_BREAK_BY_END,False,False,False,False,False,,,False,False,,,,
ETH,development,2022-12-29,F75,0.75,2022-12-29 13:50:00+00:00,1203.85,1189.58,14.269999999999982,2022-12-29 14:30:00+00:00,True,True,2022-12-29 15:05:00+00:00,,STRICT_BREAKOUT,False,True,True,True,True,2022-12-29 15:10:00+00:00,,True,False,40.0,35.0,0.0,
ETH,development,2023-01-09,F75,0.75,2023-01-09 15:20:00+00:00,1328.0,1307.5,20.5,2023-01-09 15:40:00+00:00,True,True,2023-01-09 15:40:00+00:00,,STRICT_BREAKOUT,True,False,False,True,False,2023-01-09 15:45:00+00:00,2023-01-09 15:45:00+00:00,True,True,20.0,0.0,0.0,0.0
