partition,target_name,risk_name,n_0,wins_0,wr_0,pf_0,expectancy_0,net_0,max_ls_0,median_win_0,median_loss_0,n_5,wins_5,wr_5,pf_5,expectancy_5,net_5,max_ls_5,median_win_5,median_loss_5,tp,stop,time_exit,median_hold,median_entry_f,median_nominal_rr
external,E05,F55,39,33,0.8461538461538461,1.353755302636503,0.40621918202086393,15.842548098813694,1,1.839544395092219,-5.026204851472859,39,31,0.7948717948717948,1.084962917086797,0.10518400863775194,4.102176336872326,2,1.5886037734033747,-3.7520843806184865,31,3,5,30.0,0.922369065100342,0.34275386132106916
development,E05,F55,41,32,0.7804878048780488,0.7177499629417995,-0.40623171980304795,-16.655500511924966,2,1.1960981480680482,-5.552203327599193,41,28,0.6829268292682927,0.5457978396623542,-0.7041815523623586,-28.8714436468567,3,1.2110714913819547,-5.873446294714412,33,8,0,15.0,0.9191532258064516,0.35445111960677383
reference_validation,E05,F55,15,12,0.8,0.8548983239320396,-0.21715382883242046,-3.2573074324863067,1,1.4404062926896115,-7.267671691792255,15,11,0.7333333333333333,0.6788688687982914,-0.5163873535550254,-7.7458103033253805,2,1.2132741294622167,-7.551695822083554,12,3,0,10.0,0.9204229271007224,0.3498084578982948
august,E05,F55,0,0,,,,0.0,0,,,0,0,,,,0.0,0,,,0,0,0,,,
POOLED_MAJOR,E05,F55,95,77,0.8105263157894737,0.9677583011118219,-0.04284484047997454,-4.070259845597581,2,1.4167318188523352,-6.222258119395129,95,70,0.7368421052631579,0.7608614742062721,-0.3422639748769447,-32.51507761330975,3,1.243726372733856,-5.873446294714412,76,14,5,20.0,0.9204229271007224,0.3498084578982948
external,E05,F50,39,33,0.8461538461538461,1.2532044268912093,0.31408486815870534,12.249309858189509,1,1.839544395092219,-5.209542513730808,39,31,0.7948717948717948,1.009880733417212,0.013141783045319615,0.512529538767465,2,1.5886037734033747,-4.2038780434128675,31,3,5,30.0,0.922369065100342,0.30217869973346023
development,E05,F50,41,33,0.8048780487804879,1.007334562382545,0.008045042223538143,0.3298467311650639,2,1.208783428933891,-5.734202950235012,41,29,0.7073170731707317,0.7624120313662913,-0.28418354756529624,-11.651525450177145,3,1.2323833642531983,-5.064617302963914,34,7,0,15.0,0.9191532258064516,0.31216931216931315
reference_validation,E05,F50,15,12,0.8,0.8548983239320396,-0.21715382883242046,-3.2573074324863067,1,1.4404062926896115,-7.267671691792255,15,11,0.7333333333333333,0.6788688687982914,-0.5163873535550254,-7.7458103033253805,2,1.2132741294622167,-7.551695822083554,12,3,0,10.0,0.9204229271007224,0.3082064857710136
august,E05,F50,0,0,,,,0.0,0,,,0,0,,,,0.0,0,,,0,0,0,,,
POOLED_MAJOR,E05,F50,95,78,0.8210526315789474,1.0805015312118735,0.09812472796703438,9.321849156868266,2,1.428643158586163,-6.528313665919427,95,71,0.7473684210526316,0.8489612984414182,-0.19878743383931644,-18.88480621473506,3,1.2550693812145135,-5.130239377173012,77,13,5,20.0,0.9204229271007224,0.3082064857710136
external,E10,F55,39,31,0.7948717948717948,1.4707708053448902,0.6910971611347774,26.95278928425632,1,2.527875802226976,-5.293025730903694,39,30,0.7692307692307693,1.2388492484509321,0.37725503619329853,14.712946411538644,1,2.2011991338980024,-4.5538320109844594,29,5,5,35.0,0.922369065100342,0.4770292474531719
development,E10,F55,41,31,0.7560975609756098,0.8494955242269614,-0.24559746822157993,-10.069496197084778,4,1.8137779794312308,-5.527950029643003,41,29,0.7073170731707317,0.6821417597414926,-0.5618287426225144,-23.03497844752309,4,1.7896072979494808,-5.935896002590024,30,10,1,20.0,0.9191532258064516,0.48989623156745243
reference_validation,E10,F55,15,11,0.7333333333333333,0.6917358541158815,-0.7168312659905433,-10.75246898985815,1,2.050398381086849,-7.799458884244009,15,11,0.7333333333333333,0.5798484230120633,-1.0320725397426118,-15.481088096139178,1,1.7992987317209779,-8.291813248177727,11,4,0,25.0,0.9204229271007224,0.4847893036881339
august,E10,F55,0,0,,,,0.0,0,,,0,0,,,,0.0,0,,,0,0,0,,,
