cohort,partition,n,fixed_wr,fixed_pf,fixed_exp,fixed_net,runner_wr,runner_pf,runner_exp,runner_net,delta_exp,delta_net,activation_rate,runner_max_ls
BLIND_F75,external,42,0.7142857142857143,1.4937252540814725,1.0820025397570507,45.44410666979613,0.6666666666666666,2.207404353042154,2.7884140449070096,117.11338988609441,1.7064115051499589,71.66928321629828,0.7142857142857143,2
BLIND_F75,development,65,0.6923076923076923,1.0816821753098027,0.1740334279544217,11.31217281703741,0.5538461538461539,1.1167577569895717,0.26723188394664293,17.37007245653179,0.09319845599222124,6.05789963949438,0.6307692307692307,5
BLIND_F75,reference_validation,31,0.6774193548387096,1.0195257176567534,0.05568521199229957,1.7262415717612867,0.5161290322580645,1.0472683534659732,0.15057180345228663,4.667725907020886,0.09488659145998707,2.941484335259599,0.6774193548387096,3
BLIND_F75,august,2,0.5,0.8054273022597641,-0.5941014782277101,-1.1882029564554202,0.5,1.1144631125220315,0.34949766920881453,0.6989953384176291,0.9435991474365246,1.8871982948730492,0.5,1
EARLY_RECLAIM,external,40,0.725,1.2116646147944852,0.500472939163756,20.01891756655024,0.6,1.921095184011027,2.3587762354699455,94.35104941879781,1.8583032963061896,74.33213185224757,0.725,2
EARLY_RECLAIM,development,54,0.7407407407407407,1.0730780510290252,0.14813544003341197,7.999313761804247,0.5185185185185185,0.9845881749036628,-0.03572562164490625,-1.9291835688249375,-0.18386106167831823,-9.928497330629185,0.6851851851851852,5
EARLY_RECLAIM,reference_validation,28,0.7142857142857143,1.0236900427665696,0.06244981143424699,1.7485947201589158,0.4642857142857143,1.0644931352818845,0.20534453199712674,5.749646895919549,0.14289472056287975,4.001052175760632,0.7142857142857143,3
EARLY_RECLAIM,august,2,0.5,0.7603038570493219,-0.7350128170782066,-1.4700256341564133,0.5,1.067866704493398,0.20810888753337586,0.4162177750667517,0.9431217046115825,1.886243409223165,0.5,1
SAME_BAR_REJECTION,external,23,0.7391304347826086,1.3379078931289616,0.6421734488708912,14.769989324030497,0.6086956521739131,1.695926888314181,1.4230836070303472,32.730922961697985,0.780910158159456,17.960933637667488,0.7391304347826086,2
SAME_BAR_REJECTION,development,31,0.6774193548387096,0.8120468331911557,-0.4560652003425683,-14.138021210619618,0.4838709677419355,0.7302537663936223,-0.8005360879370373,-24.81661872604816,-0.34447088759446903,-10.67859751542854,0.5806451612903226,3
SAME_BAR_REJECTION,reference_validation,15,0.6666666666666666,0.6716721210490065,-1.059236168770871,-15.888542531563065,0.4,0.9235102224325988,-0.3141608587468291,-4.712412881202436,0.7450753100240418,11.176129650360629,0.6666666666666666,3
SAME_BAR_REJECTION,august,2,0.5,0.7603038570493219,-0.7350128170782066,-1.4700256341564133,0.5,1.067866704493398,0.20810888753337586,0.4162177750667517,0.9431217046115825,1.886243409223165,0.5,1
