partition,extension,extension_frac,f75_fills,h2_count,high_reach_count,high_reach_rate_given_h2,high_reach_rate_all_fills,close_reach_count,close_reach_rate_given_h2,close_reach_rate_all_fills,median_minutes_h2_to_high_reach
external,E05,0.05,42,31,30,0.967741935483871,0.7142857142857143,28,0.9032258064516129,0.6666666666666666,0.0
external,E10,0.1,42,31,29,0.9354838709677419,0.6904761904761905,27,0.8709677419354839,0.6428571428571429,5.0
external,E15,0.15,42,31,28,0.9032258064516129,0.6666666666666666,25,0.8064516129032258,0.5952380952380952,10.0
external,E20,0.2,42,31,26,0.8387096774193549,0.6190476190476191,25,0.8064516129032258,0.5952380952380952,15.0
external,E25,0.25,42,31,26,0.8387096774193549,0.6190476190476191,25,0.8064516129032258,0.5952380952380952,20.0
external,E30,0.3,42,31,26,0.8387096774193549,0.6190476190476191,23,0.7419354838709677,0.5476190476190477,22.5
external,E40,0.4,42,31,21,0.6774193548387096,0.5,19,0.6129032258064516,0.4523809523809524,30.0
external,E50,0.5,42,31,19,0.6129032258064516,0.4523809523809524,16,0.5161290322580645,0.38095238095238093,30.0
development,E05,0.05,65,48,47,0.9791666666666666,0.7230769230769231,42,0.875,0.6461538461538462,0.0
development,E10,0.1,65,48,46,0.9583333333333334,0.7076923076923077,36,0.75,0.5538461538461539,2.5
development,E15,0.15,65,48,42,0.875,0.6461538461538462,35,0.7291666666666666,0.5384615384615384,5.0
development,E20,0.2,65,48,39,0.8125,0.6,35,0.7291666666666666,0.5384615384615384,10.0
development,E25,0.25,65,48,37,0.7708333333333334,0.5692307692307692,33,0.6875,0.5076923076923077,10.0
development,E30,0.3,65,48,37,0.7708333333333334,0.5692307692307692,30,0.625,0.46153846153846156,15.0
development,E40,0.4,65,48,33,0.6875,0.5076923076923077,27,0.5625,0.4153846153846154,35.0
development,E50,0.5,65,48,27,0.5625,0.4153846153846154,24,0.5,0.36923076923076925,45.0
reference_validation,E05,0.05,31,22,22,1.0,0.7096774193548387,21,0.9545454545454546,0.6774193548387096,0.0
reference_validation,E10,0.1,31,22,22,1.0,0.7096774193548387,20,0.9090909090909091,0.6451612903225806,2.5
reference_validation,E15,0.15,31,22,20,0.9090909090909091,0.6451612903225806,17,0.7727272727272727,0.5483870967741935,7.5
reference_validation,E20,0.2,31,22,20,0.9090909090909091,0.6451612903225806,14,0.6363636363636364,0.45161290322580644,15.0
reference_validation,E25,0.25,31,22,18,0.8181818181818182,0.5806451612903226,13,0.5909090909090909,0.41935483870967744,17.5
reference_validation,E30,0.3,31,22,14,0.6363636363636364,0.45161290322580644,12,0.5454545454545454,0.3870967741935484,22.5
reference_validation,E40,0.4,31,22,13,0.5909090909090909,0.41935483870967744,11,0.5,0.3548387096774194,50.0
reference_validation,E50,0.5,31,22,11,0.5,0.3548387096774194,11,0.5,0.3548387096774194,55.0
august,E05,0.05,2,1,1,1.0,0.5,1,1.0,0.5,5.0
august,E10,0.1,2,1,1,1.0,0.5,1,1.0,0.5,5.0
august,E15,0.15,2,1,1,1.0,0.5,1,1.0,0.5,5.0
august,E20,0.2,2,1,1,1.0,0.5,1,1.0,0.5,5.0
august,E25,0.25,2,1,1,1.0,0.5,1,1.0,0.5,5.0
august,E30,0.3,2,1,1,1.0,0.5,1,1.0,0.5,55.0
august,E40,0.4,2,1,1,1.0,0.5,1,1.0,0.5,55.0
august,E50,0.5,2,1,1,1.0,0.5,0,0.0,0.0,55.0
