partition,date_utc,signal_ts,entry_ts,entry_px,H,L,range,window_status,h2_bar_start,terminal_bar_start,session_end,winner,pre_h2_adverse_d,through_h2_adverse_d,non_h2_adverse_d,path_end
august,2026-08-13,2026-08-13 14:40:00+00:00,2026-08-13 15:05:00+00:00,1890.75,1896.19,1874.43,21.75999999999999,OPPOSITE_BREAK_BEFORE_H2,,2026-08-13 16:35:00+00:00,2026-08-13 20:00:00+00:00,False,,,1.1833639705882357,2026-08-13 16:40:00+00:00
august,2026-08-20,2026-08-20 15:35:00+00:00,2026-08-20 15:40:00+00:00,2301.295,2318.78,2248.84,69.94000000000005,H2_ARRIVAL,2026-08-20 15:45:00+00:00,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,True,0.01251072347726622,0.01251072347726622,,2026-08-20 15:50:00+00:00
development,2022-01-03,2022-01-03 14:40:00+00:00,2022-01-03 14:45:00+00:00,3831.005,3844.67,3790.01,54.659999999999854,OPPOSITE_BREAK_BEFORE_H2,,2022-01-03 15:05:00+00:00,2022-01-03 20:00:00+00:00,False,,,0.8641602634467664,2022-01-03 15:10:00+00:00
development,2022-01-25,2022-01-25 14:40:00+00:00,2022-01-25 15:45:00+00:00,2438.4325,2460.7,2371.63,89.06999999999971,H2_ARRIVAL,2022-01-25 17:20:00+00:00,2022-01-25 17:20:00+00:00,2022-01-25 20:00:00+00:00,True,0.30787582800044644,0.30787582800044644,,2022-01-25 17:25:00+00:00
development,2022-02-09,2022-02-09 14:45:00+00:00,2022-02-09 15:15:00+00:00,3172.815,3208.26,3066.48,141.7800000000002,H2_ARRIVAL,2022-02-09 16:45:00+00:00,2022-02-09 16:45:00+00:00,2022-02-09 20:00:00+00:00,True,0.08058259274933112,0.08058259274933112,,2022-02-09 16:50:00+00:00
development,2022-02-22,2022-02-22 14:00:00+00:00,2022-02-22 14:10:00+00:00,2595.1325,2622.62,2512.67,109.94999999999982,H2_ARRIVAL,2022-02-22 14:45:00+00:00,2022-02-22 14:45:00+00:00,2022-02-22 20:00:00+00:00,True,0.2449522510231959,0.2449522510231959,,2022-02-22 14:50:00+00:00
development,2022-03-03,2022-03-03 14:05:00+00:00,2022-03-03 14:10:00+00:00,2920.1975,2934.48,2877.35,57.13000000000011,OPPOSITE_BREAK_BEFORE_H2,,2022-03-03 15:05:00+00:00,2022-03-03 20:00:00+00:00,False,,,0.8572991423070248,2022-03-03 15:10:00+00:00
development,2022-03-21,2022-03-21 13:45:00+00:00,2022-03-21 13:50:00+00:00,2922.125,2938.5,2873.0,65.5,H2_ARRIVAL,2022-03-21 15:15:00+00:00,2022-03-21 15:15:00+00:00,2022-03-21 20:00:00+00:00,True,0.46694656488549674,0.46694656488549674,,2022-03-21 15:20:00+00:00
development,2022-03-22,2022-03-22 14:40:00+00:00,2022-03-22 15:15:00+00:00,3017.1175000000003,3027.92,2984.71,43.21000000000004,OPPOSITE_BREAK_BEFORE_H2,,2022-03-22 19:55:00+00:00,2022-03-22 20:00:00+00:00,False,,,0.8830710483684382,2022-03-22 20:00:00+00:00
development,2022-04-18,2022-04-18 13:35:00+00:00,2022-04-18 13:40:00+00:00,2932.0,2947.0,2887.0,60.0,H2_ARRIVAL,2022-04-18 17:10:00+00:00,2022-04-18 17:10:00+00:00,2022-04-18 20:00:00+00:00,True,0.6643333333333354,0.6643333333333354,,2022-04-18 17:15:00+00:00
development,2022-05-19,2022-05-19 13:40:00+00:00,2022-05-19 13:45:00+00:00,1967.59,1985.99,1912.39,73.59999999999991,H2_ARRIVAL,2022-05-19 14:20:00+00:00,2022-05-19 14:20:00+00:00,2022-05-19 20:00:00+00:00,True,0.3408967391304341,0.3408967391304341,,2022-05-19 14:25:00+00:00
development,2022-06-01,2022-06-01 13:35:00+00:00,2022-06-01 13:45:00+00:00,1956.895,1967.86,1924.0,43.8599999999999,OPPOSITE_BREAK_BEFORE_H2,,2022-06-01 14:25:00+00:00,2022-06-01 20:00:00+00:00,False,,,0.818399452804379,2022-06-01 14:30:00+00:00
development,2022-06-28,2022-06-28 13:35:00+00:00,2022-06-28 13:45:00+00:00,1226.33,1234.0,1203.32,30.680000000000064,OPPOSITE_BREAK_BEFORE_H2,,2022-06-28 14:30:00+00:00,2022-06-28 20:00:00+00:00,False,,,0.8947196870925607,2022-06-28 14:35:00+00:00
development,2022-07-15,2022-07-15 14:30:00+00:00,2022-07-15 14:40:00+00:00,1227.1999999999998,1235.35,1202.75,32.59999999999991,H2_ARRIVAL,2022-07-15 15:05:00+00:00,2022-07-15 15:05:00+00:00,2022-07-15 20:00:00+00:00,True,0.11656441717790607,0.11656441717790607,,2022-07-15 15:10:00+00:00
