character_rule,lookback_min,hold_min,strict_gate,temporal_gate,strict_temporal,pooled_trades,pooled_wr,pooled_net,pooled_exp,pooled_pf,pooled_dd,pooled_ls,positive_halves_r1,supportive_anchors_r1,evaluable_anchors_r1,2022H1_trades,2022H1_wr,2022H1_net,2022H1_exp,2022H1_pf,2022H2_trades,2022H2_wr,2022H2_net,2022H2_exp,2022H2_pf,2023H1_trades,2023H1_wr,2023H1_net,2023H1_exp,2023H1_pf,2023H2_trades,2023H2_wr,2023H2_net,2023H2_exp,2023H2_pf,positive_halves_recalc,max_positive_half_share,anchor0_clock_utc_min,anchor0_trades,anchor0_wr,anchor0_net,anchor0_exp,anchor0_pf,anchor0_supportive,anchor1_clock_utc_min,anchor1_trades,anchor1_wr,anchor1_net,anchor1_exp,anchor1_pf,anchor1_supportive,anchor2_clock_utc_min,anchor2_trades,anchor2_wr,anchor2_net,anchor2_exp,anchor2_pf,anchor2_supportive,anchor3_clock_utc_min,anchor3_trades,anchor3_wr,anchor3_net,anchor3_exp,anchor3_pf,anchor3_supportive,supportive_anchors_recalc,evaluable_anchors_recalc,max_positive_anchor_share
EFF_MID__RV_HIGH,60,360,False,True,False,222,0.5225225225225225,140.50101768991436,0.6328874670716863,1.2272296506406124,105.4059420845883,7,3,1,4,56,0.5178571428571429,18.5344086523562,0.33097158307778923,1.0920616798490832,35,0.4857142857142857,22.78228084531773,0.6509223098662208,1.1616053182953845,59,0.5423728813559322,-35.031901306790814,-0.5937610390981494,0.8110345990319906,70,0.5142857142857142,63.014241743058996,0.9002034534722714,1.695268567118217,3,0.6039842738263315,1200,61,0.45901639344262296,-36.017464473001624,-0.5904502372623217,0.8403377237386357,False,1215,50,0.54,31.95169571756728,0.6390339143513456,1.2498696943565013,True,1230,56,0.5178571428571429,137.1841078962809,2.449716212433587,2.2831989437342552,False,1245,55,0.5818181818181818,7.382678549067867,0.13423051907396122,1.0467391182146177,False,1,4,0.7771656894809924
EFF_MID__RANGE_HIGH,60,360,False,False,False,195,0.5282051282051282,93.85411033496344,0.4813031299228895,1.187829923096514,97.7359126761426,9,2,2,4,43,0.6046511627906976,60.66620793359864,1.4108420449674102,1.4580843381781563,30,0.5,-20.30097467428247,-0.6766991558094158,0.8402939336268912,55,0.509090909090909,-28.68233199802701,-0.5214969454186729,0.7793098342635274,66,0.5,49.06238234061592,0.7433694294032716,1.4453725482503306,2,0.5528751238122375,1200,48,0.4791666666666667,1.228182654075387,0.025587138626570565,1.0085406718570191,False,1215,51,0.5098039215686274,-45.846851286777216,-0.8989578683681807,0.6917961208240709,False,1230,48,0.5208333333333334,103.49068905246523,2.156056021926359,2.1489642456641755,True,1245,48,0.6041666666666666,34.982089915200035,0.7287935399000007,1.2988796421172253,True,2,4,0.7408015510493073
RV_MID__RANGE_LOW,60,360,False,False,False,161,0.5279503105590062,136.02688730931774,0.8448874988156382,1.3579604610828435,123.08813948128112,8,3,2,4,46,0.34782608695652173,-106.21752207029358,-2.309076566745513,0.45778143554089995,35,0.7142857142857143,138.20231017170394,3.9486374334772556,3.8463900987408475,34,0.5588235294117647,99.92150306713515,2.938867737268681,2.5703821507098485,46,0.5434782608695652,4.12059614077223,0.08957817697330936,1.0572872088892196,3,0.5705077385506666,1200,45,0.6222222222222222,135.53119052944132,3.011804233987585,2.940085942332502,True,1215,39,0.48717948717948717,23.26194043787092,0.5964600112274595,1.2081813067338518,False,1230,38,0.5526315789473685,6.824854992078329,0.17960144715995602,1.0692662475414823,True,1245,39,0.4358974358974359,-29.59109865007283,-0.7587461192326367,0.7037257803065883,False,2,4,0.8183361833821206
EFF_LOW__RV_MID,120,240,False,True,False,218,0.5504587155963303,45.00994783574112,0.2064676506226656,1.0872700787909024,139.7985221432989,9,3,3,4,60,0.5833333333333334,8.449248861835006,0.14082081436391677,1.0457375646276676,39,0.6410256410256411,31.668575637783263,0.8120147599431606,1.2471787103685865,64,0.53125,27.14687470003965,0.4241699171881195,1.2332061124143852,53,0.4528301886792453,-25.291669661722885,-0.4772013143721299,0.7075905162765984,3,0.4708052814416558,1200,54,0.46296296296296297,-28.41401265333968,-0.5261854195062904,0.791678566093084,False,1215,52,0.5576923076923077,30.535106143800647,0.587213579688474,1.2703610533573124,True,1230,53,0.5849056603773585,34.74609468048328,0.6555866920845902,1.2961552044666356,True,1245,59,0.5932203389830508,8.14275966479688,0.1380128756745234,1.054615051186398,True,3,4,0.4732255581017115
RV_MID__RANGE_LOW,120,360,False,False,False,160,0.5375,116.1276644866576,0.7257979030416101,1.2407343305866445,116.84124107396718,9,2,1,4,50,0.4,-98.02148883738253,-1.9604297767476506,0.6119698448642803,33,0.6363636363636364,100.35815768502447,3.04115629348559,2.4230137574599873,26,0.5384615384615384,160.8506306934114,6.1865627189773615,4.794848425647756,51,0.6078431372549019,-47.0596350543957,-0.9227379422430529,0.5973147865465326,2,0.6157933341062518,1200,35,0.5714285714285714,6.298873804569725,0.17996782298770642,1.0487120990472678,False,1215,40,0.45,18.17082082288431,0.4542705205721077,1.115442436441727,False,1230,42,0.6190476190476191,117.58402538586847,2.7996196520444876,2.678436482080874,True,1245,43,0.5116279069767442,-25.926055526664875,-0.6029315238759273,0.7936215286448817,False,1,4,0.8277433732452826
DRIVE_DOWN__STR_B0_20,120,360,False,True,False,204,0.5588235294117647,166.36746632226843,0.8155267956973943,1.3734087364715548,104.53383145965296,10,4,3,4,51,0.6470588235294118,68.96887698420849,1.35233092125899,1.6148607906924992,62,0.4838709677419355,10.29563242621892,0.16605858751966,1.0478241923446319,43,0.5116279069767442,26.63978569529292,0.6195298998905331,1.3535789123702338,47,0.5957446808510638,27.3543444834897,0.5820073294359511,1.639970200507512,4,0.5175565141353349,1200,48,0.5416666666666666,19.43344054428724,0.40486334467265084,1.1760504106443783,True,1215,45,0.6444444444444445,88.15289159860166,1.9589531466355923,2.045505469461528,True,1230,63,0.42857142857142855,12.96381439705572,0.20577483169929714,1.0772541752264149,False,1245,48,0.6666666666666666,45.81731978232378,0.9545274954650788,1.5518287524115348,True,3,4,0.5298685707447258
RV_HIGH__RANGE_MID,180,240,True,False,False,151,0.5695364238410596,288.4355477267925,1.9101691902436588,1.93824491187699,73.98828892231883,6,3,4,4,39,0.4358974358974359,-54.11993072119918,-1.3876905313127996,0.514502176937083,27,0.6666666666666666,162.4108456576022,6.0152165058371185,3.427684908844425,44,0.6363636363636364,25.772547900989192,0.5857397250224816,1.281328075828982,36,0.5,46.072229846099425,1.2797841623916506,2.230644484456089,3,0.6933060700832253,1200,40,0.55,79.57296773023896,1.989324193255974,1.7472893311574567,True,1215,41,0.5853658536585366,35.82406122902849,0.8737575909519143,1.375656609629957,True,1230,35,0.6,108.56115338228332,3.1017472394938093,3.2869622148277844,True,1245,35,0.5428571428571428,64.47736538524171,1.8422104395783345,2.109674864676237,True,4,4,0.3763792439519728
RV_HIGH__RANGE_MID,180,360,False,True,False,151,0.543046357615894,333.9097784846145,2.2113230363219505,2.040518634066216,58.99587622323321,9,3,2,4,39,0.6153846153846154,-6.764384009512437,-0.17344574383365222,0.9373437157037289,27,0.6296296296296297,96.79462922171437,3.5849862674709025,2.7452452439609516,44,0.5909090909090909,90.59859789282862,2.0590590430188325,2.024539080185948,36,0.3055555555555556,6.97251499319399,0.19368097203316637,1.101547926001779,3,0.49800251923027206,1200,40,0.575,128.6588253940779,3.216470634851947,2.2843321501911227,True,1215,41,0.5121951219512195,47.103557298268285,1.1488672511772753,1.5380439022102865,False,1230,35,0.5714285714285714,76.25389714646113,2.1786827756131752,2.0362779337241945,True,1245,35,0.5142857142857142,81.89349864580734,2.339814247023067,2.3740276533740476,False,2,4,0.3853101456865721
RV_HIGH__RANGE_MID,240,120,False,False,False,164,0.5365853658536586,27.465862752627118,0.1674747728818726,1.1062763880509094,66.35161485579079,9,2,2,4,61,0.4098360655737705,-16.512597495947013,-0.27069831960568874,0.8460510473483654,26,0.6153846153846154,42.58565296739952,1.6379097295153662,2.067361791559806,34,0.6764705882352942,-3.7003800621112326,-0.1088347077091539,0.9212488507233065,43,0.5581395348837209,5.093187343285859,0.11844621728571765,1.079220200680724,2,0.8931771974717175,1200,38,0.5,-7.689861549281012,-0.20236477761265823,0.910255933957622,False,1215,41,0.5609756097560976,22.908249501716302,0.5587377927247879,1.4056133886469204,True,1230,37,0.5135135135135135,-9.026324898557977,-0.24395472698805343,0.8604932488383076,False,1245,48,0.5625,21.273799698749812,0.4432041603906211,1.4125089318920883,True,2,4,0.5184967631939223
EFF_MID__EXT_LOW,240,240,False,False,False,272,0.5294117647058824,226.45858010485,0.8325683092090074,1.445933339962031,81.32651368720965,6,3,3,4,55,0.4727272727272727,-58.440570534818505,-1.062555827905791,0.6692692607651521,78,0.5897435897435898,175.67267943194406,2.2522138388710777,2.2216813727782814,76,0.5,17.9695119892285,0.2364409472266908,1.172436879143205,62,0.532258064516129,60.35578828563983,0.9734804562199973,1.7260919377036512,3,0.6916302233376875,1200,72,0.5416666666666666,102.7379769508828,1.4269163465400387,1.9408158856602118,True,1215,62,0.532258064516129,8.376014511004758,0.13509700824201223,1.0630764456277464,True,1230,70,0.5428571428571428,12.509103594145397,0.17870147991636282,1.0798832742431344,True,1245,68,0.5,102.83548504881708,1.5122865448355451,1.9413214538640837,False,3,4,0.4541028430064535
