window,window_role,entry_start_utc,entry_end_exclusive_utc,dataset_cutoff_utc,hour_wib,character_rule,lookback_min,hold_min,n,wr,net,exp,pf,dd,max_loss_streak
P1_JAN_APR,primary,2026-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,120,240,18,0.7222222222222222,33.659440079827036,1.8699688933237242,2.4926324178345944,10.261584379422441,2
P1_JAN_APR,primary,2026-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,180,240,17,0.8823529411764706,68.23438132428498,4.013787136722646,89.43198533026064,0.5037960896396125,1
P1_JAN_APR,primary,2026-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,240,240,18,0.6666666666666666,48.90713054666443,2.717062808148024,9.715831686283945,1.8814766014557085,1
P1_JAN_APR,primary,2026-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,180,360,17,0.7647058823529411,43.005081498272084,2.5297106763689463,4.181156101919083,5.81499829802264,1
P1_JAN_APR,primary,2026-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,240,360,18,0.6666666666666666,31.738690103393424,1.7632605612996346,1.919894586446609,10.170776702538525,1
P2_MAY_AUG,primary,2026-05-01T00:00:00+00:00,2026-09-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,120,240,24,0.4583333333333333,-20.99109437168513,-0.8746289321535471,0.6447020366556873,34.142875551333994,4
P2_MAY_AUG,primary,2026-05-01T00:00:00+00:00,2026-09-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,180,240,32,0.40625,-34.59488958571109,-1.0810902995534715,0.5689856087464512,42.20130175600227,5
P2_MAY_AUG,primary,2026-05-01T00:00:00+00:00,2026-09-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,240,240,29,0.3448275862068966,-48.728981938483734,-1.6803097220166805,0.4380090209796597,56.22537306412471,5
P2_MAY_AUG,primary,2026-05-01T00:00:00+00:00,2026-09-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,180,360,32,0.34375,-66.51891494712714,-2.0787160920977232,0.39381046971867245,74.20496551518204,5
P2_MAY_AUG,primary,2026-05-01T00:00:00+00:00,2026-09-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,240,360,29,0.2413793103448276,-89.06272254493408,-3.0711283636184166,0.19852544539552924,94.73041605693916,6
Q1_JAN_MAR,secondary,2026-01-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,120,240,18,0.7222222222222222,33.659440079827036,1.8699688933237242,2.4926324178345944,10.261584379422441,2
Q1_JAN_MAR,secondary,2026-01-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,180,240,16,0.875,61.926655782954505,3.8704159864346566,81.25715203196675,0.5037960896396125,1
Q1_JAN_MAR,secondary,2026-01-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,240,240,18,0.6666666666666666,48.90713054666443,2.717062808148024,9.715831686283945,1.8814766014557085,1
Q1_JAN_MAR,secondary,2026-01-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,180,360,16,0.75,42.68782657617271,2.6679891610107944,4.1576882372821835,5.81499829802264,1
Q1_JAN_MAR,secondary,2026-01-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,2026-08-25T23:55:00+00:00,4,DRIVE_DOWN__STR_B80_100,240,360,18,0.6666666666666666,31.738690103393424,1.7632605612996346,1.919894586446609,10.170776702538525,1
