feature,feature_role,q1_median_across_cells,q2_median_across_cells,q3_median_across_cells,q2_minus_q1_median,q2_minus_q3_median,same_direction_cells,median_relative_shift_q2_vs_flanks,abs_relative_shift
fwd_ret_60,follow_through,0.00237882659951294,-6.416996154734456e-05,0.003335799326838418,-0.0027069209402568184,-0.0033999692883857624,5,-1.0214667296477533,1.0214667296477533
fwd_ret_120,follow_through,0.0023284205413399706,1.595496994261092e-05,0.00485061756855365,-0.002941294723585952,-0.0047274263473495726,5,-0.9969858397921151,0.9969858397921151
pre_ret_60,pre_entry,-0.0037531878642724226,-0.0030501203306477764,-0.0035933587036606207,0.0007030675336246461,-0.0006659539543188986,0,0.32381963573147876,0.32381963573147876
rv_60,pre_entry,0.006497106860122602,0.004918439682156689,0.0055237241072636206,-0.002439784828005712,-0.0006052844251069316,5,-0.2714198669259455,0.2714198669259455
atr_pct_60,pre_entry,0.0033898530195702213,0.0021420840777363645,0.0024106883504488377,-0.0012477689418338568,-0.0002325910254894507,5,-0.26141925689624856,0.26141925689624856
atr_pct_240,pre_entry,0.00393398842761664,0.0027613688838340465,0.003365259228158314,-0.0011720736284961072,-0.0006038903443242676,3,-0.2491247185877807,0.2491247185877807
trend_eff_240,pre_entry,0.19183975055383257,0.18705110622241466,0.14186373822098167,-0.0004926634759675752,0.045187368001433,3,0.12106173602900641,0.12106173602900641
rv_240,pre_entry,0.01647664262393164,0.013465077685729208,0.013870909300555454,-0.0029757578250719716,-0.0003921257296922061,3,-0.10989101523303911,0.10989101523303911
pre_ret_240,pre_entry,-0.01581036263097263,-0.012288650794475497,-0.009364843469830686,0.0035217118364971323,-0.0029238073246448115,1,0.02374973652482798,0.02374973652482798
disp_240,pre_entry,0.9647608273917982,0.8769914309676664,0.7497901427264299,-0.060817984445305395,0.12720128824123655,3,0.02299837829515548,0.02299837829515548
disp_60,pre_entry,0.6891473270286212,0.7732897779325054,0.6781703763440384,0.046282873999578866,0.21710015678011296,2,0.011257923258433984,0.011257923258433984
