period,feature,usable_cells,support_cells_high_exp_gt_low,support_rate,median_delta_exp_high_minus_low
DEV_2022,rv_60,5,5,1.0,6.147395486277527
DEV_2022,atr_pct_60,5,5,1.0,8.567301068237729
TEST_2023,rv_60,5,5,1.0,6.8338830869474565
TEST_2023,atr_pct_60,5,5,1.0,7.242749834955638
CONFIRM_2024,rv_60,5,3,0.6,0.7622495642059085
CONFIRM_2024,atr_pct_60,5,5,1.0,3.479637976253457
FINAL_OOS_2025,rv_60,5,2,0.4,-0.13019337767276518
FINAL_OOS_2025,atr_pct_60,5,5,1.0,0.6661564282903157
SHADOW_2026,rv_60,0,0,,
SHADOW_2026,atr_pct_60,3,3,1.0,6.1817730995232685
