variant,candidate_id,side,sweep_time,reclaim_time,signal_time,deadline,outcome,event_label,anatomy_score,baseline_entry_time,baseline_entry_price,range_unit,structural_target,filled,entry_i_5m,entry_time,entry_price,time_to_fill_min,directional_improvement_range_units,structural_target_distance_range_units,positive_adverse_excursion_range_units
BASELINE_MARKET,H1_SWING|BUY_SIDE|2020-09-30 02:00:00+00:00|2.97|379,BUY_SIDE,2020-09-30 04:00:00+00:00,2020-09-30 05:00:00+00:00,2020-09-30 06:00:00+00:00,2020-09-30 12:00:00+00:00,STRUCTURAL_LIQUIDITY_EVENT,1,3,2020-09-30 06:00:00+00:00,2.9364,0.03490000000000015,2.8981,1,4596,2020-09-30 06:00:00+00:00,2.9364,0.0,0.0,1.0974212034383906,0.6790830945558789
BASELINE_MARKET,H1_SWING|BUY_SIDE|2020-10-02 21:00:00+00:00|2.674|446,BUY_SIDE,2020-10-05 23:00:00+00:00,2020-10-05 23:00:00+00:00,2020-10-06 00:00:00+00:00,2020-10-06 04:00:00+00:00,STRUCTURAL_LIQUIDITY_EVENT,1,3,2020-10-06 00:00:00+00:00,2.6517,0.03699999999999992,2.6009,1,6252,2020-10-06 00:00:00+00:00,2.6517,0.0,0.0,1.3729729729729687,0.2513513513513542
BASELINE_MARKET,H1_SWING|BUY_SIDE|2020-10-23 05:00:00+00:00|1.9731|934,BUY_SIDE,2020-10-23 05:00:00+00:00,2020-10-23 06:00:00+00:00,2020-10-23 07:00:00+00:00,2020-10-23 13:00:00+00:00,STRUCTURAL_LIQUIDITY_EVENT,1,3,2020-10-23 07:00:00+00:00,1.9318,0.030600000000000183,1.9145,1,11232,2020-10-23 07:00:00+00:00,1.9318,0.0,0.0,0.5653594771241754,1.9150326797385502
BASELINE_MARKET,H1_SWING|BUY_SIDE|2020-11-15 13:00:00+00:00|2.2059|1494,BUY_SIDE,2020-11-15 16:00:00+00:00,2020-11-15 16:00:00+00:00,2020-11-15 17:00:00+00:00,2020-11-15 23:00:00+00:00,RECLAIM_FAILED_BEFORE_BOS,0,3,2020-11-15 17:00:00+00:00,2.149,0.0462499999999999,1.9122,1,17976,2020-11-15 17:00:00+00:00,2.149,0.0,0.0,5.120000000000013,
BASELINE_MARKET,H1_SWING|BUY_SIDE|2021-01-06 07:00:00+00:00|2.0384|2736,BUY_SIDE,2021-01-06 10:00:00+00:00,2021-01-06 11:00:00+00:00,2021-01-06 12:00:00+00:00,2021-01-06 13:00:00+00:00,RECLAIM_FAILED_BEFORE_BOS,0,3,2021-01-06 12:00:00+00:00,2.0322,0.08390000000000009,1.9001,1,32892,2021-01-06 12:00:00+00:00,2.0322,0.0,0.0,1.5744934445768768,
BASELINE_MARKET,H1_SWING|BUY_SIDE|2021-01-09 03:00:00+00:00|3.2764|2804,BUY_SIDE,2021-01-09 04:00:00+00:00,2021-01-09 05:00:00+00:00,2021-01-09 06:00:00+00:00,2021-01-09 12:00:00+00:00,STRUCTURAL_LIQUIDITY_EVENT,1,3,2021-01-09 06:00:00+00:00,3.1347,0.20520000000000005,3.0043,1,33684,2021-01-09 06:00:00+00:00,3.1347,0.0,0.0,0.635477582846003,1.0492202729044835
BASELINE_MARKET,H1_SWING|BUY_SIDE|2021-01-15 14:00:00+00:00|3.3979|2959,BUY_SIDE,2021-01-15 14:00:00+00:00,2021-01-15 14:00:00+00:00,2021-01-15 15:00:00+00:00,2021-01-15 16:00:00+00:00,STRUCTURAL_LIQUIDITY_EVENT,1,3,2021-01-15 15:00:00+00:00,3.3056,0.08395000000000019,3.2354,1,35520,2021-01-15 15:00:00+00:00,3.3056,0.0,0.0,0.8362120309708172,0.04169148302560844
BASELINE_MARKET,H1_SWING|BUY_SIDE|2021-01-26 05:00:00+00:00|3.97|3214,BUY_SIDE,2021-01-26 11:00:00+00:00,2021-01-26 12:00:00+00:00,2021-01-26 13:00:00+00:00,2021-01-26 19:00:00+00:00,RECLAIM_NO_BOS_WITHIN_WINDOW,0,4,2021-01-26 13:00:00+00:00,3.8286,0.13949999999999996,3.7009,1,38664,2021-01-26 13:00:00+00:00,3.8286,0.0,0.0,0.915412186379928,
BASELINE_MARKET,H1_SWING|BUY_SIDE|2021-04-04 02:00:00+00:00|23.866|4843,BUY_SIDE,2021-04-04 06:00:00+00:00,2021-04-04 07:00:00+00:00,2021-04-04 08:00:00+00:00,2021-04-04 14:00:00+00:00,RECLAIM_FAILED_BEFORE_BOS,0,3,2021-04-04 08:00:00+00:00,23.8245,0.6487000000000016,22.5558,1,58188,2021-04-04 08:00:00+00:00,23.8245,0.0,0.0,1.9557576691845167,
BASELINE_MARKET,H1_SWING|BUY_SIDE|2021-05-05 13:00:00+00:00|45.8675|5598,BUY_SIDE,2021-05-05 19:00:00+00:00,2021-05-05 20:00:00+00:00,2021-05-05 21:00:00+00:00,2021-05-06 02:00:00+00:00,STRUCTURAL_LIQUIDITY_EVENT,1,4,2021-05-05 21:00:00+00:00,45.1466,0.890749999999997,44.1186,1,67272,2021-05-05 21:00:00+00:00,45.1466,0.0,0.0,1.1540836373842291,0.27628403031153437
BASELINE_MARKET,H1_SWING|BUY_SIDE|2021-05-25 10:00:00+00:00|30.168|6075,BUY_SIDE,2021-05-25 22:00:00+00:00,2021-05-25 23:00:00+00:00,2021-05-26 00:00:00+00:00,2021-05-26 03:00:00+00:00,RECLAIM_FAILED_BEFORE_BOS,0,3,2021-05-26 00:00:00+00:00,30.003,1.2514999999999983,28.18,1,73068,2021-05-26 00:00:00+00:00,30.003,0.0,0.0,1.4566520175789077,
BASELINE_MARKET,H1_SWING|BUY_SIDE|2021-05-26 19:00:00+00:00|35.254|6108,BUY_SIDE,2021-05-26 22:00:00+00:00,2021-05-27 00:00:00+00:00,2021-05-27 01:00:00+00:00,2021-05-27 02:00:00+00:00,STRUCTURAL_LIQUIDITY_EVENT,1,3,2021-05-27 01:00:00+00:00,34.656,1.3379999999999992,32.724,1,73368,2021-05-27 01:00:00+00:00,34.656,0.0,0.0,1.4439461883408096,0.0037369207772814357
