policy,candidate_id,side,anatomy_score,assigned_route,outcome,event_label,entry_time,entry_i_5m,entry_price,range_unit,raw_stop,stop_price,initial_risk_range_units,outcome_known_time,stop_hit,stop_hit_i_5m,stop_hit_time,time_to_stop_min,same_entry_bar_stop_hit,positive_mae_over_stop
RECLAIM_EXTREME,H1_SWING|BUY_SIDE|2025-01-03 02:00:00+00:00|208.38|37603,BUY_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,RECLAIM_FAILED_BEFORE_BOS,0,2025-01-03 07:10:00+00:00,451298,207.3,1.7549999999999955,209.87,209.87,1.4643874643874644,2025-01-03 10:00:00+00:00,1,451322,2025-01-03 09:10:00+00:00,120.0,0,
RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2025-01-03 23:00:00+00:00|215.7|37624,SELL_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,RECLAIM_FAILED_BEFORE_BOS,0,2025-01-04 06:30:00+00:00,451578,217.72,1.8049999999999926,215.58,215.58,1.1855955678670334,2025-01-04 16:00:00+00:00,1,451601,2025-01-04 08:25:00+00:00,115.0,0,
RECLAIM_EXTREME,H1_SWING|BUY_SIDE|2025-01-11 04:00:00+00:00|188.71|37797,BUY_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,RECLAIM_NO_BOS_WITHIN_WINDOW,0,2025-01-12 00:10:00+00:00,453806,187.59,1.5350000000000108,190.97,190.97,2.2019543973941182,2025-01-12 14:00:00+00:00,0,-1,,,0,
RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2025-01-11 20:00:00+00:00|185.55|37813,SELL_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,STRUCTURAL_LIQUIDITY_EVENT,1,2025-01-12 08:10:00+00:00,453902,186.69,1.4500000000000028,185.47,185.47,0.8413793103448252,2025-01-12 16:00:00+00:00,1,453918,2025-01-12 09:30:00+00:00,80.0,0,1.3524590163934485
RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2025-01-20 20:00:00+00:00|234.51|38029,SELL_SIDE,4,SCORE4_GAP25,RECLAIM_NO_BOS_WITHIN_WINDOW,0,2025-01-21 03:00:00+00:00,456432,238.58249999999998,8.210000000000008,232.01,232.01,0.8005481120584634,2025-01-21 18:00:00+00:00,1,456451,2025-01-21 04:35:00+00:00,95.0,0,
RECLAIM_EXTREME,H1_SWING|BUY_SIDE|2025-01-22 10:00:00+00:00|259.68|38067,BUY_SIDE,4,SCORE4_GAP25,RECLAIM_FAILED_BEFORE_BOS,0,2025-01-22 15:10:00+00:00,456866,256.8825,4.0849999999999795,262.49,262.49,1.372705018359864,2025-01-22 20:00:00+00:00,1,456919,2025-01-22 19:35:00+00:00,265.0,0,
RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2025-01-23 13:00:00+00:00|242.2|38094,SELL_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,STRUCTURAL_LIQUIDITY_EVENT,1,2025-01-23 14:35:00+00:00,457147,249.3,4.345000000000013,242.01,242.01,1.677790563866513,2025-01-23 15:00:00+00:00,0,-1,,,0,0.027434842249659325
RECLAIM_EXTREME,H1_SWING|BUY_SIDE|2025-01-28 08:00:00+00:00|243.77|38209,BUY_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,STRUCTURAL_LIQUIDITY_EVENT,1,2025-01-30 17:40:00+00:00,459200,240.25,3.3349999999999937,244.59,244.59,1.3013493253373347,2025-01-31 04:00:00+00:00,0,-1,,,0,0.42165898617511777
RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2025-02-03 11:00:00+00:00|193.22|38356,SELL_SIDE,4,SCORE4_GAP25,STRUCTURAL_LIQUIDITY_EVENT,1,2025-02-03 15:00:00+00:00,460320,198.01250000000002,7.4765000000000015,189.72,189.72,1.1091419781983571,2025-02-03 16:00:00+00:00,0,-1,,,0,0.025625565269822757
RECLAIM_EXTREME,H1_SWING|SELL_SIDE|2025-02-15 20:00:00+00:00|193.2|38653,SELL_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,RECLAIM_NO_BOS_WITHIN_WINDOW,0,2025-02-15 22:05:00+00:00,463861,194.34,1.5049999999999955,193.12,193.12,0.810631229235882,2025-02-16 13:00:00+00:00,1,463924,2025-02-16 03:20:00+00:00,315.0,0,
RECLAIM_EXTREME,H1_SWING|BUY_SIDE|2025-02-22 16:00:00+00:00|174.56|38817,BUY_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,STRUCTURAL_LIQUIDITY_EVENT,1,2025-02-22 17:05:00+00:00,465817,172.33,1.6550000000000011,174.67,174.67,1.4138972809667514,2025-02-22 21:00:00+00:00,0,-1,,,0,0.7350427350427424
