group,feature,n,wins,losses,winner_median,loser_median,median_diff,auc,spearman_r,year
YEAR_2021,oi_value,4,3,1,188500711.46258736,189669733.6252485,-1169022.1626611352,0.3333333333333333,0.19999999999999998,2021
YEAR_2023,oi_value,43,26,17,124381436.0175981,118400148.716,5981287.301598087,0.5248868778280543,0.11411188208501394,2023
YEAR_2024,oi_value,50,32,18,671118380.9171019,738051196.2438989,-66932815.32679701,0.4114583333333333,-0.09691352051610434,2024
YEAR_2025,oi_value,52,30,22,1421744863.4080694,1494732642.0570922,-72987778.64902282,0.5,0.05492217445426236,2025
YEAR_2026,oi_value,39,24,15,804069458.8277,874451891.353954,-70382432.52625394,0.46111111111111114,0.11741200798689705,2026
YEAR_2021,top_position_ratio,4,3,1,0.9163641973,0.9897402778,-0.0733760805,0.0,-0.39999999999999997,2021
YEAR_2023,top_position_ratio,43,26,17,1.1658240230999999,1.2321762001,-0.06635217700000018,0.4592760180995475,-0.03585482633818744,2023
YEAR_2024,top_position_ratio,50,32,18,2.038327975,2.1655631599999996,-0.12723518499999953,0.4409722222222222,-0.1307966354975534,2024
YEAR_2025,top_position_ratio,52,30,22,2.33323,2.3037365,0.02949350000000006,0.48484848484848486,0.05170679398779447,2025
YEAR_2026,top_position_ratio,39,24,15,1.6788764999999999,1.628868,0.0500084999999999,0.5361111111111111,0.10909147198782561,2026
YEAR_2021,top_account_ratio,4,3,1,4.366555183946488,3.101252876502173,1.265302307444315,0.6666666666666666,0.0,2021
YEAR_2023,top_account_ratio,43,26,17,1.7728149460245146,1.65797309,0.11484185602451458,0.45248868778280543,-0.0801277423383841,2023
YEAR_2024,top_account_ratio,50,32,18,2.68223262,3.1615225149999997,-0.4792898949999995,0.3402777777777778,-0.329994199077254,2024
YEAR_2025,top_account_ratio,52,30,22,3.05437575,3.57071538,-0.51633963,0.3803030303030303,-0.22968244791553072,2025
YEAR_2026,top_account_ratio,39,24,15,2.7839907999999998,2.60860345,0.17538734999999983,0.475,0.13847015465121368,2026
YEAR_2021,global_account_ratio,4,3,1,5.0102669404517455,3.1927279952314724,1.817538945220273,0.6666666666666666,0.0,2021
YEAR_2023,global_account_ratio,43,26,17,1.828925265198545,1.81731431,0.011610955198545048,0.4457013574660634,-0.08199842892994172,2023
YEAR_2024,global_account_ratio,50,32,18,2.5848738850000004,3.3054341799999998,-0.7205602949999994,0.3020833333333333,-0.34478754754898183,2024
YEAR_2025,global_account_ratio,52,30,22,2.751396635,3.221803585,-0.4704069500000001,0.396969696969697,-0.1920538062403795,2025
YEAR_2026,global_account_ratio,39,24,15,2.5111792250000002,2.35356632,0.15761290500000014,0.5111111111111111,0.20657528264361327,2026
YEAR_2021,taker_ratio,4,3,1,1.0319682407,1.5795174791,-0.5475492384,0.0,-0.7999999999999999,2021
YEAR_2023,taker_ratio,43,26,17,1.0062988793,0.97134444,0.034954439300000084,0.5339366515837104,0.18753633080364995,2023
YEAR_2024,taker_ratio,50,32,18,0.936471,1.1133245,-0.1768535,0.4322916666666667,-0.0310025619787034,2024
YEAR_2025,taker_ratio,52,30,22,0.8995245000000001,0.9256955,-0.026170999999999944,0.4696969696969697,-0.11358114242360905,2025
YEAR_2026,taker_ratio,39,24,15,1.037739,1.282077,-0.24433799999999994,0.4,-0.10981053065441203,2026
YEAR_2021,oi_change_1h,4,3,1,-0.008092022348809902,0.015385893518133242,-0.023477915866943144,0.0,-0.7999999999999999,2021
YEAR_2023,oi_change_1h,43,26,17,0.002771245184037485,-5.393618680937795e-05,0.002825181370846863,0.5678733031674208,0.08168664783134878,2023
YEAR_2024,oi_change_1h,50,32,18,-0.003761884094950152,0.0030266229231659114,-0.006788507018116063,0.4496527777777778,-0.002050563154496918,2024
YEAR_2025,oi_change_1h,52,30,22,0.006308272018854533,0.002607034003004105,0.0037012380158504277,0.5121212121212121,-0.031632391616062495,2025
YEAR_2026,oi_change_1h,39,24,15,0.002773632127517023,0.0026206810881568288,0.00015295103936019405,0.4638888888888889,0.06348260799291547,2026
YEAR_2021,oi_change_4h,4,3,1,-0.001187432710624492,0.013150086118350668,-0.01433751882897516,0.3333333333333333,0.39999999999999997,2021
YEAR_2023,oi_change_4h,43,26,17,0.0016230054867768517,0.00642545280060447,-0.004802447313827618,0.4095022624434389,-0.18831578355013226,2023
YEAR_2024,oi_change_4h,50,32,18,7.915196635155386e-05,-0.004568100249852269,0.004647252216203823,0.6267361111111112,0.18552714254972114,2024
YEAR_2025,oi_change_4h,52,30,22,5.3985245463405995e-05,-0.0017104729247852113,0.0017644581702486173,0.5333333333333333,0.14895032755475585,2025
YEAR_2026,oi_change_4h,39,24,15,-0.004006582735988529,0.0008967630657950032,-0.004903345801783532,0.39166666666666666,-0.22773615197458508,2026
YEAR_2021,taker_log,4,3,1,0.031467892070321926,0.45711940742226104,-0.4256515153519391,0.0,-0.7999999999999999,2021
YEAR_2023,taker_log,43,26,17,0.006272738427629283,-0.02907414650611123,0.03534688493374051,0.5339366515837104,0.18753633080364995,2023
YEAR_2024,taker_log,50,32,18,-0.06603841499435642,0.10728120003810819,-0.17331961503246462,0.4322916666666667,-0.0310025619787034,2024
YEAR_2025,taker_log,52,30,22,-0.10618997137432776,-0.07732252691247381,-0.02886744446185395,0.4696969696969697,-0.11358114242360905,2025
YEAR_2026,taker_log,39,24,15,0.03694674787222192,0.24848141909730045,-0.21153467122507852,0.4,-0.10981053065441203,2026
YEAR_2021,global_log,4,3,1,1.6114891952046577,1.1608757222653932,0.45061347293926457,0.6666666666666666,0.0,2021
YEAR_2023,global_log,43,26,17,0.6035627554101526,0.597359757393121,0.0062029980170316135,0.4457013574660634,-0.08199842892994172,2023
YEAR_2024,global_log,50,32,18,0.9496747700839115,1.1955295401112798,-0.24585477002736822,0.3020833333333333,-0.34478754754898183,2024
YEAR_2025,global_log,52,30,22,1.0118993100812828,1.1699274249046234,-0.15802811482334067,0.396969696969697,-0.1920538062403795,2025
YEAR_2026,global_log,39,24,15,0.9204583337217616,0.8559317607694452,0.06452657295231634,0.5111111111111111,0.20657528264361327,2026
YEAR_2021,top_position_log,4,3,1,-0.08734139802239888,-0.010312715928708754,-0.07702868209369013,0.0,-0.39999999999999997,2021
YEAR_2023,top_position_log,43,26,17,0.1534280173185636,0.2087818744466939,-0.05535385712813032,0.4592760180995475,-0.03585482633818744,2023
YEAR_2024,top_position_log,50,32,18,0.7121297207642674,0.7726446872976998,-0.06051496653343236,0.4409722222222222,-0.1307966354975534,2024
YEAR_2025,top_position_log,52,30,22,0.847197264326478,0.8334398603097721,0.013757404016705888,0.48484848484848486,0.05170679398779447,2025
YEAR_2026,top_position_log,39,24,15,0.5179303420345208,0.4878852950291437,0.030045047005377135,0.5361111111111111,0.10909147198782561,2026
YEAR_2021,sweep_taker_pressure,4,3,1,0.031467892070321926,-0.45711940742226104,0.48858729949258295,1.0,0.39999999999999997,2021
YEAR_2023,sweep_taker_pressure,43,26,17,-0.09695181722157767,-0.17992770214222017,0.0829758849206425,0.5316742081447964,-0.0020265771408540727,2023
YEAR_2024,sweep_taker_pressure,50,32,18,-0.25267512391930086,-0.3146035497111749,0.06192842579187402,0.53125,0.00419877217349369,2024
YEAR_2025,sweep_taker_pressure,52,30,22,-0.2898981086643956,-0.37270503364248597,0.08280692497809039,0.5757575757575758,0.09168179438171961,2025
YEAR_2026,sweep_taker_pressure,39,24,15,-0.5108744795406528,-0.3234515745576383,-0.1874229049830145,0.32222222222222224,-0.18253817864629576,2026
YEAR_2021,sweep_crowd_pressure,4,3,1,1.6114891952046577,-1.1608757222653932,2.7723649174700506,1.0,0.39999999999999997,2021
YEAR_2023,sweep_crowd_pressure,43,26,17,-0.14498795090947872,0.03473392215923372,-0.17972187306871243,0.48642533936651583,0.03647838853537331,2023
YEAR_2024,sweep_crowd_pressure,50,32,18,0.7416985689750328,-0.9271992180751298,1.6688977870501627,0.609375,0.13577657458704595,2024
YEAR_2025,sweep_crowd_pressure,52,30,22,-0.9352826241290859,-0.817663752931361,-0.11761887119772496,0.44242424242424244,0.0018249456701574518,2025
YEAR_2026,sweep_crowd_pressure,39,24,15,-0.7226360325580155,-0.30469468627751356,-0.4179413462805019,0.5055555555555555,-0.033898479996217,2026
YEAR_2021,sweep_top_position_pressure,4,3,1,-0.08734139802239888,0.010312715928708754,-0.09765411395110762,0.0,-0.39999999999999997,2021
