half,n,event_rate,win_rate,mean_r,median_r,pf_r,cum_r,max_dd_r,max_loss_streak,median_hold_min,stop_rate,structural_exit_rate
2020-H2,8,0.875,0.75,0.6085665789212613,0.8797355000773661,3.434266315685045,4.8685326313700905,1.0,1,225.0,0.25,0.75
2021-H1,27,0.5185185185185185,0.5185185185185185,0.05086072276625669,0.0203750868256543,1.1113999845936469,1.3732395146889305,5.458659720444345,5,130.0,0.4444444444444444,0.5555555555555556
2021-H2,24,0.5416666666666666,0.5416666666666666,-0.007434206994492108,0.19161094154693456,0.9827550647055106,-0.1784209678678106,5.060819784270565,4,230.0,0.4166666666666667,0.5833333333333334
2022-H1,16,0.5,0.5625,0.06863175926991273,0.12501893652476853,1.2209496533221367,1.0981081483186037,2.90386702461873,3,365.0,0.25,0.75
2022-H2,25,0.64,0.52,0.14418512180765847,0.5128205128205133,1.3484266971049097,3.6046280451914616,6.513851283375695,6,180.0,0.4,0.6
2023-H1,28,0.6428571428571429,0.6428571428571429,0.25126035213607784,0.32482753334355374,1.7748821627582398,7.035289859810179,4.911675622862709,3,160.0,0.32142857142857145,0.6785714285714286
2023-H2,19,0.5263157894736842,0.47368421052631576,-0.16686836238354405,-1.0,0.6829501114712663,-3.170498885287337,5.596811781370473,3,185.0,0.5263157894736842,0.47368421052631576
2024-H1,31,0.6774193548387096,0.6451612903225806,0.2080976769541287,0.299016772700981,1.6448697131193222,6.45102798557799,2.628586897671906,2,175.0,0.3225806451612903,0.6774193548387096
2024-H2,24,0.7083333333333334,0.5833333333333334,0.21316055472963605,0.17021022350705928,1.5594094097795275,5.115853313511265,3.180572623375973,2,180.0,0.375,0.625
2025-H1,21,0.5714285714285714,0.5238095238095238,0.08291931240938812,0.04861111111111632,1.2339197373553095,1.7413055605971504,4.103550295857987,5,120.0,0.3333333333333333,0.6666666666666666
2025-H2,36,0.6388888888888888,0.5555555555555556,0.0791160629513019,0.19829574751010842,1.1985601786126423,2.8481782662468684,2.974365079365075,3,112.5,0.3888888888888889,0.6111111111111112
2026-H1,27,0.7777777777777778,0.6296296296296297,0.32799877094854923,0.3660130718954295,2.0931219636667056,8.855966815610829,3.9958033706701226,2,105.0,0.25925925925925924,0.7407407407407407
2026-H2,16,0.5625,0.5625,-0.07209600968717256,0.13844494558289755,0.8220381024822209,-1.153536154994761,4.0,4,150.0,0.375,0.625
