candidate_id,side,anatomy_score,assigned_route,event_label,outcome,entry_time,entry_price,initial_risk_price,outcome_known_time,exit_type_norm,exit_time,exit_price,realized_r,time_to_exit_min,hybrid_route
H1_SWING|BUY_SIDE|2025-01-03 02:00:00+00:00|208.38|37603,BUY_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,0,RECLAIM_FAILED_BEFORE_BOS,2025-01-03 07:10:00+00:00,207.3,2.569999999999993,2025-01-03 10:00:00+00:00,SL,2025-01-03 09:10:00+00:00,209.87,-1.0,120.0,SCORE3_STRUCTURAL_COMPLETION
H1_SWING|SELL_SIDE|2025-01-03 23:00:00+00:00|215.7|37624,SELL_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,0,RECLAIM_FAILED_BEFORE_BOS,2025-01-04 06:30:00+00:00,217.72,2.1399999999999864,2025-01-04 16:00:00+00:00,SL,2025-01-04 08:25:00+00:00,215.58,-1.0,115.0,SCORE3_STRUCTURAL_COMPLETION
H1_SWING|BUY_SIDE|2025-01-11 04:00:00+00:00|188.71|37797,BUY_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,0,RECLAIM_NO_BOS_WITHIN_WINDOW,2025-01-12 00:10:00+00:00,187.59,3.3799999999999955,2025-01-12 14:00:00+00:00,TIME_EXIT,2025-01-12 14:00:00+00:00,187.94,-0.10355029585798663,830.0,SCORE3_STRUCTURAL_COMPLETION
H1_SWING|SELL_SIDE|2025-01-11 20:00:00+00:00|185.55|37813,SELL_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,1,STRUCTURAL_LIQUIDITY_EVENT,2025-01-12 08:10:00+00:00,186.69,1.2199999999999989,2025-01-12 16:00:00+00:00,SL,2025-01-12 09:30:00+00:00,185.47,-1.0,80.0,SCORE3_STRUCTURAL_COMPLETION
H1_SWING|SELL_SIDE|2025-01-20 20:00:00+00:00|234.51|38029,SELL_SIDE,4,SCORE4_GAP25,0,RECLAIM_NO_BOS_WITHIN_WINDOW,2025-01-21 03:00:00+00:00,238.58249999999998,6.572499999999991,2025-01-21 18:00:00+00:00,SL,2025-01-21 04:35:00+00:00,232.01,-1.0,95.0,SCORE4_FIXED_150R
H1_SWING|BUY_SIDE|2025-01-22 10:00:00+00:00|259.68|38067,BUY_SIDE,4,SCORE4_GAP25,0,RECLAIM_FAILED_BEFORE_BOS,2025-01-22 15:10:00+00:00,256.8825,5.607500000000016,2025-01-22 20:00:00+00:00,SL,2025-01-22 19:35:00+00:00,262.49,-1.0,265.0,SCORE4_FIXED_150R
H1_SWING|SELL_SIDE|2025-01-23 13:00:00+00:00|242.2|38094,SELL_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,1,STRUCTURAL_LIQUIDITY_EVENT,2025-01-23 14:35:00+00:00,249.3,7.2900000000000205,2025-01-23 15:00:00+00:00,TIME_EXIT,2025-01-23 15:00:00+00:00,251.31,0.27572016460905147,25.0,SCORE3_STRUCTURAL_COMPLETION
H1_SWING|BUY_SIDE|2025-01-28 08:00:00+00:00|243.77|38209,BUY_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,1,STRUCTURAL_LIQUIDITY_EVENT,2025-01-30 17:40:00+00:00,240.25,4.340000000000003,2025-01-31 04:00:00+00:00,TIME_EXIT,2025-01-31 04:00:00+00:00,235.84,1.016129032258063,620.0,SCORE3_STRUCTURAL_COMPLETION
H1_SWING|SELL_SIDE|2025-02-03 11:00:00+00:00|193.22|38356,SELL_SIDE,4,SCORE4_GAP25,1,STRUCTURAL_LIQUIDITY_EVENT,2025-02-03 15:00:00+00:00,198.01250000000002,8.292500000000018,2025-02-03 16:00:00+00:00,TIME_EXIT,2025-02-03 16:00:00+00:00,206.9,1.0717515827554982,60.0,SCORE4_FIXED_150R
H1_SWING|SELL_SIDE|2025-02-15 20:00:00+00:00|193.2|38653,SELL_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,0,RECLAIM_NO_BOS_WITHIN_WINDOW,2025-02-15 22:05:00+00:00,194.34,1.2199999999999989,2025-02-16 13:00:00+00:00,SL,2025-02-16 03:20:00+00:00,193.12,-1.0,315.0,SCORE3_STRUCTURAL_COMPLETION
H1_SWING|BUY_SIDE|2025-02-22 16:00:00+00:00|174.56|38817,BUY_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,1,STRUCTURAL_LIQUIDITY_EVENT,2025-02-22 17:05:00+00:00,172.33,2.339999999999975,2025-02-22 21:00:00+00:00,TIME_EXIT,2025-02-22 21:00:00+00:00,172.35,-0.008547008547000865,235.0,SCORE3_STRUCTURAL_COMPLETION
H1_SWING|SELL_SIDE|2025-02-23 18:00:00+00:00|166.51|38843,SELL_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,0,RECLAIM_FAILED_BEFORE_BOS,2025-02-23 23:15:00+00:00,168.31,1.990000000000009,2025-02-24 02:00:00+00:00,SL,2025-02-24 01:00:00+00:00,166.32,-1.0,105.0,SCORE3_STRUCTURAL_COMPLETION
H1_SWING|SELL_SIDE|2025-04-04 07:00:00+00:00|114.65|39792,SELL_SIDE,3,SCORE3_FIVE_MIN_REVERSAL_BREAK,1,STRUCTURAL_LIQUIDITY_EVENT,2025-04-04 14:30:00+00:00,117.02,3.1199999999999903,2025-04-04 16:00:00+00:00,TIME_EXIT,2025-04-04 16:00:00+00:00,118.54,0.48717948717949194,90.0,SCORE3_STRUCTURAL_COMPLETION
