feature,development_delta_D,development_low_n,development_high_n,validation_2025_delta_D,validation_2025_low_n,validation_2025_high_n,validation_2026_delta_D,validation_2026_low_n,validation_2026_high_n,classification,same_sign_all
quotevol_15m,0.0005009968260149544,14035,14036,0.014079747322254116,74,16515,-0.014791932546950687,1736,4315,NON_INFORMATIVE,False
quotevol_ratio_1h,0.0015675097969362617,14035,14035,-0.003989095514569496,7236,7042,0.013642436805325897,6195,5337,NON_INFORMATIVE,False
quotevol_z_24h,-0.031847258659929156,14035,14036,-0.010900438454567118,7037,7016,0.05297630678043788,4423,4949,UNSTABLE_OR_WEAK,False
trades_ratio_1h,-0.00021375133594586648,14035,14035,0.0017187133939435273,5376,6301,-0.0038847223037901113,4327,4612,NON_INFORMATIVE,False
taker_buy_ratio_15m,-0.004488778054862863,14035,14035,-0.005457965465673453,9566,9213,8.017709521185301e-05,7247,7533,NON_INFORMATIVE,False
taker_imb_15m,-0.004488778054862863,14035,14035,-0.005457965465673453,9566,9213,8.017709521185301e-05,7247,7533,NON_INFORMATIVE,False
taker_imb_1h,0.042251514071962926,14035,14035,-0.007223393134156597,9851,9090,0.0024735475046692157,7186,7988,UNSTABLE_OR_WEAK,False
taker_imb_change_1h,-0.025935258557529317,14034,14035,-0.024204046955527136,9135,9272,0.000440116730548501,7320,7241,UNSTABLE_OR_WEAK,False
loc_24h,0.09668387452571192,14035,14036,0.051160535490602066,9070,7522,0.13183877753367024,6412,4968,REPLICATED_DIRECTIONAL,True
dist_high_24h,0.06989410811204289,14035,14036,0.03690673314563497,7103,8342,0.06975380308923607,2783,8283,REPLICATED_DIRECTIONAL,True
dist_low_24h,0.06148865206198367,14035,14036,0.050348878732859426,8897,5171,0.09207681998498984,9327,2000,REPLICATED_DIRECTIONAL,True
breakout_up_24h,-0.04786901106936409,68911,422,0.045098770704378344,34335,178,0.048814343551185635,25194,105,UNSTABLE_OR_WEAK,False
breakout_down_24h,0.06962843716988903,69304,291,-0.16844607602903577,34407,174,-0.12061907970353936,25231,100,UNSTABLE_OR_WEAK,False
oi_value,-0.01803664361588364,14027,14027,-0.3503595053206787,6,34770,-0.0990049384183089,859,10698,UNSTABLE_OR_WEAK,True
oi_chg_15m,0.14885877318116975,14020,14020,0.40055855165069215,6250,5634,0.38348558237545083,3104,2818,REPLICATED_DIRECTIONAL,True
oi_chg_1h,0.06776807123683143,14018,14019,0.2278724833884977,6182,5720,0.20570453369294234,3260,2857,REPLICATED_DIRECTIONAL,True
oi_chg_4h,0.05850456621004568,14016,14016,0.16894105054571412,6272,5546,0.03268739912224872,3297,2874,REPLICATED_DIRECTIONAL,True
funding_rate,-0.06435120373272091,14025,38428,0.028521816009236423,14228,6811,0.11886437939730155,14562,2910,UNSTABLE_OR_WEAK,False
funding_z_30,-0.013070606052991651,14025,14046,0.05250231449287429,8113,8415,0.09389078242132715,7628,5757,UNSTABLE_OR_WEAK,False
funding_change,-0.03747185364396788,14018,14042,-0.0472004635864397,8505,8392,0.03876635103185255,5765,5840,UNSTABLE_OR_WEAK,False
