contrast,pair,left_cell,right_cell,development_left_n,development_right_n,development_left_D,development_right_D,development_delta_D,validation_2025_left_n,validation_2025_right_n,validation_2025_left_D,validation_2025_right_D,validation_2025_delta_D,validation_2026_left_n,validation_2026_right_n,validation_2026_left_D,validation_2026_right_D,validation_2026_delta_D,classification
A_OI_at_high_location,oi_chg_15m__X__loc_24h,HIGH|HIGH,LOW|HIGH,9365,7086,0.07549386011745862,-0.025261078182331365,0.10075493829978999,3966,3469,0.11926374180534544,-0.16258287690977224,0.2818466187151177,2276,2179,0.14059753954305798,-0.1000458926112896,0.24064343215434758,REPLICATED_CONDITIONAL
B_OI_at_low_location,oi_chg_15m__X__loc_24h,HIGH|LOW,LOW|LOW,6976,8405,0.009030963302752326,-0.11076740035693039,0.11979836365968272,3739,4527,0.0837122225193902,-0.18798321184007066,0.27169543435946086,2098,2602,0.043374642516682604,-0.18524212144504226,0.22861676396172487,REPLICATED_CONDITIONAL
C_OI_on_up_breakout,oi_chg_15m__X__breakout_up_24h,HIGH|POSITIVE,LOW|POSITIVE,964,141,-0.02074688796680496,-0.11347517730496448,0.09272828933815952,495,89,0.10303030303030303,-0.3033707865168539,0.4064010895471569,265,74,0.08679245283018872,-0.2837837837837838,0.37057623661397254,WEAK_OR_UNSTABLE
D_OI_on_down_breakout,oi_chg_15m__X__breakout_down_24h,HIGH|POSITIVE,LOW|POSITIVE,117,656,0.26495726495726496,-0.041158536585365835,0.3061158015426308,126,379,0.12698412698412698,-0.16094986807387857,0.28793399505800554,63,243,0.19047619047619047,-0.16049382716049382,0.3509700176366843,WEAK_OR_UNSTABLE
E_UPimpulse_OI,impulse5m_prev__X__oi_chg_15m,UP_IMPULSE|HIGH,UP_IMPULSE|LOW,1587,345,0.08317580340264658,-0.12173913043478257,0.20491493383742915,588,106,0.07653061224489799,-0.490566037735849,0.567096649980747,224,41,0.008928571428571452,-0.34146341463414637,0.3503919860627178,WEAK_OR_UNSTABLE
F_DOWNimpulse_OI,impulse5m_prev__X__oi_chg_15m,DOWN_IMPULSE|HIGH,DOWN_IMPULSE|LOW,233,1569,0.15879828326180262,-0.03250478011472274,0.19130306337652536,84,607,0.38095238095238093,-0.10378912685337732,0.48474150780575825,36,197,0.05555555555555558,-0.09137055837563446,0.14692611393119004,WEAK_OR_UNSTABLE
G_aggressive_buy_OI,oi_chg_15m__X__taker_imb_15m,HIGH|HIGH,LOW|HIGH,12655,3023,0.03611220861319636,-0.17697651339728748,0.21308872201048384,5449,2439,0.08313452009543032,-0.22878228782287824,0.31191680791830856,3235,1595,0.08006182380216381,-0.16927899686520378,0.2493408206673676,REPLICATED_CONDITIONAL
H_aggressive_sell_OI,oi_chg_15m__X__taker_imb_15m,HIGH|LOW,LOW|LOW,2980,13357,0.06946308724832212,-0.044620798083401914,0.11408388533172403,2332,6167,0.145368782161235,-0.1175612129074104,0.2629299950686454,1348,3712,0.15652818991097928,-0.12203663793103448,0.27856482784201375,REPLICATED_CONDITIONAL
I_volume_expansion_OI,oi_chg_15m__X__quotevol_z_24h,HIGH|HIGH,LOW|HIGH,9136,9424,0.02419001751313482,-0.06271222410865873,0.08690224162179355,4220,4603,0.1137440758293839,-0.16663045839669788,0.2803745342260818,2698,2871,0.08747220163083763,-0.12330198537095088,0.21077418700178852,REPLICATED_CONDITIONAL
J1_highFunding_OI,oi_chg_15m__X__funding_z_30,HIGH|HIGH,LOW|HIGH,7640,7765,0.021073298429319376,-0.06748229233741143,0.08855559076673081,3516,3652,0.15585893060295786,-0.1234939759036145,0.27935290650657235,2011,2283,0.14470412729985083,-0.10337275514673677,0.2480768824465876,REPLICATED_CONDITIONAL
J2_lowFunding_OI,oi_chg_15m__X__funding_z_30,HIGH|LOW,LOW|LOW,7929,7807,0.0693656198764031,-0.08748558985525812,0.15685120973166122,3431,3742,0.10609151850772369,-0.156600748262961,0.2626922667706847,2352,2721,0.07525510204081631,-0.17640573318632854,0.2516608352271449,REPLICATED_CONDITIONAL
