contrast,partition,location,taker_bucket,oi_bucket,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
HIGHLOC_TAKERBUY_OI,development,HIGH,HIGH,HIGH,5317,0.4739514763964642,0.4049275907466616,0.06902388564980255,0.1198044009779951,0.001316531878879067,4.926836478280627e-05,0.012178130966509881,-0.01031659771404525
HIGHLOC_TAKERBUY_OI,development,HIGH,HIGH,LOW,1010,0.3613861386138614,0.5,-0.13861386138613863,0.13762376237623763,0.0009900990099009901,-0.001563994890714293,0.008823489473339663,-0.0111393121840489
HIGHLOC_TAKERBUY_OI,validation_2025,HIGH,HIGH,HIGH,2250,0.4662222222222222,0.3804444444444444,0.08577777777777779,0.1511111111111111,0.0022222222222222222,-0.00014509447976035483,0.01062270596162418,-0.00919006820214674
HIGHLOC_TAKERBUY_OI,validation_2025,HIGH,HIGH,LOW,738,0.2953929539295393,0.5257452574525745,-0.2303523035230352,0.17886178861788618,0.0,-0.002280331654845813,0.00687641248421933,-0.011731000679306658
HIGHLOC_TAKERBUY_OI,validation_2026,HIGH,HIGH,HIGH,1399,0.41029306647605435,0.30092923516797715,0.1093638313080772,0.28877769835596856,0.0,0.00023454907939490788,0.008563598995204424,-0.006989188598885976
HIGHLOC_TAKERBUY_OI,validation_2026,HIGH,HIGH,LOW,594,0.28114478114478114,0.3956228956228956,-0.11447811447811446,0.32323232323232326,0.0,-0.0010129645262080822,0.006015348957826738,-0.00851804678525031
HIGHLOC_TAKERSELL_OI,development,HIGH,LOW,HIGH,986,0.513184584178499,0.3620689655172414,0.1511156186612576,0.12474645030425964,0.0,0.0010775933251815362,0.012429549231857795,-0.009242284867725659
HIGHLOC_TAKERSELL_OI,development,HIGH,LOW,LOW,3783,0.4351044144858578,0.4253238170763944,0.00978059740946341,0.1387787470261697,0.0007930214115781126,4.564334291834449e-05,0.010738382590516071,-0.010656598180968091
HIGHLOC_TAKERSELL_OI,validation_2025,HIGH,LOW,HIGH,756,0.49867724867724866,0.3505291005291005,0.14814814814814814,0.14947089947089948,0.0013227513227513227,0.0008344064592002987,0.011570214204403517,-0.008707050010019757
HIGHLOC_TAKERSELL_OI,validation_2025,HIGH,LOW,LOW,1862,0.3469387755102041,0.47046186895810954,-0.12352309344790546,0.18152524167561762,0.0010741138560687433,-0.0021113079229957976,0.00792188629325219,-0.010488477968340126
HIGHLOC_TAKERSELL_OI,validation_2026,HIGH,LOW,HIGH,397,0.5138539042821159,0.24685138539042822,0.26700251889168763,0.23929471032745592,0.0,0.0009000000000001229,0.010612090202766655,-0.00615090213231273
HIGHLOC_TAKERSELL_OI,validation_2026,HIGH,LOW,LOW,1078,0.2894248608534323,0.36363636363636365,-0.07421150278293137,0.3469387755102041,0.0,-0.0003743652513665263,0.0065855119394439,-0.008057967236480834
