partition,regime,n,long_rate,short_rate,none_rate,ambiguous_rate,D,expansion_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
development,BULL,5360,0.4833955223880597,0.47388059701492535,0.03955223880597015,0.003171641791044776,0.009514925373134364,0.9604477611940299,0.003135193948087589,0.016205192961993964,-0.015210239953404148
development,BEAR,3412,0.41295427901524034,0.47567409144196954,0.11078546307151231,0.0005861664712778429,-0.0627198124267292,0.8892145369284877,-0.0013256384174919478,0.010574521948361504,-0.01230161189242085
development,SIDEWAYS,11728,0.2966405184174625,0.33509549795361526,0.36826398362892226,0.0,-0.03845497953615279,0.6317360163710777,-0.0004118050866887546,0.0062075614528211975,-0.006838827631474698
development,TRANSITION,47848,0.4285445577662598,0.4380120381207156,0.13304631332553085,0.0003970907874937301,-0.00946748035445577,0.8669536866744691,0.0003047640329394419,0.010438546086798395,-0.010554077401955575
validation_2025,BULL,2708,0.47156573116691286,0.48670605612998524,0.03877400295420975,0.0029542097488921715,-0.015140324963072382,0.9612259970457903,0.0026040537001821296,0.014696535998350302,-0.014741386815423974
validation_2025,BEAR,1920,0.4244791666666667,0.39739583333333334,0.17760416666666667,0.0005208333333333333,0.027083333333333348,0.8223958333333333,0.000845576620075561,0.010071694263183661,-0.009136358418358304
validation_2025,SIDEWAYS,6696,0.3003285543608124,0.3334826762246117,0.36589008363201914,0.0002986857825567503,-0.03315412186379929,0.6341099163679809,0.0,0.006426253600214871,-0.007167062872738383
validation_2025,TRANSITION,23716,0.4112413560465509,0.4271377972676674,0.16077753415415752,0.0008433125316242199,-0.015896441221116497,0.8392224658458425,0.0,0.009499344109121455,-0.00984133727124381
validation_2026,BULL,1932,0.39492753623188404,0.40734989648033126,0.1956521739130435,0.002070393374741201,-0.012422360248447228,0.8043478260869565,0.0007867611195051527,0.00989083550146208,-0.010243944419904671
validation_2026,BEAR,736,0.36141304347826086,0.4008152173913043,0.23777173913043478,0.0,-0.03940217391304346,0.7622282608695652,-0.000683483811962482,0.008357455716716089,-0.00922365924325902
validation_2026,SIDEWAYS,11400,0.22394736842105264,0.24403508771929824,0.5314035087719299,0.0006140350877192983,-0.0200877192982456,0.4685964912280701,0.0,0.005143616339033041,-0.005279904406960634
validation_2026,TRANSITION,11549,0.3500735994458395,0.3693826305307819,0.2804571824400381,8.658758334054896e-05,-0.01930903108494242,0.7195428175599619,-0.00014727540500747427,0.00763046736612627,-0.00827891791044788
