partition,trigger,onset_ts,entry_ts,side,onset_market_state,onset_regime,entry_price,exit_ts,exit_price,exit_reason,samebar_sl,hold_min,gross_return,net_return,net_pnl_usd
development,T0_ONSET,2023-01-20 02:15:00+00:00,2023-01-20 02:15:00+00:00,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,21.439,2023-01-20 04:45:00+00:00,21.22461,TP,False,150.0,0.01000000000000012,0.00850000000000012,4.25000000000006
development,T0_ONSET,2023-01-21 11:00:00+00:00,2023-01-21 11:00:00+00:00,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,25.082,2023-01-21 11:15:00+00:00,24.83118,SL,False,15.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,T0_ONSET,2023-01-21 12:00:00+00:00,2023-01-21 12:00:00+00:00,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,25.194,2023-01-21 12:10:00+00:00,25.44594,SL,False,10.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,T0_ONSET,2023-01-21 14:30:00+00:00,2023-01-21 14:30:00+00:00,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,25.23,2023-01-21 15:30:00+00:00,25.482300000000002,TP,False,60.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,T0_ONSET,2023-01-21 17:45:00+00:00,2023-01-21 17:45:00+00:00,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,25.568,2023-01-21 17:55:00+00:00,25.31232,SL,False,10.0,-0.01000000000000012,-0.01150000000000012,-5.7500000000000595
development,T0_ONSET,2023-01-26 02:45:00+00:00,2023-01-26 02:45:00+00:00,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,24.676,2023-01-26 03:10:00+00:00,24.92276,SL,False,25.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,T0_ONSET,2023-01-29 14:45:00+00:00,2023-01-29 14:45:00+00:00,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,24.555,2023-01-29 15:10:00+00:00,24.80055,TP,False,25.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,T0_ONSET,2023-01-29 22:00:00+00:00,2023-01-29 22:00:00+00:00,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,26.409,2023-01-29 23:00:00+00:00,26.14491,SL,False,60.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,T0_ONSET,2023-02-01 21:00:00+00:00,2023-02-01 21:00:00+00:00,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,24.575,2023-02-01 21:10:00+00:00,24.82075,TP,False,10.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,T0_ONSET,2023-02-01 23:00:00+00:00,2023-02-01 23:00:00+00:00,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,24.952,2023-02-01 23:35:00+00:00,25.201520000000002,TP,False,35.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,T0_ONSET,2023-02-02 00:00:00+00:00,2023-02-02 00:00:00+00:00,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,25.014,2023-02-02 00:25:00+00:00,25.26414,TP,False,25.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,T0_ONSET,2023-02-02 02:45:00+00:00,2023-02-02 02:45:00+00:00,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,25.265,2023-02-02 06:15:00+00:00,25.01235,SL,False,210.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,T0_ONSET,2023-02-02 07:00:00+00:00,2023-02-02 07:00:00+00:00,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,24.873,2023-02-02 11:00:00+00:00,24.915,TIME,False,240.0,-0.0016885779761186548,-0.003188577976118655,-1.5942889880593274
development,T0_ONSET,2023-02-02 13:45:00+00:00,2023-02-02 13:45:00+00:00,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,24.972,2023-02-02 14:25:00+00:00,25.22172,TP,False,40.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,T0_ONSET,2023-02-04 13:15:00+00:00,2023-02-04 13:15:00+00:00,LONG,HIGHLOC_BUY_BUILD,SIDEWAYS,24.807,2023-02-04 16:25:00+00:00,24.55893,SL,False,190.0,-0.009999999999999898,-0.011499999999999897,-5.7499999999999485
development,T0_ONSET,2023-02-04 18:00:00+00:00,2023-02-04 18:00:00+00:00,LONG,HIGHLOC_BUY_BUILD,SIDEWAYS,24.723,2023-02-04 22:00:00+00:00,24.657,TIME,False,240.0,-0.002669578934595296,-0.004169578934595295,-2.084789467297648
