horizon,feature,standardized_coef
H5,progress_5m,-0.2122491045153946
H5,mfe_5m,0.2879819121638659
H5,mae_5m,0.06267752323278543
H5,efficiency_5m,0.14007667743095067
H5,mfe_mae_ratio_5m,-0.09349559294068636
H5,INTERCEPT,-0.41420673356161586
H15,progress_5m,-0.2338696821179842
H15,mfe_5m,0.21515057277607771
H15,mae_5m,0.029207061800029476
H15,efficiency_5m,0.22421603602787513
H15,mfe_mae_ratio_5m,-0.12859644658337285
H15,progress_15m,0.038339731247372756
H15,mfe_15m,0.0341108766373984
H15,mae_15m,0.04293168759391155
H15,efficiency_15m,-0.07639019395184085
H15,mfe_mae_ratio_15m,0.09940119432885684
H15,progress_accel_5to15,0.22158095702233718
H15,mfe_gain_5to15,-0.13861369250785624
H15,mae_gain_5to15,0.03587086103595395
H15,INTERCEPT,-0.4536771650889092
