role,partition,dev_block,execution_start,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,signal_ts,confirm_ts,reentry_ts,reentry_price,reentry_R,exit_ts,exit_price,exit_reason,floor_close_ts,recovery_pnl,recovery_pnl_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps,ref_width_pct,parent_mfe_R,parent_mae_R,parent_hold_min,exit_to_signal_min,signal_to_confirm_min,confirm_to_e20_min,confirm_close_R,confirm_body_R,running_mfe_R_to_confirm,running_mae_R_to_confirm,preconfirm_30m_return_R,preexit_60m_return_R,preexit_60m_range_R,preentry_30m_return_R,preentry_30m_range_R,preentry_60m_return_R,preentry_60m_range_R,last_completed_close_R_before_e20,lane,scope
CENTRAL,development,0,2022-01-01 15:00:00+00:00,173.37,170.52,2.8499999999999943,2022-01-01 15:25:00+00:00,2022-01-01 15:50:00+00:00,-0.2018803714598505,-0.4518803714598505,2022-01-01 16:00:00+00:00,2022-01-01 16:10:00+00:00,2022-01-01 16:15:00+00:00,173.94,0.2,2022-01-01 16:25:00+00:00,174.51,TARGET,,1.6384960331148335,1.3884960331148335,1.436615661654983,0.936615661654983,True,True,0.016438830247447623,0.30526315789473907,0.12631578947368924,25.0,10.0,10.0,5.0,0.2561403508771899,-0.06315789473684462,0.3964912280701746,0.12631578947368924,0.17543859649122842,0.30526315789473907,0.7157894736842191,0.27368421052631675,0.5228070175438638,0.3894736842105219,0.6912280701754395,0.2561403508771899,G_MAE145,DEVELOPMENT_FROZEN
CENTRAL,development,0,2022-01-06 15:00:00+00:00,151.09,146.22,4.8700000000000045,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,-1.0920643325170731,-1.3420643325170731,2022-01-06 17:25:00+00:00,2022-01-06 17:35:00+00:00,2022-01-06 17:40:00+00:00,152.064,0.2,2022-01-06 18:10:00+00:00,153.038,TARGET,,3.2025989057239412,2.9525989057239412,2.110534573206868,1.610534573206868,True,True,0.03223244423853335,0.09445585215605905,0.14168377823408565,10.0,10.0,10.0,5.0,0.2874743326488715,0.12320328542094912,0.30390143737166087,0.14168377823408565,0.20739219712526044,0.17453798767967013,0.5646817248459953,0.3552361396303935,0.4455852156057465,0.5174537987679687,0.5995893223819271,0.2874743326488715,G_MAE145,DEVELOPMENT_FROZEN
CENTRAL,development,0,2022-02-20 15:00:00+00:00,90.98,87.37,3.6099999999999994,2022-02-20 17:40:00+00:00,2022-02-20 18:00:00+00:00,-0.16487140030774228,-0.4148714003077423,2022-02-20 18:05:00+00:00,2022-02-20 18:15:00+00:00,2022-02-20 18:20:00+00:00,91.702,0.2,2022-02-20 18:40:00+00:00,92.424,TARGET,,3.9366644129898987,3.6866644129898987,3.7717930126821564,3.2717930126821564,True,True,0.03967905034073422,0.14404432132963882,0.08310249307479146,20.0,5.0,10.0,5.0,0.20775623268698065,-0.02770083102492918,0.274238227146813,0.04986149584487724,0.08864265927978045,0.19390581717451605,0.40997229916897626,0.17728531855955698,0.33795013850415484,0.3102493074792257,0.47922437673130314,0.20775623268698065,G_MAE145,DEVELOPMENT_FROZEN
CENTRAL,development,1,2022-10-17 15:00:00+00:00,31.19,30.16,1.0300000000000011,2022-10-17 23:35:00+00:00,2022-10-17 23:55:00+00:00,0.0,-0.25,2022-10-18 00:20:00+00:00,2022-10-18 00:30:00+00:00,2022-10-18 00:35:00+00:00,31.396,0.2,2022-10-18 00:50:00+00:00,31.27,E10_FLOOR,2022-10-18 00:45:00+00:00,-2.006625047776822,-2.256625047776822,-2.006625047776822,-2.506625047776822,False,False,0.033023404937479996,0.0873786407766988,0.058252427184468165,20.0,25.0,10.0,5.0,0.26213592233009636,0.09708737864077797,0.27184466019417214,0.0873786407766988,0.3203883495145646,0.1747572815533976,0.29126213592233047,0.29126213592233047,0.3592233009708709,0.23300970873786575,0.3592233009708709,0.26213592233009636,G_MAE145,DEVELOPMENT_FROZEN
CENTRAL,development,4,2024-02-06 15:00:00+00:00,96.29,93.116,3.1740000000000066,2024-02-06 18:50:00+00:00,2024-02-06 19:05:00+00:00,-0.7425485512514429,-0.9925485512514429,2024-02-06 19:20:00+00:00,2024-02-06 19:30:00+00:00,2024-02-06 19:35:00+00:00,96.9248,0.2,2024-02-06 19:55:00+00:00,97.5596,TARGET,,3.2747036878074676,3.0247036878074676,2.5321551365560246,2.0321551365560246,True,True,0.03296292449890961,0.09766855702583095,0.10396975425331186,15.0,15.0,10.0,5.0,0.2233774417139217,0.061436672967861615,0.3112791430371763,0.06773787019533804,0.2712665406427184,0.07466918714555586,0.40894770006300724,0.2668557025834885,0.3790170132325143,0.44013862633900075,0.6225582860743526,0.2233774417139217,G_MAE145,DEVELOPMENT_FROZEN
CENTRAL,development,4,2024-03-14 15:00:00+00:00,174.599,164.55,10.048999999999978,2024-03-14 23:10:00+00:00,2024-03-14 23:20:00+00:00,-0.7474269612082196,-0.9974269612082196,2024-03-14 23:25:00+00:00,2024-03-14 23:35:00+00:00,2024-03-14 23:40:00+00:00,176.60879999999997,0.2,2024-03-14 23:45:00+00:00,178.6186,TARGET,,5.6899769433913505,5.4399769433913505,4.942549982183131,4.442549982183131,True,True,0.057554739717867676,0.1025972733605342,0.11722559458652601,10.0,5.0,10.0,5.0,0.16210568215743085,0.08936212558463509,0.19076525027365965,0.051646930042788156,0.22022091750423198,0.16588715295054285,0.3501840979201924,0.1198129167081312,0.30799084486018563,0.34411384217335117,0.39814906955916146,0.16210568215743085,G_MAE145,DEVELOPMENT_FROZEN
CENTRAL,development,4,2024-05-30 15:00:00+00:00,169.791,164.708,5.082999999999998,2024-05-30 16:45:00+00:00,2024-05-30 17:10:00+00:00,-0.4770570878315228,-0.7270570878315228,2024-05-30 17:15:00+00:00,2024-05-30 17:25:00+00:00,2024-05-30 17:30:00+00:00,170.8076,0.2,2024-05-30 17:35:00+00:00,171.8242,TARGET,,2.9758629007139437,2.7258629007139437,2.498805812882421,1.9988058128824209,True,True,0.029936804659846508,0.0485933503836345,0.13732048003147898,25.0,5.0,10.0,5.0,0.27877237851662445,0.017115876450912674,0.3165453472358862,0.058036592563444345,0.25791855203620057,0.32402124729490855,0.3615974818020899,0.2748376942750328,0.41255164273067263,0.415896124336023,0.5183946488294354,0.27877237851662445,G_MAE145,DEVELOPMENT_FROZEN
CENTRAL,development,5,2024-09-19 15:00:00+00:00,141.922,138.207,3.7150000000000034,2024-09-19 15:15:00+00:00,2024-09-19 15:35:00+00:00,-0.4051521258155999,-0.6551521258155999,2024-09-19 15:40:00+00:00,2024-09-19 15:50:00+00:00,2024-09-19 15:55:00+00:00,142.665,0.2,2024-09-19 16:05:00+00:00,143.408,TARGET,,2.6040023832053505,2.3540023832053505,2.1988502573897506,1.6988502573897506,True,True,0.026176350389650677,0.07213997308209971,0.11332436069986322,20.0,5.0,10.0,5.0,0.24387617765814404,0.020995962314940213,0.2834454912516814,0.035800807537014714,0.2379542395693173,0.08398384925975319,0.4131897711978453,0.2320323014804829,0.3418573351278548,0.5458950201884225,0.6244952893674269,0.24387617765814404,G_MAE145,DEVELOPMENT_FROZEN
CENTRAL,development,5,2024-10-04 15:00:00+00:00,142.598,138.042,4.556000000000012,2024-10-04 16:20:00+00:00,2024-10-04 18:05:00+00:00,-0.11570989775455676,-0.36570989775455676,2024-10-04 18:15:00+00:00,2024-10-04 18:25:00+00:00,2024-10-04 18:35:00+00:00,143.50920000000002,0.2,2024-10-04 19:00:00+00:00,144.42040000000003,TARGET,,3.1747093566126816,2.9247093566126816,3.058999458858125,2.558999458858125,True,True,0.031949957222401515,0.38718173836698355,0.07638279192274194,105.0,10.0,10.0,10.0,0.12510974539069178,0.024582967515363145,0.13915715539946982,0.07638279192274194,0.09130816505706667,-0.23331870061457724,0.38191395961369723,0.14091308165056943,0.27326602282704154,0.15013169446883137,0.27326602282704154,0.17515364354696475,G_MAE145,DEVELOPMENT_FROZEN
CENTRAL,development,5,2024-10-23 15:00:00+00:00,169.5,164.1,5.400000000000006,2024-10-23 18:45:00+00:00,2024-10-23 19:15:00+00:00,-1.3274336283185528,-1.5774336283185528,2024-10-23 19:20:00+00:00,2024-10-23 19:30:00+00:00,2024-10-23 19:35:00+00:00,170.58,0.2,2024-10-23 19:40:00+00:00,171.66,TARGET,,3.1656700668307725,2.9156700668307725,1.8382364385122196,1.3382364385122196,True,True,0.03185840707964605,0.34259259259259117,0.1277777777777772,30.0,5.0,10.0,5.0,0.17407407407407346,-0.01666666666666728,0.2648148148148158,0.1166666666666657,-0.13888888888888876,0.7129629629629611,1.068518518518514,0.12962962962962737,0.4314814814814781,0.4537037037037011,0.7555555555555518,0.17407407407407346,G_MAE145,DEVELOPMENT_FROZEN
