role,partition,dev_block,execution_start,entry_ts,exit_ts,H,L,R,signal_ts,confirm_ts,confirm_close_R,eventual_E40,terminal,terminal_ts,e10_retest,e10_retest_before_E40,e10_retest_ts,e10_retest_min,e10_retest_to_E40,e05_retest,e05_retest_before_E40,e05_retest_ts,e05_retest_min,e05_retest_to_E40,H_touch,H_touch_before_E40,min_low_R,min_close_R,max_high_R,ref_min,hour
CENTRAL,development,0.0,2022-01-01 15:00:00+00:00,2022-01-01 15:25:00+00:00,2022-01-01 15:50:00+00:00,173.37,170.52,2.8499999999999943,2022-01-01 16:00:00+00:00,2022-01-01 16:10:00+00:00,0.2561403508771899,True,E40,2022-01-01 16:25:00+00:00,False,False,,,False,False,False,,,False,False,False,0.133333333333332,0.2140350877192935,0.42807017543859693,360,15
CENTRAL,development,0.0,2022-01-02 15:00:00+00:00,2022-01-02 16:10:00+00:00,2022-01-02 16:20:00+00:00,176.75,174.66,2.0900000000000034,2022-01-02 16:35:00+00:00,2022-01-02 16:45:00+00:00,0.2870813397129155,True,E40,2022-01-02 16:50:00+00:00,False,False,,,False,False,False,,,False,False,False,0.2153110047846832,0.5789473684210555,0.5837320574162664,360,15
CENTRAL,development,0.0,2022-01-06 15:00:00+00:00,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,151.09,146.22,4.8700000000000045,2022-01-06 17:25:00+00:00,2022-01-06 17:35:00+00:00,0.2874743326488715,True,E40,2022-01-06 18:10:00+00:00,False,False,,,False,False,False,,,False,False,False,0.14373716632443284,0.20944558521560766,0.5030800821355208,360,15
CENTRAL,development,0.0,2022-02-01 15:00:00+00:00,2022-02-01 16:30:00+00:00,2022-02-01 16:45:00+00:00,111.04,103.75,7.290000000000006,2022-02-01 16:50:00+00:00,2022-02-01 17:00:00+00:00,0.24828532235939457,False,H_FAIL,2022-02-01 17:40:00+00:00,True,True,2022-02-01 17:10:00+00:00,10.0,False,True,True,2022-02-01 17:15:00+00:00,15.0,False,True,True,-0.05898491083676358,-0.0521262002743497,0.2674897119341546,360,15
CENTRAL,development,0.0,2022-02-20 15:00:00+00:00,2022-02-20 17:40:00+00:00,2022-02-20 18:00:00+00:00,90.98,87.37,3.6099999999999994,2022-02-20 18:05:00+00:00,2022-02-20 18:15:00+00:00,0.20775623268698065,True,E40,2022-02-20 18:40:00+00:00,False,False,,,False,False,False,,,False,False,False,0.14404432132963882,0.1966759002770066,0.6703601108033247,360,15
CENTRAL,development,1.0,2022-08-21 15:00:00+00:00,2022-08-21 16:45:00+00:00,2022-08-21 17:00:00+00:00,36.27,35.48,0.7900000000000063,2022-08-21 17:05:00+00:00,2022-08-21 17:15:00+00:00,0.1645569620253094,False,H_FAIL,2022-08-21 17:50:00+00:00,True,True,2022-08-21 17:40:00+00:00,25.0,False,True,True,2022-08-21 17:40:00+00:00,25.0,False,True,True,-0.1139240506329148,-0.06329113924051122,0.3164556962025291,360,15
CENTRAL,development,1.0,2022-09-05 15:00:00+00:00,2022-09-05 15:00:00+00:00,2022-09-05 15:25:00+00:00,31.77,31.12,0.6499999999999986,2022-09-05 15:35:00+00:00,2022-09-05 15:45:00+00:00,0.13846153846153855,False,H_FAIL,2022-09-05 16:15:00+00:00,True,True,2022-09-05 15:50:00+00:00,5.0,False,True,True,2022-09-05 15:55:00+00:00,10.0,False,True,True,-0.015384615384612357,0.0,0.29230769230769493,360,15
CENTRAL,development,1.0,2022-09-26 15:00:00+00:00,2022-09-26 18:05:00+00:00,2022-09-26 18:30:00+00:00,33.41,32.1,1.3099999999999952,2022-09-26 18:45:00+00:00,2022-09-26 18:55:00+00:00,0.16030534351145162,False,H_FAIL,2022-09-26 20:40:00+00:00,True,True,2022-09-26 20:15:00+00:00,80.0,False,True,True,2022-09-26 20:30:00+00:00,95.0,False,True,True,-0.03816793893129568,-0.03816793893129568,0.3969465648855,360,15
CENTRAL,development,1.0,2022-10-05 15:00:00+00:00,2022-10-05 16:05:00+00:00,2022-10-05 16:25:00+00:00,33.78,33.15,0.6300000000000026,2022-10-05 16:50:00+00:00,2022-10-05 17:00:00+00:00,0.15873015873016033,True,E40,2022-10-05 17:20:00+00:00,False,False,,,False,False,False,,,False,False,False,0.12698412698412376,0.19047619047618564,0.41269841269840785,360,15
CENTRAL,development,1.0,2022-10-17 15:00:00+00:00,2022-10-17 23:35:00+00:00,2022-10-17 23:55:00+00:00,31.19,30.16,1.0300000000000011,2022-10-18 00:20:00+00:00,2022-10-18 00:30:00+00:00,0.26213592233009636,False,H_FAIL,2022-10-18 01:30:00+00:00,True,True,2022-10-18 00:45:00+00:00,15.0,False,True,True,2022-10-18 00:50:00+00:00,20.0,False,True,True,-0.058252427184468165,-0.04854368932038899,0.26213592233009636,360,15
