partition,cohort,n,sum_delta_pnl,sum_delta_pnl_5bps
development,DERISKED_ALL,219,35.187712034765056,26.812712034765074
development,DERISKED_PARENT_WIN,37,-56.03279380389714,-59.65779380389714
development,DERISKED_PARENT_NONWIN,182,91.2205058386622,86.4705058386622
development,REARMED_ALL,67,-86.44235670377324,-94.81735670377324
development,REARMED_PARENT_WIN,29,-44.146986821788474,-47.77198682178847
development,REARMED_PARENT_NONWIN,38,-42.29536988198479,-47.04536988198479
external,DERISKED_ALL,148,-58.5727058956399,-66.82270589563988
external,DERISKED_PARENT_WIN,38,-92.13707542322646,-96.26207542322645
external,DERISKED_PARENT_NONWIN,110,33.56436952758658,29.439369527586575
external,REARMED_ALL,66,-146.49372328247438,-154.74372328247438
external,REARMED_PARENT_WIN,33,-80.3826845606303,-84.5076845606303
external,REARMED_PARENT_NONWIN,33,-66.11103872184407,-70.23603872184405
reference_validation,DERISKED_ALL,138,-1.0255765011158455,-6.400576501115843
reference_validation,DERISKED_PARENT_WIN,32,-37.282487038154954,-40.532487038154954
reference_validation,DERISKED_PARENT_NONWIN,106,36.25691053703911,34.13191053703911
reference_validation,REARMED_ALL,43,-45.08529239923645,-50.460292399236444
reference_validation,REARMED_PARENT_WIN,26,-28.753284636849507,-32.00328463684951
reference_validation,REARMED_PARENT_NONWIN,17,-16.33200776238694,-18.45700776238694
