family,feature,dev_latent_n,dev_true_n,dev_latent_median,dev_true_median,dev_gap,dev_effect_IQR,adequate_dev_blocks,same_sign_dev_blocks,external_latent_n,external_true_n,external_gap,external_effect_IQR,reference_latent_n,reference_true_n,reference_gap,reference_effect_IQR,counts_ok,block_ok,oos_sign_ok,directionally_replicated,strong_replicated,b1_gap,b2_gap,b3_gap,b4_gap,b5_gap,b6_gap
BREAK_CANDLE,break_upper_wick_R,62,53,0.051374633431086725,0.028089887640447824,0.0232847457906389,0.4482395321602965,5,3,26,25,-0.010940770879673992,0.21415819390731466,33,35,-0.0033614759224481067,0.05597449951381622,True,False,False,False,False,0.001189777963971135,-0.005854619152358451,0.058253295976508614,0.0302468252866292,-0.014020502188088188,0.01643174999323918
BREAK_CANDLE,break_close_location,62,53,0.7878566599053333,0.8706896551724085,-0.08283299526707522,0.40073764760461134,5,3,26,25,0.11622158885785594,0.48418287640613156,33,35,-0.030150342058912982,0.1083787657152361,True,False,False,False,False,0.018181818181831733,-0.04437174721188064,-0.22514518002323292,-0.1995594685130705,0.19472620475228786,-0.04501040595365413
PRE_BREAK_APPROACH,prebreak_nearH10_high_fraction60,62,53,0.16666666666666666,0.25,-0.08333333333333334,0.2666666666666667,5,3,26,25,0.08333333333333334,0.5,33,35,-0.08333333333333334,0.4,True,False,False,False,False,-0.25,-0.08333333333333334,-0.125,0.08333333333333333,0.041666666666666685,0.08333333333333334
PRE_BREAK_APPROACH,prebreak_upper80_close_fraction60,62,53,0.25,0.3333333333333333,-0.08333333333333331,0.2285714285714285,5,3,26,25,0.0,0.0,33,35,-0.16666666666666666,0.5714285714285713,True,False,False,False,False,0.0,-0.041666666666666685,-0.16666666666666666,0.08333333333333334,-0.041666666666666685,-0.041666666666666685
BREAK_TO_FAIL,breakhigh_to_faillow_excursion_R,62,53,0.21195186479435016,0.17581530513400534,0.03613655966034482,0.2197796571111431,5,4,26,25,-0.002368751067504282,0.019460919001844445,33,35,0.039461467038064524,0.29038048720906895,True,True,False,False,False,0.02867699446464053,-0.0012660355863477468,0.0685059775141498,0.015387158994360745,0.024984749053353295,0.07151875258939469
BREAK_CANDLE,break_range_R,62,53,0.2308791759090177,0.20715075562108326,0.023728420287934426,0.1463568898926723,5,3,26,25,-0.02382847196197957,0.23172851792001067,33,35,0.0049340902999392144,0.04417238927926615,True,False,False,False,False,-0.028394739134222385,-0.0162877464109715,0.08290253767326844,0.029508698156689495,0.056135287452354854,0.08393582834780419
PRE_BREAK_APPROACH,prebreak_range30_R,62,53,0.36200899695909794,0.39999999999999675,-0.03799100304089881,0.145250850092381,5,3,26,25,-0.026789019391476043,0.1472566449453728,33,35,0.08948745060938296,0.5625607239004569,True,False,False,False,False,-0.134213094127416,0.0735459911467427,-0.06986566867581573,-0.037767296907514514,0.09737800442007494,0.20950551593619737
FAILURE_CANDLE,fail_low_R,62,53,-0.10754338423842899,-0.1181818181818125,0.010638433943383513,0.14216719535961836,5,2,26,25,-0.015163939102673801,0.17688821852432005,33,35,-0.011079578030045903,0.1333778957157242,True,False,False,False,False,-0.034408047010504456,-0.005318813968286207,-0.008634499727536105,0.021183806252584425,0.011634148265652178,-0.032419825649350184
PRE_BREAK_APPROACH,prebreak_return30_R,62,53,0.21632260505058154,0.24479166666666585,-0.028469061616084312,0.11745887741480707,5,4,26,25,-0.04487205413445655,0.24975630583833994,33,35,0.08171436340154681,0.4748789150682512,True,True,False,False,False,-0.05342618845588504,0.07691310425686036,-0.09290820084753176,-0.085517839991221,-0.04693308122609213,0.11087666991856221
BREAK_CANDLE,break_close_excess_R,62,53,0.03522389739237393,0.042076991942709516,-0.006853094550335587,0.11438831118068979,5,2,26,25,-0.0005212215456455692,0.015415363973829841,33,35,0.00120772946859167,0.027874510552158685,True,False,False,False,False,-0.011424267152095102,-0.0013587474585783493,0.0025013958380882446,0.0009840998425306655,0.00189631881908333,0.01776721030804277
FAILURE_CANDLE,fail_lower_wick_R,62,53,0.03846952683845039,0.033582089552240076,0.004887437286210314,0.10340678045027925,5,2,26,25,0.006551416688720946,0.21165847772621638,33,35,0.019827885411192646,0.5945660237133492,True,False,True,False,False,0.019735819735821565,-0.023804076312000263,0.0357915268564328,-0.001195649791659252,-0.009267304914755206,0.03518662518996335
FAILURE_CANDLE,fail_upper_wick_R,62,53,0.02578422083095655,0.022315202231519785,0.003469018599436765,0.09688860278457423,5,3,26,25,0.004014040918292206,0.136594544947746,33,35,0.01482662030330123,0.3438053457259009,True,False,True,False,False,-0.025396274441744797,0.0038102701895849633,0.028951744696621987,0.0017163327211865212,-0.0011635301242106794,0.03807477798594801
