partition,warning_family,feature,fail_n,target_n,fail_median,target_median,gap
development,W10,close_H_R,233,63,0.03841309823677593,0.06382978723404513,-0.025416688997269198
development,W10,high_H_R,233,63,0.09766855702583095,0.13855185909979806,-0.04088330207396711
development,W10,low_H_R,233,63,-0.09411764705882554,-0.09657947686117069,0.0024618298023451474
development,W10,body_R,233,63,0.10173697270471543,0.11777132294692295,-0.01603435024220752
development,W10,abs_body_R,233,63,0.11089303238469045,0.1255277230509424,-0.014634690666251948
development,W10,range_R,233,63,0.1963048498845286,0.22334004024145007,-0.02703519035692148
development,W10,close_change_R,233,63,0.1015625000000019,0.11804384485666153,-0.016481344856659627
development,W10,high_change_R,233,63,0.10693877551020427,0.1382113821138196,-0.03127260660361532
development,W10,range_change_R,233,63,0.047058823529414866,0.04011589034989494,0.006942933179519925
development,W05,close_H_R,184,31,0.024800300381763105,0.023415977961431734,0.0013843224203313707
development,W05,high_H_R,184,31,0.08282427321804753,0.08943089430894653,-0.006606621090899004
development,W05,low_H_R,184,31,-0.08549318084655183,-0.09609120521172693,0.010598024365175096
development,W05,body_R,184,31,0.0728235255138609,0.08321579689703852,-0.010392271383177623
development,W05,abs_body_R,184,31,0.09375000000000161,0.11777132294692295,-0.024021322946921345
development,W05,range_R,184,31,0.1711064746264631,0.19223659889094466,-0.021130124264481548
development,W05,close_change_R,184,31,0.07076004254274754,0.07692307692308013,-0.0061630343803325965
development,W05,high_change_R,184,31,0.0775240384615388,0.0845070422535172,-0.006983003791978401
development,W05,range_change_R,184,31,0.015441515406352333,0.028571428571426347,-0.013129913165074013
external,W10,close_H_R,133,54,0.03234078079033175,0.052249549637825826,-0.019908768847494075
external,W10,high_H_R,133,54,0.07055214723926273,0.09242978522900105,-0.021877637989738324
external,W10,low_H_R,133,54,-0.0833333333333323,-0.08175373169530839,-0.0015796016380239114
external,W10,body_R,133,54,0.08857438180806212,0.08870555068397193,-0.00013116887590980397
external,W10,abs_body_R,133,54,0.10675381263616533,0.10262499752062729,0.004128815115538045
external,W10,range_R,133,54,0.16410799364743262,0.16934472936214093,-0.005236735714708313
external,W10,close_change_R,133,54,0.09038619556285894,0.0961364665793776,-0.005750271016518663
external,W10,high_change_R,133,54,0.08694096601073419,0.09487236976314113,-0.007931403752406946
external,W10,range_change_R,133,54,0.025459265175721255,0.047687784555153934,-0.02222851937943268
external,W05,close_H_R,113,32,0.022910216718265628,0.033593981386849686,-0.010683764668584058
external,W05,high_H_R,113,32,0.058471454880294677,0.07283871332448996,-0.014367258444195286
external,W05,low_H_R,113,32,-0.06854176598336616,-0.08323491593878066,0.0146931499554145
external,W05,body_R,113,32,0.062499999999998536,0.058721369482038085,0.0037786305179604504
external,W05,abs_body_R,113,32,0.07950872656755012,0.07593899452549271,0.0035697320420574052
external,W05,range_R,113,32,0.14880337123320272,0.1592691735340462,-0.010465802300843485
external,W05,close_change_R,113,32,0.06460674157303535,0.061679039649913635,0.002927701923121716
external,W05,high_change_R,113,32,0.05616399887671982,0.07150143093317707,-0.015337432056457247
external,W05,range_change_R,113,32,0.01895534962089372,-0.0018028846153857526,0.020758234236279476
reference_validation,W10,close_H_R,134,48,0.02971462194763128,0.05307429697674065,-0.023359675029109368
reference_validation,W10,high_H_R,134,48,0.09715741485652804,0.09791069871715216,-0.000753283860624121
reference_validation,W10,low_H_R,134,48,-0.09204097714735537,-0.11841621472562036,0.026375237578264987
reference_validation,W10,body_R,134,48,0.0963595732410607,0.14291208791209054,-0.04655251467102983
reference_validation,W10,abs_body_R,134,48,0.11315413582651353,0.1451765650080279,-0.032022429181514364
reference_validation,W10,range_R,134,48,0.18809523809524098,0.23092677931387684,-0.04283154121863586
reference_validation,W10,close_change_R,134,48,0.09588858554341974,0.14285714285714562,-0.04696855731372589
reference_validation,W10,high_change_R,134,48,0.10193531958237875,0.09808975551058187,0.0038455640717968836
reference_validation,W10,range_change_R,134,48,0.028987386415502626,0.05062253264501109,-0.021635146229508465
reference_validation,W05,close_H_R,107,29,0.02138364779874056,0.02142857142857224,-4.492362983168213e-05
reference_validation,W05,high_H_R,107,29,0.08429118773946319,0.06100795755967882,0.02328323017978437
reference_validation,W05,low_H_R,107,29,-0.09302325581395157,-0.1451612903225795,0.05213803450862792
reference_validation,W05,body_R,107,29,0.08374384236452581,0.14428571428571704,-0.06054187192119123
reference_validation,W05,abs_body_R,107,29,0.09516380655226005,0.14428571428571704,-0.049121907733456996
reference_validation,W05,range_R,107,29,0.17391304347825415,0.22302158273380426,-0.049108539255550115
reference_validation,W05,close_change_R,107,29,0.08374384236452581,0.14285714285714285,-0.05911330049261704
reference_validation,W05,high_change_R,107,29,0.08304498269896016,0.06216216216216727,0.020882820536792884
reference_validation,W05,range_change_R,107,29,0.022809123649462967,0.05405405405405883,-0.031244930404595864
